ep_id,name,country,group,section_a_items,section_c_items,section_a_count,section_c_count,pdf_path
24942,Ana MIRANDA PAZ,Spain,Group of the Greens/European Free Alliance,"ASISTENTE PARLAMENTARIA ACREDITADA (JULIO 2019- AGOSTO 2022)3752 || MEP Información pública Anual || Vicepresidenta Fundación Galiza Sempre || Socia usuaria cooperativa energética Nosa Enerxía || Socia de UNRWA, Agencia de Naciones Unidas para los Refugiados Palestinos || Socia de ADEGA, Asociación pola defensa ecolóxica de GalizaXES","VICEPRESIDENTA FUNDACIÓN GALIZA SEMPRE. || SOCIA COOPERATIV A NOSA ENERXIA. || SOCIA DE UNRWA, AGENCIA DE NACIONES UNIDAS DE REFUGIADOS PALESTINOS || SOCIA DE ADEGA, ASOCIACIÓN POLA DEFENSA ECOLÓXICA DE GALIZA.XES",6,4,declarations/24942_Ana_MIRANDA_PAZ.pdf
124722,Csaba MOLNÁR,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member of the European Parliament Public information MonthlyEN,,1,0,declarations/124722_Csaba_MOLNÁR.pdf
245770,Irene MONTERO,Spain,The Left group in the European Parliament - GUE/NGL,Ministra de Igualdad del Gobierno de España 01/2020 - 11/202377478 || Diputada en la XIV legislatura 12/2019 - 08/2023XES,Secretaria Política PODEMOS - Desde 12/2023XES,2,1,declarations/245770_Irene_MONTERO.pdf
197711,Dolors MONTSERRAT,Spain,Group of the European People's Party (Christian Democrats),Diputada del Parlamento Europeo Información pública MensualES,Miembro del Comité Directivo y del Comité Ejecutivo del PP en EspañaXES,1,1,declarations/197711_Dolors_MONTSERRAT.pdf
257140,Carolina MORACE,Italy,The Left group in the European Parliament - GUE/NGL,Lavoro Autonomo - Avvocato Diritto Civile 8000 || Attività sportiva dilettantistica 20738 || Lavoro autonomo - Avvocato Diritto Civile 37778 || Attività sportiva dilettantistica 97248 || Lavoro autonomo - Avvocato Diritto Civile 67766 || Attività sportiva dilettantistica 32351 || Lavoro Autonomo - Avvocato Diritto Civile 9043,,7,0,declarations/257140_Carolina_MORACE.pdf
72779,Nadine MORANO,France,Group of the European People's Party (Christian Democrats),Députée européenne information publiqueMensuelle || Présidente du Rassemblement pour le Peuple de France || Présidente Les Républicains 54 Vice- Présidente Les Républicains Présidente Rassemblement Pour le Peuple de FranceXFR,Présidente du Rassemblement pour le Peuple de France || Présidente Les Républicains 54 Vice- Présidente Les Républicains Présidente Rassemblement Pour le Peuple de FranceXFR,3,2,declarations/72779_Nadine_MORANO.pdf
257151,Letizia MORATTI,Italy,Group of the European People's Party (Christian Democrats),anno 2021-22-23 - Presidente CdA SECURFIN HOLDING srl C.F. 0994015096550000 || Vice Presidente e Assessore Welfare -Giunta Regionale Lombardia C.F. 80050050154 Anno 202199864 || Vice Presidente e Assessore Welfare -Giunta Regionale Lombardia C.F. 80050050154 - anno 202285436 || Presidente della fondazione E4IMPACT FOUNDATION C.F. 97732570151 || Presidente Comitato Garanti Fondazione San Patrignano C.F. 07305540580 || Presidente Consiglio Direttivo e Socio Fondatore Associazione Genesi C.F. 97872870155 || Presidente della Consulta del Segretario Nazionale Forza Italia (ex. Art. 26 Statuto Forza Italia) || Membro della Segreteria Nazionale di Forza ItaliaXIT,Presidente CdA SECURFIN HOLDING srl C.F. 09940150965 società che opera nel campo immobiliare55000 || Presidente della Fondazione E4IMPACT FOUNDATION C.F. 97732570151 || Presidente Comitato Garanti Fondazione San Patrignano C.F. 07305540580 || Presidente Consiglio Direttivo e Socio Fondatore Associazione Genesi C.F. 97872870155 || Presidente della Consulta del Segretario Nazionale Forza Italia (ex. Art. 26 Statuto Forza Italia) || Membro della Segreteria Nazionale di Forza ItaliaXIT,8,6,declarations/257151_Letizia_MORATTI.pdf
257054,Tiago MOREIRA DE SÁ,Portugal,Patriots for Europe Group,Deputado na Assembleia da República Portuguesa3861 || Professor na Universidade Nova - Faculdade de Ciencias Sociais e Humanas3867,,2,0,declarations/257054_Tiago_MOREIRA_DE_SÁ.pdf
28347,Javier MORENO SÁNCHEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Miembro del Parlamento Europeo Información pública MensualES,,1,0,declarations/28347_Javier_MORENO_SÁNCHEZ.pdf
124799,Alessandra MORETTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Deputata al Parlamento Europeo Informazione pubblicaMensile || Avvocata civilista esperta di diritto di famiglia presso LEXAS STUDIO LEGALE ASSOCIATO3000 || Membro di European Food Forum || Membro del Movimento Federalista europeo,Membro di European Food Forum || Membro del Movimento Federalista europeo,4,2,declarations/124799_Alessandra_MORETTI.pdf
197647,Dan-Ştefan MOTREANU,Romania,Group of the European People's Party (Christian Democrats),"Membru al Parlamentului European informatii publice Lunar || Membru Asociaţia ""Mircea Ionescu Quintus"" || Membru Fundaţia ""Prin Noi Înşine"" || PNL, Preşedinte PNL Giurgiu || PNL, Prim-vicepreşedinte Biroul Politic NaţionalXRO","Membru Asociaţia ""Mircea Ionescu Quintus"" || Membru Fundaţia ""Prin Noi Înşine"" || PNL, Preşedinte PNL Giurgiu || PNL, Prim-vicepreşedinte Biroul Politic Naţional || Membru Institutul de Studii Populare XRO",5,5,declarations/197647_Dan-Ştefan_MOTREANU.pdf
257060,Arkadiusz MULARCZYK,Poland,European Conservatives and Reformists Group,Sekretarz Stanu w Ministerstwie Spraw Zagranicznych194179 || Poseł na Sejm 45573 || Rada Instytutu Strat Wojennych 48000 || Krajowa Rada Sądownictwa 107119,,4,0,declarations/257060_Arkadiusz_MULARCZYK.pdf
257080,Piotr MÜLLER,Poland,European Conservatives and Reformists Group,Poseł na Sejm RP - dieta poselska (2021) 37578 || Poseł na Sejm RP - dieta poselska (2022) 47966 || Poseł na Sejm RP - uposażenie (2023) 7611 || Poseł na Sejm RP - dieta poselska (2023) 45573 || Poseł na Sejm RP - uposażenie (2024) 76119 || Poseł na Sejm RP - dieta poselska (2024) 19927 || Kancelaria Prezesa Rady Ministrów - Sekretarz Stanu (2021)162808 || Kancelaria Prezesa Rady Ministrów - Sekretarz Stanu (2022)202771 || Kancelaria Prezesa Rady Ministrów - Sekretarz Stanu (2023)245023 || Kancelaria Prezesa Rady Ministrów - Sekretarz Stanu (zakończono w 12.2023) - w roku 2024 wypłacono środki z tego stosunku pracy13877 || Członek Zarządu Fundacji Kolegium Europejskie (2023)XPL,,11,0,declarations/257080_Piotr_MÜLLER.pdf
