wikidata_id,name,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions,name_upper
Q11778705,Q11778705,2024-07-16,1975-07-22,Warsaw,"Faculty of History, University of Warsaw",politician || historian,,Law and Justice || Right Alliance,"Order of Merit (Ukraine), 2nd class",Chief of the Chancellery of the Prime Minister of Poland (2017-12-19 to 2022-09-30) || Polish minister without portfolio (2019-11-15 to 2023-11-27) || member of the Sejm (from 2019-11-12),Q11778705
Q42419368,Q42419368,2024-07-16,1991-11-25,Clamart,École nationale d'administration || Sciences Po || Lycée Alphonse Daudet,politician || official || political activist,,Socialist Party,,councillor of Nîmes (from 2026-01-01) || Q66501419 (2026-01-01 to 2026-01-01),Q42419368
Q644441,Q644441,2024-07-16,1963-07-02,Myszków,Jan Długosz University,politician,,Law and Justice,Medal of the National Education Commission,member of the Sejm (2011-11-08 to 2014-05-27) || member of the Sejm (2005-10-19 to 2007-05-10) || member of the Sejm (2007-05-11 to 2011-11-07),Q644441
Q65437,Q65437,2024-07-16,1955-11-14,Oldenburg,University of Göttingen,screenwriter || politician || trade unionist,,Social Democratic Party of Germany,Officer's Cross of the Order of Merit of the Federal Republic of Germany || Cross of the Order of Merit of the Federal Republic of Germany,,Q65437
Q85566,Q85566,2024-07-16,1965-05-20,Olsberg,University of Bonn,physician || politician,,Christian Democratic Union,Cross of the Order of Merit of the Federal Republic of Germany,,Q85566
Q941950,Q941950,2024-07-16,1961-06-10,Las Palmas de Gran Canaria,Tufts University || University of Bologna || Complutense University of Madrid || The Fletcher School of Law and Diplomacy || University of Granada,politician || jurist || university teacher || caricaturist,Tufts University || University of Las Palmas de Gran Canaria || University of Granada,Spanish Socialist Workers' Party,Grand Cross of the Order of Charles III || Grand Cross of the Order of St. Raymond of Peñafort,Member of the Congress of Deputies (2008-03-24 to 2009-07-13) || Member of the Congress of Deputies (2000-03-27 to 2004-04-02) || Representative of the Parliamentary Assembly of the Council of Europe (2008-06-27 to 2009-09-28) || Minister of Justice (2004-04-18 to 2007-02-12) || Member of the Congress of Deputies (2004-03-30 to 2007-06-24) || Member of the Parliament of the Canary Islands (2007-05-27 to 2008-03-09),Q941950
Q4118653,Abir Al-Sahlani,2024-07-16,1976-05-18,Nasiriyah,Mid Sweden University,politician,,Centre Party,,member of the Swedish Riksdag (2011-09-30 to 2014-09-29) || member of the Swedish Riksdag (2010-10-04 to 2011-09-29) || member of the Swedish Riksdag (2019-01-14 to 2019-06-19),ABIR AL-SAHLANI
Q2507571,Adam Bielan,2024-07-16,1974-09-12,Gdańsk,SGH Warsaw School of Economics || 9th Secondary School in Gdańsk,politician,,Law and Justice || Poland Comes First || Conservative People's Party || Right Alliance || Polska Razem || Agreement || Partia Republikańska,"Order of Merit (Ukraine), 3rd class",member of the Sejm,ADAM BIELAN
Q9139694,Adam Jarubas,2024-07-16,1974-12-17,Busko-Zdrój,Jan Kochanowski University || Q9296668,politician,Jan Kochanowski University,Polish People's Party,Gold Cross of Merit,member of the Sejm || voivodeship marshal (from 2006-01-01),ADAM JARUBAS
Q274739,Adina-Ioana Vălean,2024-07-16,1968-02-16,Țintea,University of Bucharest,politician || mathematics teacher,,National Liberal Party,"Order of Merit (Ukraine), 3rd class",member of the Chamber of Deputies of Romania (2004-12-17 to 2007-11-30) || European Commissioner for Transport (2019-12-01 to 2024-06-15) || Vice President of the European Parliament (2014-07-01 to 2017-01-18),ADINA-IOANA VĂLEAN
Q5621490,Adnan Dibrani,2024-07-16,1985-02-12,Kosovo,,politician,,Swedish Social Democratic Party,,member of the Swedish Riksdag (2014-09-29 to 2018-09-24) || member of the Swedish Riksdag (2018-09-24 to 2022-09-26) || substitute member of the Parliamentary Assembly of the Council of Europe (from 2019-01-21) || member of the Swedish Riksdag (2010-10-04 to 2014-09-29) || member of the Committee on Finance (from 2018-10-02) || member of the Committee on Taxation (2014-10-07 to 2017-09-22) || member of the Swedish Riksdag (2022-09-26 to 2024-07-15),ADNAN DIBRANI
Q104598998,Adrian Axinia,2024-07-16,1977-10-18,Focșani,Technical University of Civil Engineering of Bucharest,politician,,Alliance for the Union of Romanians,,member of the Chamber of Deputies of Romania (from 2020-12-21),ADRIAN AXINIA
Q84143629,Adrián Vázquez Lázara,2024-07-16,1982-05-05,Madrid,Complutense University of Madrid || University of Warwick || Lindenwood University,politician,,Ciudadanos,,Q47454077 (2023-01-12 to 2024-03-22),ADRIÁN VÁZQUEZ LÁZARA
Q126485167,Afroditi Latinopoulou,2024-07-16,1991-04-29,Thessaloniki,Aristotle University of Thessaloniki,lawyer || politician || radio producer || tennis player || tennis coach,,New Democracy || National Creation || PATRIDA || Voice of Reason,,,AFRODITI LATINOPOULOU
Q126596118,Alberico Gambino,2024-07-16,1967-12-07,Pagani,,politician,,,,,ALBERICO GAMBINO
Q1077655,Aldo Patriciello,2024-07-16,1957-09-27,Venafro,,politician,,Christian Democracy || Union of the Centre (1993-1998) || Forza Italia,,mayor of a place in Italy,ALDO PATRICIELLO
Q107316188,Aleksandar Nikolic,2024-07-16,1986-10-04,La Garenne-Colombes,,politician || Q97767950,,National Rally,,,ALEKSANDAR NIKOLIC
Q15055614,Alessandra Moretti,2024-07-16,1973-06-24,Vicenza,University of Urbino,politician,,Democratic Party || independent politician || Democrats of the Left,,member of the Chamber of Deputies of the Italian Republic (2013-03-05 to 2014-06-25),ALESSANDRA MORETTI
Q57037488,Alessandro Ciriani,2024-07-16,1970-08-02,Pordenone,University of Trieste,politician,,independent politician,,mayor of Pordenone (2016-06-20 to 2024-07-01) || president of the Province of Pordenone (2009-06-07 to 2014-11-26),ALESSANDRO CIRIANI
Q2595856,Alessandro Zan,2024-07-16,1973-10-04,Padua,University of Padua,politician,,Democratic Party,,member of the Chamber of Deputies of the Italian Republic (2013-03-15 to 2018-03-22) || member of the Chamber of Deputies of the Italian Republic (2018-03-20 to 2022-10-12),ALESSANDRO ZAN
Q64223721,Alex Agius Saliba,2024-07-16,1988-01-31,"Pietà, Malta",University of Malta,politician,,Labour Party,,,ALEX AGIUS SALIBA
Q62626907,Alexander Bernhuber,2024-07-16,1992-05-18,St. Pölten,"University of Natural Resources and Life Sciences, Vienna",politician,,Austrian People's Party,,,ALEXANDER BERNHUBER
Q126541329,Alexander Jungbluth,2024-07-16,1987-02-07,Würselen,University of Bonn,politician,parliamentary group || Sebastian Münzenmaier || Bernd Schattner,Alternative for Germany || Europe of Sovereign Nations,,deputy chairperson (from 2024-08-01) || chairperson (http://www to http://www),ALEXANDER JUNGBLUTH
Q126723773,Alexander Sell,2024-07-16,1980-11-25,Mainz,Humboldt-Universität zu Berlin,politician,Berlin House of Representatives || Bernd Baumann,Alternative for Germany || Europe of Sovereign Nations,,party leader (from 2024-08-01),ALEXANDER SELL
Q939484,Alexandr Vondra,2024-07-16,1961-08-17,Prague,"Faculty of Science, Charles University",politician || diplomat || geographer || journalist,,Civic Democratic Party,"Democracy Service Medal || Officer's Cross of the Order of Merit of the Republic of Poland || NATO Meritorious Service Medal || Order of the Three Stars, 3rd Class || Cross of Merit of the Minister of Defence of the Czech Republic 1st Class",Czech Ambassador to the United States (1997-05-14 to 2001-10-01) || spokesperson of Charter 77 (1989-01-02 to 1990-01-06) || Minister of Foreign Affairs (2006-09-04 to 2007-01-09) || Minister of Defence of the Czech Republic (2010-12-13 to 2012-12-07) || Member of the Senate of the Parliament of the Czech Republic (2006-10-28 to 2012-10-28) || Deputy Prime Minister of the Czech Republic (2007-01-09 to 2009-05-08),ALEXANDR VONDRA
Q64032638,Alexandra Geese,2024-07-16,1968-07-01,Lippstadt,,politician || translator || interpreter,,Alliance '90/The Greens,,,ALEXANDRA GEESE
Q119397784,Alexandra Mehnert,2024-07-16,1974-08-06,Magdeburg,University of Magdeburg,politician,Konrad Adenauer Foundation,Christian Democratic Union,,,ALEXANDRA MEHNERT
Q594858,Alexandre Varaut,2024-07-16,1966-01-18,Neuilly-sur-Seine,,lawyer || politician,,Union for a Popular Movement || National Rally || Movement for France,,,ALEXANDRE VARAUT
Q4725739,Alice Bah Kuhnke,2024-07-16,1971-12-21,Västra Skrävlinge församling,Stockholm University,politician || television presenter || journalist || athlete,AFRY || Fairtrade certification,Green Party,H. M. The King's Medal || Årets smålänning || Officer of Arts and Letters,Minister for Culture of Sweden (2014-10-03 to 2019-01-21) || member of the Committee on European Union Affairs (2019-02-07 to 2019-06-18) || Minister of Democracy (2014-10-03 to 2019-01-21) || Minister for Church Affairs (2014-10-03 to 2019-01-21) || member of the Committee on Foreign Affairs (2019-01-23 to 2019-02-07) || member of the Swedish Riksdag (2018-09-24 to 2018-09-24) || member of the Swedish Riksdag (2019-01-22 to 2019-06-18),ALICE BAH KUHNKE
Q16496250,Alice Teodorescu Måwe,2024-07-16,1984-05-02,Bucharest,Lund University || Katedralskolan || Sture Academy,politician || jurist || lobbyist,Göteborgs-Posten || AcadeMedia || Bulletin,Christian Democrats,,,ALICE TEODORESCU MÅWE
Q64092237,Alicia Homs Ginel,2024-07-16,1993-10-15,Palma,Autonomous University of Barcelona,politician,,Spanish Socialist Workers' Party,,,ALICIA HOMS GINEL
Q124293065,Alma Ezcurra,2024-07-16,1986-12-11,Madrid,Autonomous University of Madrid,politician,,People's Party,,,ALMA EZCURRA
Q121434583,Alvise Pérez,2024-07-16,1990-02-26,Seville,,politician || political adviser,,"Union, Progress and Democracy || Ciudadanos || Se Acabó La Fiesta",,,ALVISE PÉREZ
Q65498266,Ana Catarina Mendes,2024-07-16,1973-01-14,Coimbra,,politician,,Socialist Party,,substitute member of the Parliamentary Assembly of the Council of Europe (2011-10-03 to 2014-09-29) || member of the Assembly of the Republic || Representative of the Parliamentary Assembly of the Council of Europe (2014-09-29 to 2022-06-19) || Representative of the Parliamentary Assembly of the Council of Europe (2011-01-24 to 2011-10-03) || substitute member of the Parliamentary Assembly of the Council of Europe (2005-06-06 to 2011-01-24) || Minister of Parliamentary Affairs (2022-03-30 to 2024-04-02),ANA CATARINA MENDES
Q127467131,Ana Martins,2024-07-16,1985-03-14,Angra do Heroísmo,,politician || jurist || political scientist,,,,,ANA MARTINS
Q127271825,Ana Miguel Pedro,2024-07-16,1988-10-07,Oliveira de Azeméis,,politician,,,,,ANA MIGUEL PEDRO
Q106950733,Ana Miguel dos Santos,2024-04-02,1981-09-12,Coimbra,,politician,,,,member of the Assembly of the Republic,ANA MIGUEL DOS SANTOS
Q482983,Ana Miranda Paz,2024-07-16,1971-05-02,Cuntis,University of A Coruña || UCLouvain || University of Passau || University of Santiago de Compostela,lawyer || politician || jurist,,Galician Nationalist Bloc,,,ANA MIRANDA PAZ
Q125209212,Anabela Rodrigues,2024-03-26,1976-10-18,Lisbon,,politician || social activist,,,,,ANABELA RODRIGUES
Q12301466,Anders Vistisen,2024-07-16,1987-11-12,Viborg Municipality,Aarhus University,politician || lobbyist,,Danish People's Party,,member of the Folketing,ANDERS VISTISEN
Q17176889,Andi-Lucian Cristea,2024-12-02,1982-01-05,Buzău,,politician,,Social Democratic Party,,member of the Chamber of Deputies of Romania (from 2020-12-21),ANDI-LUCIAN CRISTEA
Q120015161,Andrea Wechsler,2024-07-16,1977-06-19,Ulm,,politician || university teacher,Pforzheim Academy,Christian Democratic Union,,,ANDREA WECHSLER
Q497480,Andreas Glück,2024-07-16,1975-03-08,Münsingen,University of Tübingen,physician || politician,,Free Democratic Party,,member of the Landtag of Baden-Württemberg (2016-05-01 to 2019-07-10) || member of the Landtag of Baden-Württemberg (2011-05-01 to 2016-04-30),ANDREAS GLÜCK
Q500389,Andreas Schieder,2024-07-16,1969-04-16,Vienna,University of Vienna,politician,,Social Democratic Party of Austria,,substitute member of the Parliamentary Assembly of the Council of Europe (2007-10-01 to 2009-01-26) || member of the regional parliament of Vienna || member of the National Council of Austria || member of the National Council of Austria || substitute member of the Parliamentary Assembly of the Council of Europe (from 2014-01-27) || member of the National Council of Austria,ANDREAS SCHIEDER
Q78194,Andreas Schwab,2024-07-16,1973-04-09,Rottweil,,lawyer || politician,,Christian Democratic Union,Cross of the Order of Merit of the Federal Republic of Germany,,ANDREAS SCHWAB
Q4759190,Andrey Kovatchev,2024-07-16,1967-12-13,Sofia,Saarland University,politician,,Citizens for European Development of Bulgaria,,,ANDREY KOVATCHEV
Q18575732,Andrey Novakov,2024-07-16,1988-07-07,Pazardzhik,"South-West University ""Neofit Rilski""",politician,,Citizens for European Development of Bulgaria,,,ANDREY NOVAKOV
Q57663,Andrius Kubilius,2024-07-16,1956-12-08,Vilnius,Vilnius University,politician || physicist,,Homeland Union – Lithuanian Christian Democrats,"Independence Medal || Grand Cross of the Order of Isabella the Catholic || Commander of the Order of the Lithuanian Grand Duke Gediminas || Grand Cross of Royal Norwegian Order of Merit || Order of Prince Yaroslav the Wise, 1st class || Order of Prince Yaroslav the Wise, 2nd class",European Commissioner for Defence and Space (from 2024-01-01) || Member of the Seimas (2012-11-16 to 2016-11-14) || Member of the Seimas (2004-11-15 to 2008-11-17) || Member of the Seimas (2000-10-19 to 2004-11-14) || Litvánia miniszterelnökeinek listája (2008-11-26 to 2012-11-22) || Member of the Seimas (2008-11-17 to 2012-11-16) || Member of the Seimas (1992-11-24 to 1996-11-22) || Litvánia miniszterelnökeinek listája (1999-11-03 to 2000-10-26) || Member of the Seimas (2016-11-14 to 2019-07-01) || Member of the Seimas (1996-11-25 to 2000-10-18),ANDRIUS KUBILIUS
Q9151716,Andrzej Buła,2024-07-16,1965-08-28,Kluczbork,University of Physical Education in Wrocław,politician,,Civic Platform,,member of the Sejm,ANDRZEJ BUŁA
Q9152187,Andrzej Halicki,2024-07-16,1961-11-26,Warsaw,SGH Warsaw School of Economics,politician,,Civic Platform,Order of Honour,Representative of the Parliamentary Assembly of the Council of Europe (2012-01-23 to 2015-01-25) || member of the Sejm || Representative of the Parliamentary Assembly of the Council of Europe (from 2016-01-25),ANDRZEJ HALICKI
Q281433,András Gyürk,2024-07-16,1972-12-02,Budapest,"Eötvös Loránd University || Budapest Business School Faculty of Finance and Accountancy || Franciscan Gymnasium, Szentendre",politician,,Fidesz,,substitute member of the Parliamentary Assembly of the Council of Europe (1998-09-21 to 1999-09-20) || member of the National Assembly of Hungary (1998-06-18 to 2004-07-18),ANDRÁS GYÜRK
Q125543408,András Kulja,2024-07-16,1989-09-17,Nyíregyháza,Semmelweis University,physician || politician || influencer || health activist,,Respect and Freedom Party,,,ANDRÁS KULJA
Q63224240,András László,2024-07-16,1984-02-16,http://www.wikidata.org/.well-known/genid/24ab37724438e4dc7b7f2af26183e2d8,,politician || journalist,,Fidesz,,,ANDRÁS LÁSZLÓ
Q126486908,André Rodrigues,2024-07-16,1977-02-12,Ponta Delgada,,politician,,,,member of the Legislative Assembly of the Azores,ANDRÉ RODRIGUES
Q47485256,André Rougé,2024-07-16,1961-12-23,Paris,,politician || anciens cadres,,National Rally,,,ANDRÉ ROUGÉ
Q74215,Angelika Niebler,2024-07-16,1963-02-18,Munich,Ludwig-Maximilians-Universität München || University of Geneva || Thomas-Mann-Gymnasium,lawyer || politician,,Christian Social Union of Bavaria,Bavarian Order of Merit || Cross of the Order of Merit of the Federal Republic of Germany || Bayerische Verfassungsmedaille in silver,,ANGELIKA NIEBLER
Q534677,Angelika Winzig,2024-07-16,1963-05-09,Attnang-Puchheim,Vienna University of Economics and Business,politician,,Austrian People's Party,,substitute member of the Parliamentary Assembly of the Council of Europe (from 2014-01-27) || member of the National Council of Austria (2013-10-29 to 2017-11-08) || member of the National Council of Austria (2017-11-09 to 2019-07-01) || member of the Austrian federal council (2010-06-01 to 2013-10-28),ANGELIKA WINZIG
Q125759249,Angéline Furet,2024-07-16,1981-07-24,Le Mans,,politician || professions libérales et assimilés,,,,,ANGÉLINE FURET
Q126716046,Anja Arndt,2024-07-16,1966-01-10,Tettens,,politician || business consultant,,Alternative for Germany,,,ANJA ARNDT
Q2187156,Anja Hazekamp,2024-07-16,1968-01-21,Vlagtwedde,University of Groningen,politician,Leiden University || Utrecht University,Party for the Animals,,member of the House of Representatives of the Netherlands (2012-01-24 to 2012-05-14),ANJA HAZEKAMP
Q122835372,Anna Bryłka,2024-07-16,1990-09-01,Koło,University of Warsaw || Adam Mickiewicz University in Poznań || SGH Warsaw School of Economics,lawyer || politician || historian,,National Movement || Confederation,,,ANNA BRYŁKA
Q64063467,Anna Cavazzini,2024-07-16,1982-12-12,Schlüchtern,Humboldt-Universität zu Berlin || Freie Universität Berlin,politician,,Alliance '90/The Greens,,,ANNA CAVAZZINI
Q124663398,Anna Maria Cisint,2024-07-16,1963-10-07,Cormons,,politician,,,,,ANNA MARIA CISINT
Q126373333,Anna Strolenberg,2024-07-16,1995-07-23,Utrecht,Utrecht University || Erasmus University Rotterdam,politician || public administration scholar,VluchtelingenWerk,Volt Netherlands,,,ANNA STROLENBERG
Q110970031,Anna Stürgkh,2024-07-16,1994-04-02,Vienna,Harvard University || University of Cambridge,politician,,NEOS – The New Austria,,,ANNA STÜRGKH
Q9155828,Anna Zalewska,2024-07-16,1965-07-06,Świebodzice,University of Wrocław,politician,,Law and Justice,,Minister of National Education (2015-11-16 to 2019-06-04) || member of the Sejm,ANNA ZALEWSKA
Q2850448,Anna-Maja Henriksson,2024-07-16,1964-01-07,Jakobstad,University of Helsinki,politician,,Swedish People's Party of Finland,Commanders Grand Cross of the Order of the Polar Star || Commander of the Order of the White Rose of Finland || Medal for Military Merits || Cross of Merit of the War Invalides,Minister of Education (from 2023-06-20) || member of the Parliament of Finland || municipal councillor in Finland || member of the Parliament of Finland (from 2007-03-21) || member of the Parliament of Finland (from 2019-04-17) || municipal councillor in Finland || Minister of Justice of Finland (2019-12-10 to 2023-06-20) || Minister of Justice of Finland (2011-06-22 to 2015-05-29) || member of the Parliament of Finland,ANNA-MAJA HENRIKSSON
Q120989242,Annalisa Corrado,2024-07-16,1973-09-08,Civitavecchia,,politician,,,,,ANNALISA CORRADO
Q109968699,Annamária Vicsek,2024-07-16,1973-02-09,Subotica,,politician || special education teacher || speech and language therapist,,Fidesz || Alliance of Vojvodina Hungarians,,member of the National Assembly of Serbia (2014-04-16 to 2016-06-15) || member of the National Assembly of Serbia (2020-08-03 to 2020-11-27),ANNAMÁRIA VICSEK
Q112650871,Anne-Sophie Frigout,2024-07-16,1991-04-11,Reims,,"teacher || politician || professors, scientific professions",,France Arise || National Rally,,vice president (2019-01-01 to 2020-01-01) || regional councillor of Grand Est (from 2021-01-01) || member of the French National Assembly (2022-06-22 to 2022-12-02),ANNE-SOPHIE FRIGOUT
Q126870308,Anouk van Brug,2024-07-16,1992-09-14,Amsterdam,,politician,,,,,ANOUK VAN BRUG
Q125960633,Ansis Pūpols,2024-05-14,1975-03-24,Riga,,politician,,National Alliance,,,ANSIS PŪPOLS
Q126477204,Anthony Smith,2024-07-16,1975-04-03,Soissons,,politician || cadres de la fonction publique,,,,,ANTHONY SMITH
Q126936227,Antonella Sberna,2024-07-16,1982-01-11,Rome,,politician,,Brothers of Italy,,,ANTONELLA SBERNA
Q16527490,Antonio Decaro,2024-07-16,1970-07-17,Bari,Polytechnic University of Bari,politician,,Democratic Party,,president of Apulia (from 2026-01-07) || metropolitan mayor of Bari (2015-01-01 to 2024-07-09) || mayor of Bari (2014-06-23 to 2024-07-09) || member of the Chamber of Deputies of the Italian Republic (2013-03-05 to 2014-07-09),ANTONIO DECARO
Q602944,Antonio López-Istúriz White,2024-07-16,1970-04-01,Pamplona,CEU San Pablo University,lawyer || politician,,People's Party,,general secretary (2002-03-05 to 2022-05-31),ANTONIO LÓPEZ-ISTÚRIZ WHITE
Q18564390,Antonín Staněk,2025-10-04,1966-03-02,Olomouc,Pedagogická fakulta Univerzity Palackého,teacher || politician || pedagogue || local politician,,Social Democracy || Oath,,Mayor of Olomouc (2014-11-10 to 2018-11-05) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2017-10-21 to 2021-10-21) || member of a Czech municipal council (2010-10-16 to 2018-10-06) || Minister of Culture of the Czech Republic (2018-06-27 to 2019-07-31),ANTONÍN STANĚK
Q86704608,António Tânger,2024-07-16,1952-04-24,Lisbon,,politician || ambassador || sailor,,Chega,,,ANTÓNIO TÂNGER
Q4778602,Aodhán Ó Ríordáin,2024-07-16,1976-07-22,Dublin,University College Dublin || Malahide Community School,politician,,Labour Party,,Teachta Dála (2011-03-09 to 2016-02-03) || senator of Ireland (2016-06-08 to 2020-03-27) || Teachta Dála (2020-02-08 to 2024-07-15),AODHÁN Ó RÍORDÁIN
Q126372940,Arash Saeidi,2024-07-16,1975-05-25,Tehran,,politician || business executive || Q97767869,,,,,ARASH SAEIDI
Q16595498,Arba Kokalari,2024-07-16,1986-11-27,Tirana,Stockholm University || Kungsholmens gymnasium,politician,,Moderate Party,,,ARBA KOKALARI
Q432867,Arkadiusz Mularczyk,2024-07-16,1971-02-04,Racibórz,Jagiellonian University,lawyer || politician,Chancellery of the Senate,Law and Justice || Solidarity Electoral Action || Sovereign Poland,Commander First Class of the Order of the Lion of Finland,member of the Sejm || Representative of the Parliamentary Assembly of the Council of Europe (from 2012-01-23),ARKADIUSZ MULARCZYK
Q126680565,Arno Bausemer,2024-07-16,1982-12-02,Havelberg,Leipzig University,politician || impostor,,Alternative for Germany,,,ARNO BAUSEMER
Q64076211,Asger Christensen,2024-07-16,1958-01-08,Denmark,,politician || farmer,,Venstre,,,ASGER CHRISTENSEN
Q19760666,Assita Kanko,2024-07-16,1980-07-14,Godyr,University Joseph Ki-Zerbo || Solvay Brussels School of Economics and Management,politician,,New Flemish Alliance,,,ASSITA KANKO
Q771169,Auke Zijlstra,2024-07-16,1964-11-01,Joure,University of Groningen,politician,,,,,AUKE ZIJLSTRA
Q63344065,Aura Salla,2024-07-16,1984-06-13,Lappeenranta,University of Turku,politician || lobbyist,,National Coalition Party,,member of the Parliament of Finland (from 2023-04-05),AURA SALLA
Q27546897,Aurelijus Veryga,2024-07-16,1976-08-08,Užventis,Medical Academy of the Lithuanian University of Health Sciences || Užventis gymnasium,physician || politician || professor,,independent politician,,Member of the Seimas (2020-11-13 to 2024-07-15) || Member of the Seimas (2016-11-14 to 2020-11-13) || Minister of Health of Lithuania (2016-12-13 to 2020-12-11),AURELIJUS VERYGA
Q56320702,Aurore Lalucq,2024-07-16,1979-04-17,Longjumeau,University of Paris 1 Pantheon-Sorbonne || Paris Dauphine University,politician || economist,Charles Léopold Mayer Foundation for the Progress of Humankind,Génération.s || Place publique,,director (2010-01-01 to 2019-01-01),AURORE LALUCQ
Q16530497,Axel Voss,2024-07-16,1963-04-07,Hamelin,Trier University,lawyer || politician,,Christian Democratic Union,,,AXEL VOSS
Q4853187,Balázs Győrffy,2024-07-16,1979-04-21,Pápa,,politician,,Fidesz,,mayor of a place in Hungary (2006-01-01 to 2014-01-01) || member of the National Assembly of Hungary (2022-05-02 to 2024-07-09) || member of the National Assembly of Hungary (2010-05-14 to 2022-05-01),BALÁZS GYŐRFFY
Q17350470,Barbara Bonte,2024-07-16,1983-05-13,Jette,,politician,,Flemish Interest,,member of the Flemish Parliament,BARBARA BONTE
Q3777503,Barry Andrews,2024-07-16,1967-05-16,Dublin,University College Dublin,politician || barrister || secondary school teacher,,Fianna Fáil,,Teachta Dála (2002-06-06 to 2007-04-26) || Minister of State for Children (2008-05-07 to 2011-03-09) || Teachta Dála (2007-06-14 to 2011-02-01),BARRY ANDREWS
Q4864133,Barry Cowen,2024-07-16,1967-08-28,Clara,"University of Galway || Cistercian College, Roscrea",politician,,Fianna Fáil,,Teachta Dála (2016-03-10 to 2020-01-14) || Representative of the Parliamentary Assembly of the Council of Europe (from 2016-10-10) || Teachta Dála (2020-02-08 to 2024-07-15) || Teachta Dála (2011-03-09 to 2016-02-03),BARRY COWEN
Q84922653,Bart Groothuis,2024-07-16,1981-01-01,Reutum,Radboud University,politician,,People's Party for Freedom and Democracy,,,BART GROOTHUIS
Q55703,Bartosz Arłukowicz,2024-07-16,1971-12-30,Resko,University of Szczecin,politician || university teacher || pediatrician,Pomeranian Medical University,Civic Platform,Order of the Smile,member of the Sejm (2023-11-13 to 2024-06-10) || member of the Sejm (2011-11-08 to 2015-11-11) || member of the Sejm (2007-11-05 to 2011-11-07) || member of the Sejm (2015-11-12 to 2019-05-28) || Minister of Health (2011-11-18 to 2015-06-15),BARTOSZ ARŁUKOWICZ
Q5213246,Bartłomiej Sienkiewicz,2024-07-16,1961-07-29,Kielce,Jagiellonian University,politician || minister || historian || journalist || opinion journalist,National Defence University of Warsaw || Urząd Ochrony Państwa || Instytut Obywatelski || Ministry of Culture and National Heritage || Centre for Eastern Studies || Ministry of Internal Affairs,Civic Platform,Cross of Freedom and Solidarity || Bene Merito,Minister of Culture and National Heritage (2023-12-13 to 2024-05-10) || member of the Sejm (from 2019-01-01),BARTŁOMIEJ SIENKIEWICZ
Q809726,Bas Eickhout,2024-07-16,1976-10-08,Groesbeek,Radboud University,politician || chemist,,GroenLinks,,chairperson (from 2024-07-16),BAS EICKHOUT
Q4877021,Beata Szydło,2024-07-16,1963-04-15,Oświęcim,Jagiellonian University || SGH Warsaw School of Economics || Krakow University of Economics,politician || ethnologist,,Law and Justice,,member of the Sejm (2007-01-01 to 2011-01-01) || Prime Minister of Poland (2015-11-16 to 2017-12-11),BEATA SZYDŁO
Q114031217,Beatrice Rugland Timgren,2024-07-16,1989-05-12,Järfälla församling,Royal Institute of Technology,politician,,Sweden Democrats,,member of the Swedish Riksdag (2022-09-26 to 2024-07-15),BEATRICE RUGLAND TIMGREN
Q126902868,Benedetta Scuderi,2024-07-16,1991-09-08,Agropoli,University College London || Bocconi University || Università degli Studi Roma Tre,politician,,Green Europe,,,BENEDETTA SCUDERI
Q126728399,Benoît Cassart,2024-07-16,1968-10-02,Liège,,politician || farmer,,,,,BENOÎT CASSART
Q2898005,Bernard Guetta,2024-07-16,1951-01-28,Boulogne-Billancourt,Centre de formation des journalistes,writer || politician || journalist,Le Monde || France Inter || L'Express || Le Nouvel Obs,Revolutionary Communist League,Albert Londres Prize,,BERNARD GUETTA
Q64033377,Bert-Jan Ruissen,2024-07-16,1972-03-22,Kruiningen,Wageningen University & Research,politician || historian || journalist,,Reformed Political Party,list of members of the Order of Oranje-Nassau,,BERT-JAN RUISSEN
Q11074254,Biljana Borzan,2024-07-16,1971-11-29,Osijek,"School of Medicine, University of Zagreb",physician || politician || diplomat,,Social Democratic Party of Croatia,,,BILJANA BORZAN
Q559402,Billy Kelleher,2024-07-16,1968-01-20,Cork,Cork Institute of Technology,politician || farmer,,Fianna Fáil,,"Teachta Dála (2007-06-14 to 2011-02-01) || Teachta Dála (2016-03-10 to 2019-06-28) || Teachta Dála (2002-06-06 to 2007-04-26) || senator of Ireland (1993-02-17 to 1997-06-06) || Teachta Dála (1997-06-26 to 2002-04-25) || Teachta Dála (2011-03-09 to 2016-02-03) || Minister of State at the Department of Enterprise, Trade and Employment (2007-06-20 to 2009-04-21) || Minister of State for Trade and Development (2009-04-22 to 2011-03-09)",BILLY KELLEHER
Q108736,Birgit Sippel,2024-07-16,1960-01-29,Bochum,,politician,,Social Democratic Party of Germany,,,BIRGIT SIPPEL
Q9175313,Bogdan Rzońca,2024-07-16,1961-02-01,Zarzecze,University of the National Education Commission,politician,,Law and Justice,Knight of the Order of Polonia Restituta,member of the Sejm,BOGDAN RZOŃCA
