wikidata_id,name,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions,name_upper
Q63965965,Marie-Pierre Vedrenne,2024-07-16,1982-12-13,Limoges,University of Rennes 1 || University of Limoges,politician || jurist,,Renaissance,,,MARIE-PIERRE VEDRENNE
Q139379975,Marie-Sophie Lanig,2026-03-27,1995-03-09,Würzburg,,politician,,Christian Democratic Union,,,MARIE-SOPHIE LANIG
Q127599331,Marieke Ehlers,2024-07-16,1988-05-06,Pretoria,,politician,,,,,MARIEKE EHLERS
Q439111,Marina Kaljurand,2024-07-16,1962-09-06,Tallinn,Tufts University || University of Tartu || The Fletcher School of Law and Diplomacy || Tallinn English College || Estonian School of Diplomacy,lawyer || politician || diplomat || badminton player,Tallinn University of Technology,Social Democratic Party,"Women of the Year || Order of the National Coat of Arms, 3rd Class || Order of the White Star, 3rd Class || national champion",member of the Riigikogu (2019-04-04 to 2019-06-12) || ambassador of Estonia to the United States (2011-09-01 to 2014-08-01) || Ambassador of Estonia to Israel (2004-01-01 to 2006-01-01) || ambassador of Estonia to Russia (2005-01-01 to 2008-01-01) || Minister of Foreign Affairs (2015-07-16 to 2016-09-12),MARINA KALJURAND
Q112652864,Marina Mesure,2024-07-16,1989-07-12,Marseille,,politician || cadres de la fonction publique,,,,,MARINA MESURE
Q64605658,Mario Furore,2024-07-16,1988-12-25,Foggia,Luiss University,politician,,Five Star Movement,,,MARIO FURORE
Q1055587,Mario Mantovani,2024-07-16,1950-07-28,Arconate,,businessperson || politician,,The People of Freedom || Forza Italia,,mayor of Arconate (2001-05-13 to 2006-04-06) || member of the Senate of the Italian Republic (2008-04-23 to 2013-03-14) || mayor of Arconate (2009-06-07 to 2014-05-26) || assessor of a place in Italy (2015-09-01 to 2015-10-13) || mayor of Arconate (2006-04-06 to 2008-05-08) || member of the Senate of the Italian Republic (2013-03-05 to 2013-06-03) || Vice-President of an Italian regional council (from 2013-03-20) || assessor of a place in Italy (2013-03-20 to 2015-09-01),MARIO MANTOVANI
Q292458,Marion Maréchal,2024-07-16,1989-12-10,Saint-Germain-en-Laye,Panthéon-Assas University Paris || Emlyon Business School || Institution Saint-Pie-X,politician || jurist,,National Rally || Front national || Reconquête || Identity–Freedoms,,director (from 2018-05-01) || conseiller régional de Provence-Alpes-Côte d'Azur (2015-12-13 to 2017-06-30) || member of the French National Assembly (2012-06-20 to 2017-06-20),MARION MARÉCHAL
Q97573,Marion Walsmann,2024-07-16,1963-03-17,Erfurt,Leipzig University,politician || jurist,,Christian Democratic Union,,member of the Volkskammer || member of the Landtag of Thuringia || member of the Landtag of Thuringia (2004-07-08 to 2009-09-29) || member of the Landtag of Thuringia (2009-09-29 to 2014-10-14),MARION WALSMANN
Q617451,Marit Maij,2025-02-13,1972-01-16,The Hague,University of Amsterdam,politician || diplomat,Ministry of the Interior and Kingdom Relations,Labour Party || GroenLinks,,Representative of the Parliamentary Assembly of the Council of Europe (2016-03-04 to 2017-06-25) || member of the House of Representatives of the Netherlands (2012-09-20 to 2017-03-22) || substitute member of the Parliamentary Assembly of the Council of Europe (2013-09-30 to 2016-03-04),MARIT MAIJ
Q3845166,Mariusz Kamiński,2024-07-16,1965-09-25,Sochaczew,University of Warsaw,politician || dissident || historian,Solidarity || Telewizja Polska || Central Anticorruption Bureau || National Security Bureau || Q9284442 || Srebrna Sp. z o.o.,Law and Justice || Solidarity Electoral Action || Citizens' Movement for Democratic Action || Right Alliance,Cross of Freedom and Solidarity || Commander of the Order of Polonia Restituta,member of the Sejm || Secretary of State (2005-01-01 to 2006-01-01) || member of the Sejm || Polish minister without portfolio (2015-11-16 to 2023-11-27) || member of the Sejm || member of the Sejm || member of the Sejm || Minister of the Interior and Administration of Poland (2019-11-15 to 2023-11-27) || member of the Sejm || member of the Sejm,MARIUSZ KAMIŃSKI
Q12795878,Marjan Šarec,2024-07-16,1977-12-02,Ljubljana,"University of Ljubljana || Academy of Theatre, Radio, Film and Television",politician || comedian || journalist || television actor,,List of Marjan Šarec || Freedom Movement,,Minister of Defence (from 2022-06-01) || Prime Minister of Slovenia (2018-08-17 to 2020-03-03) || Member of the National Assembly of Slovenia (2018-06-03 to 2018-08-23) || Member of the National Assembly of Slovenia (from 2020-03-13),MARJAN ŠAREC
Q43677472,Marko Vešligaj,2024-09-05,1982-04-17,Zagreb,,politician,,,,representative in the Croatian Parliament (2016-10-14 to 2020-07-22),MARKO VEŠLIGAJ
Q64174236,Markus Buchheit,2024-07-16,1983-08-11,Zweibrücken,,politician || jurist,,Alternative for Germany,,,MARKUS BUCHHEIT
