Person,Category,Institution,Field of Study,Degree,Source Type,Source Name,Evidence Quote
Kadri Simson,commissioner,University Of Tartu,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Simson graduated from Tartu 10th Middle School in 1995, Tartu University in 2000, (majoring in history)."
Kaja Kallas,commissioner,Estonian Business School (Ebs),Law,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She went on to obtain a one-year Executive Master of Business Administration (EMBA) from EBS in 2010.
Kaja Kallas,commissioner,University Of Tartu,Law,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She graduated from the University of Tartu in 1999 with a bachelor's degree in law.
Karel De Gucht,commissioner,ULB Brussels,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He entered politics at a young age, and became president of the Flemish Liberal Students while studying at the Vrije Universiteit Brussel in Brussels."
Karel De Gucht,commissioner,Vrije Universiteit Brussel,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He entered politics at a young age, and became president of the Flemish Liberal Students while studying at the Vrije Universiteit Brussel in Brussels."
Karel Van Miert,commissioner,Ghent University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He studied at Ghent University (1962–1966) and gained a degree in diplomatic sciences.
Karmenu Vella,commissioner,Lyceum Secondary School,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After his primary education in Zurrieq and his secondary education at the Lyceum Secondary School, Vella attended his pre-tertiary education at the University of Malta's Junior College until 1968."
Karmenu Vella,commissioner,Royal University Of Malta,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Karmenu Vella attended the Royal University of Malta where he was conferred with a Bachelor of Arts in Architectural Studies in 1970, and then graduated as an Architect and Civil Engineer in 1973."
Karmenu Vella,commissioner,Sheffield Hallam University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Between 1998 and 2000 he studied at Sheffield Hallam University where he was awarded a Master of Science degree in Tourism.
Karmenu Vella,commissioner,University Of Malta'S Junior College,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After his primary education in Zurrieq and his secondary education at the Lyceum Secondary School, Vella attended his pre-tertiary education at the University of Malta's Junior College until 1968."
Kristalina Georgieva,commissioner,Karl Marx Higher Institute Of Economics (Now Called University Of National And W,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Georgieva holds a PhD in economics and an MA in Political Economy and Sociology from the Karl Marx Higher Institute of Economics (now called University of National and World Economy) in Sofia.
Kristalina Georgieva,commissioner,LSE,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She was a post-doctoral research fellow in natural resource economics and environmental policy at the London School of Economics from 1987 to 1988, a Fulbright fellow at the Massachusetts Institute of"
Kristalina Georgieva,commissioner,London School Of Economics,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She was a post-doctoral research fellow in natural resource economics and environmental policy at the London School of Economics from 1987 to 1988
Kristalina Georgieva,commissioner,MIT,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She was a post-doctoral research fellow in natural resource economics and environmental policy at the London School of Economics from 1987 to 1988, a Fulbright fellow at the Massachusetts Institute of"
Leonard Orban,commissioner,Bucharest Academy Of Economic Studies,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"and a bachelor's degree (1987–1992) in economics at the Faculty of Management, Bucharest Academy of Economic Studies"
Leonard Orban,commissioner,Transylvania University Of Braşov,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Orban gained a bachelor's degree (1981–1986) in engineering at the Faculty of Mechanical Engineering, Transylvania University of Braşov"
Louis Michel,commissioner,École Polytechnique,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: École polytechnique
Loyola de Palacio,commissioner,Complutense University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She was educated at the Lycée Français in Madrid, and studied law at Complutense University, and also Communications Engineering, a field in which Luis Maria de Palacio, Sr., was a top expert."
Loyola de Palacio,commissioner,Lycée Français In Madrid,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She was educated at the Lycée Français in Madrid, and studied law at Complutense University, and also Communications Engineering, a field in which Luis Maria de Palacio, Sr., was a top expert."
László Andor,commissioner,Corvinus University Of Budapest,Economics,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied Economics at the Corvinus University of Budapest (then called the Karl Marx University), and later became Associate Professor of Economic Policy at the same institution."
László Andor,commissioner,George Washington University,Economics,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He also studied at the George Washington University in Washington, D.C., and in 1993 earned a master's degree in Development Economics at the University of Manchester."
László Andor,commissioner,University Of Manchester,Economics,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He also studied at the George Washington University in Washington, D.C., and in 1993 earned a master's degree in Development Economics at the University of Manchester."
László Kovács,commissioner,Corvinus University Of Budapest,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Corvinus University of Budapest
László Kovács,commissioner,Mszmp Political College,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: MSZMP Political College
Magnus Brunner,commissioner,King's College London,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),and King's College London (LLM).
Magnus Brunner,commissioner,King's College London,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Brunner studied jurisprudence at the University of Innsbruck, the University of Vienna (Dr. iur.) and King's College London (LLM)."
Magnus Brunner,commissioner,University Of Innsbruck,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Brunner studied jurisprudence at the University of Innsbruck, the University of Vienna (Dr. iur.) and King's College London (LLM)."
Magnus Brunner,commissioner,University Of Vienna,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Brunner studied jurisprudence at the University of Innsbruck, the University of Vienna (Dr. iur.) and King's College London (LLM)."
Mairead McGuinness,commissioner,University College Dublin,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),McGuinness was the first female graduate of University College Dublin's Bachelor of Science degree in Agricultural economics in 1980.
Marcelino Oreja,commissioner,Ceu San Pablo University Foundation,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He continued to be active in many fields, being appointed Head of the Institute for European Studies at the CEU San Pablo University Foundation, Vice-chair of the BBV Foundation (1996) and Doctor Honoris Causa at Zaragoza and Seville Universities (1996)."
Marcelino Oreja,commissioner,Seville University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He continued to be active in many fields, being appointed Head of the Institute for European Studies at the CEU San Pablo University Foundation, Vice-chair of the BBV Foundation (1996) and Doctor Honoris Causa at Zaragoza and Seville Universities (1996)."
Marcelino Oreja,commissioner,Zaragoza University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He continued to be active in many fields, being appointed Head of the Institute for European Studies at the CEU San Pablo University Foundation, Vice-chair of the BBV Foundation (1996) and Doctor Honoris Causa at Zaragoza and Seville Universities (1996)."
Margaritis Schinas,commissioner,Aristotle University Of Thessaloniki,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Schinas studied at Aristotle University of Thessaloniki, where he received a Bachelor of Laws in 1985."
Margaritis Schinas,commissioner,College of Europe,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He went on to receive a Diploma of Advanced European Studies (DAES) in European Public Administration from the College of Europe in Bruges in 1986, as well as a further Master of Science in Public Administration and Policy at the London School of Economics in 1987."
Margaritis Schinas,commissioner,Harvard,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In October 2011, he graduated from the EU-funded ""High Potential Leadership"" Program of the Harvard University School of Business."
Margaritis Schinas,commissioner,London School Of Economics,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He went on to receive a Diploma of Advanced European Studies (DAES) in European Public Administration from the College of Europe in Bruges in 1986, as well as a further Master of Science in Public Administration and Policy at the London School of Economics in 1987."
Margot Wallström,commissioner,Alfa Savings Bank,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 1973, she started her career as a banking clerk at the Alfa Savings bank in Karlstad."
Maria Damanaki,commissioner,National Technical University Of Athens,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Damanaki was born in Agios Nikolaos, Crete, in 1952, and studied chemical engineering in the National Technical University of Athens."
Maria Luís Albuquerque,commissioner,"Iseg, Technical University Of Lisbon",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She graduated in economics in 1991 from Universidade Lusíada, in Lisbon, and holds a Master's degree (1997) in Monetary and Financial Economics from ISEG, Technical University of Lisbon."
Maria Luís Albuquerque,commissioner,Universidade Lusíada,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She graduated in economics in 1991 from Universidade Lusíada, in Lisbon, and holds a Master's degree (1997) in Monetary and Financial Economics from ISEG, Technical University of Lisbon."
Marianne Thyssen,commissioner,Catholic University Of Leuven (Kul),,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Thyssen graduated from the Catholic University of Leuven (KUL) in 1979, where she obtained a degree in law."
Mario Monti,commissioner,Bocconi,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Monti studied at the private Leo XIII High School and attended Bocconi University of Milan, where he obtained a degree in economics in 1965."
Mario Monti,commissioner,Bocconi,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Monti studied at the private Leo XIII High School and attended Bocconi University of Milan, where he obtained a degree in economics in 1965."
Mario Monti,commissioner,Leo Xiii High School,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Monti studied at the private Leo XIII High School and attended Bocconi University of Milan, where he obtained a degree in economics in 1965."
Mario Monti,commissioner,Yale University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Later, he won a scholarship to Yale University, where he studied under James Tobin, a recipient of the Nobel Prize in Economics."
Mario Monti,commissioner,Yale University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Later, he won a scholarship to Yale University, where he studied under James Tobin, a recipient of the Nobel Prize in Economics."
Mariya Gabriel,commissioner,Dr Petar Beron Language High School In Kyustendil,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 1997, she graduated from the Dr Petar Beron language high school in Kyustendil."
Mariya Gabriel,commissioner,Institut D'Études Politiques De Bordeaux (Institute Of Political Studies) In Bor,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She continued her studies at the Institut d'études politiques de Bordeaux (Institute of Political Studies) in Bordeaux (France), where she obtained a master's degree in 'Comparative Politics and International Relations'."
Mariya Gabriel,commissioner,"Plovdiv University ""Paisii Hilendarski""",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 2001 she graduated from the Plovdiv University ""Paisii Hilendarski""."
Markos Kyprianou,commissioner,Harvard,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He earned a second master's degree in law, specialising in Company Law and Taxation, at Harvard Law School."
Markos Kyprianou,commissioner,Harvard,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He earned a second master's degree in law, specialising in Company Law and Taxation, at Harvard Law School."
Markos Kyprianou,commissioner,"Trinity College, Cambridge",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied law at the Law School of the University of Athens and at Trinity College, Cambridge, where he specialised in international law and tax law and was awarded a master's degree in Law (LLM)."
Markos Kyprianou,commissioner,University Of Athens,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied law at the Law School of the University of Athens and at Trinity College, Cambridge, where he specialised in international law and tax law and was awarded a master's degree in Law (LLM)."
Maroš Šefčovič,commissioner,Comenius University,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 2000, he obtained a PhD in international law at Comenius University in Bratislava."
Maroš Šefčovič,commissioner,Moscow State Institute Of International Relations,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Born in Bratislava, Šefčovič originally enrolled at the University of Economics in his hometown in 1984, but left the university after one year to pursue a degree in Russia at Moscow State Institute of International Relations, where he studied from 1985 to 1990."
Maroš Šefčovič,commissioner,University College London,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Born in Bratislava, Šefčovič originally enrolled at the University of Economics in his hometown in 1984, but left the university after one year to pursue a degree in Russia at Moscow State Institute of International Relations, where he studied from 1985 to 1990."
Marta Kos,commissioner,"University Of Ljubljana (Implied By ""Studied Journalism"")",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She studied journalism and joined the sports division of RTV, and later moved to Germany where she worked for Deutsche Welle and as Bonn correspondent for RTV starting in 1993."
Martin Bangemann,commissioner,Ludwig-Maximilians-Universität München,Law,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied law in Tübingen and Munich, and earned a Dr. jur."
Martin Bangemann,commissioner,Munich,Law,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied law in Tübingen and Munich, and earned a Dr. jur. (not equivalent to J.D., but a PhD in law) in 1962 with a dissertation entitled Bilder und Fiktionen in Recht und Rechtswissenschaft (Imagery and fiction in law and jurisprudence)."
Martin Bangemann,commissioner,Tübingen,Law,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied law in Tübingen and Munich, and earned a Dr. jur. (not equivalent to J.D., but a PhD in law) in 1962 with a dissertation entitled Bilder und Fiktionen in Recht und Rechtswissenschaft (Imagery and fiction in law and jurisprudence)."
Martin Bangemann,commissioner,University of Tübingen,Law,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied law in Tübingen and Munich, and earned a Dr. jur."
Meglena Kuneva,commissioner,Georgetown University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),In the meantime Kuneva specialized in Foreign Affairs and Environmental Law at Georgetown University and the University of Oxford.
Meglena Kuneva,commissioner,Sofia University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She graduated in Law from Sofia University in 1981, and in 1984 she became a Doctor of Law."
Meglena Kuneva,commissioner,University Of Oxford,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),In the meantime Kuneva specialized in Foreign Affairs and Environmental Law at Georgetown University and the University of Oxford.
Meglena Kuneva,commissioner,University Of Oxford,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),In the meantime Kuneva specialized in Foreign Affairs and Environmental Law at Georgetown University and the University of Oxford.
Michael McGrath,commissioner,University College Cork,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied commerce at University College Cork and later qualified as a chartered accountant with KPMG and worked subsequently as Financial Controller of RedFM and Head of Management Information and Systems, University College Cork."
Michaele Schreyer,commissioner,University of Cologne,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Schreyer wrote her doctoral thesis on tax federalism at the University of Cologne.
Michel Barnier,commissioner,École Supérieure De Commerce De Paris (Escp),,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He graduated from the École Supérieure de Commerce de Paris (ESCP) in 1972.
Miguel Arias Cañete,commissioner,Jesuit School At Chamartín,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Arias Cañete was born to judge don Alfonso Arias de la Cuesta, and educated in Madrid, first at the Jesuit School at Chamartín before reading Law at the Universidad Complutense."
Miguel Arias Cañete,commissioner,Universidad Complutense,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Arias Cañete was born to judge don Alfonso Arias de la Cuesta, and educated in Madrid, first at the Jesuit School at Chamartín before reading Law at the Universidad Complutense."
Miguel Arias Cañete,commissioner,University Of Cádiz,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 1978 he resigned as a civil servant to become a Professor of Law at the University of Cádiz, where he remained until 1982."
Monika Wulf-Mathies,commissioner,University of Bonn,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"University of Bonn, Deputy Chairwoman of the University Council (2008-2013)"
Máire Geoghegan-Quinn,commissioner,Carysfort College,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She was educated at Coláiste Muire, Tourmakeady, in County Mayo and at Carysfort College in Blackrock, Dublin, from where she qualified as a teacher."
Máire Geoghegan-Quinn,commissioner,"Coláiste Muire, Tourmakeady",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She was educated at Coláiste Muire, Tourmakeady, in County Mayo and at Carysfort College in Blackrock, Dublin, from where she qualified as a teacher."
Neelie Kroes,commissioner,Nyenrode Business University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Kroes semi-retired from active politics and became active in the private and public sectors as a corporate and non-profit director and served on several state commissions and councils on behalf of the government, and served as Rector Magnificus of the Nyenrode Business University from June 1991 unti"
Neelie Kroes,commissioner,Protestant Grammar School In Rotterdam,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Kroes attended a Protestant grammar school in Rotterdam.
Neelie Kroes,commissioner,Rotterdam School Of Economics,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Kroes studied Economics at the Rotterdam School of Economics obtaining a Master of Economics degree.
Neil Kinnock,commissioner,"Lewis School, Pengam",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 1953, aged eleven, Kinnock began his secondary education at Lewis School, Pengam, once described by David Lloyd George as ‘the Eton of the Valleys’, but an institution Kinnock later criticised for its record on corporal punishment."
Neven Mimica,commissioner,University Of Zagreb Faculty Of Economics,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Mimica graduated from the University of Zagreb Faculty of Economics in 1976.
Nicolas Schmit,commissioner,Institut D'Études Politiques D'Aix-En-Provence,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Schmit studied economics in France at the Institut d'études politiques d'Aix-en-Provence.
Olivér Várhelyi,commissioner,University Of Szeged,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: University of Szeged
Olli Rehn,commissioner,Macalester College,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Rehn studied economics, international relations, and journalism at Macalester College in Saint Paul, Minnesota, in the United States."
Olli Rehn,commissioner,"St. Antony'S College, Oxford",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He gained a master's degree in political science from the University of Helsinki in 1989, and a D.Phil. from St. Antony's College, Oxford in 1996 on the subject of ""Corporatism and Industrial Competitiveness in Small European States""."
Olli Rehn,commissioner,University Of Helsinki,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He gained a master's degree in political science from the University of Helsinki in 1989, and a D.Phil. from St. Antony's College, Oxford in 1996 on the subject of ""Corporatism and Industrial Competitiveness in Small European States""."
Padraig Flynn,commissioner,St Patrick'S College Of Education,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He was educated in St. Gerald's College, Castlebar and qualified as a primary school teacher from St Patrick's College of Education in Dublin."
Padraig Flynn,commissioner,St. Gerald'S College,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He was educated in St. Gerald's College, Castlebar and qualified as a primary school teacher from St Patrick's College of Education in Dublin."
Paolo Gentiloni,commissioner,Classical Lyceum Torquato Tasso,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),During the early 1970s he attended the Classical Lyceum Torquato Tasso in Rome;
Paolo Gentiloni,commissioner,Montessori Institute,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"during his childhood he attended a Montessori institute, where he became a friend of Agnese Moro, the daughter of Aldo Moro, a Christian democratic leader and Prime Minister."
Paolo Gentiloni,commissioner,Sapienza University Of Rome,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),he graduated in political sciences at the Sapienza University of Rome.
Pascal Lamy,commissioner,Hec Paris,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Lamy studied at Sciences Po, HEC Paris and the École nationale d'administration, graduating second in his year of those specialising in economics."
Pascal Lamy,commissioner,Sciences Po,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Lamy studied at Sciences Po, HEC Paris and the École nationale d'administration, graduating second in his year of those specialising in economics."
Pascal Lamy,commissioner,École Nationale D'Administration,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Lamy studied at Sciences Po, HEC Paris and the École nationale d'administration, graduating second in his year of those specialising in economics."
Pedro Solbes,commissioner,Complutense University Of Madrid,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Complutense University of Madrid
Pedro Solbes,commissioner,Free University Of Brussels,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Free University of Brussels
Peter Mandelson,commissioner,Hendon School,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Hendon School
Peter Mandelson,commissioner,St Catherine'S College,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: St Catherine's College
Phil Hogan,commissioner,"St. Joseph'S College, Freshford",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He was educated locally in St. Joseph's College, Freshford, and St. Kieran's College, Kilkenny."
Phil Hogan,commissioner,"St. Kieran'S College, Kilkenny",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He was educated locally in St. Joseph's College, Freshford, and St. Kieran's College, Kilkenny."
Phil Hogan,commissioner,University College Cork,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Afterwards, he attended University College Cork, where he graduated with a Bachelor's degree in Economics and Geography and subsequently a Higher Diploma in Education from the same university."
Philippe Busquin,commissioner,Free University Of Brussels,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),1980: First degree in philosophy at the Free University of Brussels
Philippe Busquin,commissioner,ULB Brussels,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Degree in physics from the Free University of Brussels
Pierre Moscovici,commissioner,ENA,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Moscovici obtained his Baccalauréat at the Lycée Condorcet in 1974, a DEA in economics and in philosophy, and he graduated from Sciences Po Paris and the École nationale d'administration, where he stu"
Pierre Moscovici,commissioner,Lycée Condorcet,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Moscovici obtained his Baccalauréat at the Lycée Condorcet in 1974, a DEA in economics and in philosophy, and he graduated from Sciences Po Paris and the École nationale d'administration, where he studied under Dominique Strauss-Kahn, who became a friend and mentor in politics."
Pierre Moscovici,commissioner,Sciences Po,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Moscovici obtained his Baccalauréat at the Lycée Condorcet in 1974, a DEA in economics and in philosophy, and he graduated from Sciences Po Paris and the École nationale d'administration, where he stu"
Pierre Moscovici,commissioner,Sciences Po,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Moscovici obtained his Baccalauréat at the Lycée Condorcet in 1974, a DEA in economics and in philosophy, and he graduated from Sciences Po Paris and the École nationale d'administration, where he studied under Dominique Strauss-Kahn, who became a friend and mentor in politics."
Pierre Moscovici,commissioner,École Nationale D'Administration,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Moscovici obtained his Baccalauréat at the Lycée Condorcet in 1974, a DEA in economics and in philosophy, and he graduated from Sciences Po Paris and the École nationale d'administration, where he studied under Dominique Strauss-Kahn, who became a friend and mentor in politics."
Piotr Serafin,commissioner,Sgh Warsaw School Of Economics,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Serafin graduated in economics at the SGH Warsaw School of Economics, and in law at the University of Warsaw."
Piotr Serafin,commissioner,University Of Sussex,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He was a postgraduate student of European integration at the University of Sussex.
Piotr Serafin,commissioner,University Of Warsaw,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Serafin graduated in economics at the SGH Warsaw School of Economics, and in law at the University of Warsaw."
Poul Nielson,commissioner,Aarhus University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Born in Copenhagen, Nielson graduated in political science from Aarhus University in 1972."
Raffaele Fitto,commissioner,University Of Bari,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: University of Bari
Ritt Bjerregaard,commissioner,Roskilde University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"On 5 November 1975, Bjerregaard hired an external chancellor for Roskilde University."
Romano Prodi,commissioner,LSE,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He then carried out postgraduate studies at the London School of Economics.
Romano Prodi,commissioner,Liceo Ludovico Ariosto,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After completing his secondary education at the Liceo Ludovico Ariosto in Reggio Emilia, Prodi graduated in law at Milan's Università Cattolica in 1961 with a thesis on the role of protectionism in the development of Italian industry."
Romano Prodi,commissioner,London School Of Economics,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He then carried out postgraduate studies at the London School of Economics.
Romano Prodi,commissioner,Università Cattolica,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After completing his secondary education at the Liceo Ludovico Ariosto in Reggio Emilia, Prodi graduated in law at Milan's Università Cattolica in 1961 with a thesis on the role of protectionism in the development of Italian industry."
Roxana Mînzatu,commissioner,Dimitrie Cantemir Christian University,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"and an MA in European integration in 2005, from the Dimitrie Cantemir Christian University."
Roxana Mînzatu,commissioner,University Of Bucharest,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She obtained a BA in political science in 2002 from the University of Bucharest
Siim Kallas,commissioner,University Of Tartu,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"1974–1977 Economics of environmental protection, University of Tartu, Candidate of Sciences"
Sir Leon Brittan,commissioner,Haberdashers' Aske'S Boys' School,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Brittan was educated at the Haberdashers' Aske's Boys' School and Trinity College, Cambridge, where he was President of the Cambridge Union Society and Chairman of the Cambridge University Conservative Association."
Sir Leon Brittan,commissioner,"Trinity College, Cambridge",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Brittan was educated at the Haberdashers' Aske's Boys' School and Trinity College, Cambridge, where he was President of the Cambridge Union Society and Chairman of the Cambridge University Conservative Association."
Sir Leon Brittan,commissioner,Yale University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Brittan then studied at Yale University on a Henry Fellowship.
Sir Leon Brittan,commissioner,Yale University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Brittan then studied at Yale University on a Henry Fellowship.
Stavros Dimas,commissioner,New York University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Dimas studied law at the University of Athens and went on to earn a Master of Laws from New York University.
Stavros Dimas,commissioner,University Of Athens,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Dimas studied law at the University of Athens and went on to earn a Master of Laws from New York University.
Stella Kyriakides,commissioner,University Of Reading,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Born in Nicosia, Kyriakides got a degree in psychology from the University of Reading and a master's degree in child maladjustment at the Victoria University of Manchester."
Stella Kyriakides,commissioner,Victoria University Of Manchester,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Born in Nicosia, Kyriakides got a degree in psychology from the University of Reading and a master's degree in child maladjustment at the Victoria University of Manchester."
Stéphane Séjourné,commissioner,University Of Poitiers,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After obtaining his baccalaureate in 2005, he returned to France, entered the University of Poitiers and obtained a bachelor’s degree in economic and social administration (AES), then a master’s degree in public law and a master’s degree in European law in 2011."
