name,country,national_party,ep_group,notes
Liene Liepiņafrom 19 March 2009,Latvia,&#160;,JL,EPP-ED
Peter Liese,Germany,North Rhine-Westphalia,CDU,EPP-ED
Kartika Liotard,Netherlands,&#160;,SP,EUL/NGL
Alain Lipietz,France,Ile-de-France,Les Verts,Greens-EFA
Pia Elda Locatelli,Italy,North-West,SDI,PES
Eleonora Lo Curtofrom 24 July 2008,Italy,Islands,FI,EPP-ED
Antonio López-Istúriz White,Spain,&#160;,PP,EPP-ED
Andrea Loscofrom 8 May 2006,Italy,&#160;,Olive Tree,ALDE
Patrick Louis,France,Sud-Est,MPF,IND/DEM
Caroline Lucas,United Kingdom,South East England,Greens (E&amp;W),Greens-EFA
Sarah Ludford,United Kingdom,London,Lib Dem,ALDE
Astrid Lulling,Luxembourg,&#160;,CSV,EPP-ED
Nils Lundgren,Sweden,&#160;,Junilistan,IND/DEM
Florencio Luque Aguilarfrom 7 April 2008,Spain,&#160;,PP,EPP-ED
Liz Lynne,United Kingdom,West Midlands,Lib Dem,ALDE
Marusya Ivanova Lyubchevafrom 1 January 2007,Bulgaria,&#160;,KzB,PES
Jules Maaten,Netherlands,&#160;,VVD,ALDE
Jamila Madeira,Portugal,&#160;,PS,PES
Eugenijus Maldeikisfrom 18 May 2006,Lithuania,&#160;,TiT,UEN
Toine Manders,Netherlands,&#160;,VVD,ALDE
Ramona Nicole Mănescufrom 10 December 2007,Romania,&#160;,PNL,ALDE
Vladimír Maňka,Slovakia,&#160;,SMER,PES
Erika Mann,Germany,&#160;,SPD,PES
Thomas Mann,Germany,Hesse,CDU,EPP-ED
Adrian Manolefrom 22 December 2008,Romania,&#160;,PD-L,EPP-ED
Marian-Jean Marinescufrom 1 January 2007,Romania,&#160;,PD,EPP-ED
Catiuscia Marinifrom 16 May 2008,Italy,Central,PD,PES
Helmuth Markov,Germany,&#160;,PDS,EUL/NGL
Sérgio Marques,Portugal,&#160;,PPD-PSD,EPP-ED
Maria Martens,Netherlands,&#160;,CDA,EPP-ED
David Martin,United Kingdom,Scotland,Lab,PES
Hans-Peter Martin,Austria,&#160;,Liste Martin,NI
Jean-Claude Martinez,France,Sud-Ouest,FN,NI
Miguel Angel Martínez Martínez,Spain,&#160;,PSOE,PES
Jan Masiel,Poland,WP,Samoobrona,UEN
Antonio Masip Hidalgo,Spain,&#160;,PSOE,PES
Jiří Maštálka,Czech Republic,&#160;,KSCM,EUL/NGL
Véronique Mathieu,France,Est,UMP,EPP-ED
Marios Matsakis,Cyprus,&#160;,DIKO,ALDE
Yiannakis Matsis,Cyprus,&#160;,GTE,EPP-ED
Maria Matsouka,Greece,&#160;,PASOK,PES
Iosif Matulafrom 22 December 2008,Romania,&#160;,PD-L,EPP-ED
Mario Mauro,Italy,North-West,FI,EPP-ED
Manolis Mavrommatis,Greece,&#160;,ND,EPP-ED
Hans-Peter Mayer,Germany,Lower Saxony,CDU,EPP-ED
Jaime María Mayor Oreja,Spain,&#160;,PP,EPP-ED
Linda McAvan,United Kingdom,Yorkshire and the Humber,Lab,PES
Arlene McCarthy,United Kingdom,North West England,Lab,PES
Mary Lou McDonald,Republic of Ireland,Dublin,SF,EUL/NGL
Mairead McGuinness,Republic of Ireland,East,FG,EPP-ED
Edward McMillan-Scott,United Kingdom,Yorkshire and the Humber,Con,EPP-ED
Manuel Medina Ortega,Spain,&#160;,PSOE,PES
Erik Meijer,Netherlands,&#160;,SP,EUL/NGL
Íñigo Méndez de Vigo,Spain,&#160;,PP,EPP-ED
Emilio Menéndez,Spain,&#160;,PSOE,PES
Willy Meyer Pleite,Spain,&#160;,IU,EUL/NGL
Rosa Miguélez Ramos,Spain,&#160;,PSOE,PES
Marianne Mikko,Estonia,&#160;,SDE,PES
Miroslav Mikolášik,Slovakia,&#160;,KDH,EPP-ED
Francisco José Millán Mon,Spain,&#160;,PP,EPP-ED
Gay Mitchell,Republic of Ireland,Dublin,FG,EPP-ED
Nickolay Mladenovfrom 6 June 2007,Bulgaria,&#160;,GERB,EPP-ED
Viktória Mohácsifrom 29 November 2004,Hungary,&#160;,SzDSz,ALDE
Andreas Mölzer,Austria,&#160;,FPÖ,NI
Claude Moraes,United Kingdom,London,Lab,PES
Javier Moreno Sanchez,Spain,&#160;,PSOE,PES
Eluned Morgan,United Kingdom,Wales,Lab,PES
Luisa Morgantini,Italy,Central or Islands,RC,EUL/NGL
Philippe Morillon,France,Ouest,UDF,ALDE
Elisabeth Morinfrom 24 May 2007,France,Ouest,UMP,EPP-ED
Ashley Mote,United Kingdom,South East England,UKIP,NI
*Jan Mulder,Netherlands,&#160;,VVD,ALDE
Roberto Musacchio,Italy,North-East,RC,EUL/NGL
Cristiana Muscardini,Italy,North-West,AN,UEN
Francesco Musotto,Italy,Islands,FI,EPP-ED
Antonio Mussafrom 4 November 2008,Italy,North-West,AN,UEN
Sebastiano (Nello) Musumeci,Italy,Islands,Sicilian Alliance,UEN
Riitta Myller,Finland,&#160;,SDP,PES
Pasqualina Napoletano,Italy,Central,DS,PES
Juan Andrés Naranjo Escobarfrom 7 April 2008,Spain,&#160;,PP,EPP-ED
Hartmut Nassauer,Germany,Hesse,CDU,EPP-ED
Mike Nattrass,United Kingdom,West Midlands,UKIP,IND/DEM
Alexandru Nazarefrom 22 December 2008,Romania,&#160;,PD-L,EPP-ED
Catherine Nerisfrom 4 July 2007,France,outre-mer,PS,PES
Bill Newton Dunn,United Kingdom,East Midlands,Lib Dem,ALDE
Annemie Neyts-Uyttebroeck,Belgium,Flemish Community,VLD/Vivant,ALDE
Emma Nicholson,United Kingdom,South East England,Lib Dem,ALDE
Jim Nicholson,United Kingdom,Northern Ireland,UUP,EPP-ED
Rareş-Lucian Niculescufrom 10 December 2007,Romania,&#160;,PSD,EPP-ED
Angelika Niebler,Germany,Bavaria,CSU,EPP-ED
Ljudmila Novak,Slovenia,&#160;,NSi,EPP-ED
Seán Ó Neachtain,Republic of Ireland,North-West,FF,UEN
Raimon Obiols,Spain,&#160;,PSOE,PES
Vural Öger,Germany,&#160;,SPD,PES
Péter Olajos,Hungary,&#160;,MDF,EPP-ED
Jan Olbrycht,Poland,SL,PO,EPP-ED
Gérard Onesta,France,Sud-Ouest,Les Verts,Greens-EFA
Janusz Onyszkiewicz,Poland,MP &amp; SW,UW,ALDE
Ria Oomen-Ruijten,Netherlands,&#160;,CDA,EPP-ED
Josu Ortuondo Larrea,Spain,&#160;,PNV,ALDE
Csaba Őry,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Miroslav Ouzký,Czech Republic,&#160;,ODS,EPP-ED
Siiri Oviir,Estonia,&#160;,K,ALDE
Cem Özdemir,Germany,&#160;,Die Grünen,Greens-EFA
Reino Paasilinna,Finland,&#160;,SDP,PES
Doris Pack,Germany,Saarland,CDU,EPP-ED
Thanasis Pafilis,Greece,&#160;,KKE,EUL/NGL
Maria Grazia Paganofrom 17 June 2008,Italy,Southern,PD,PES
Justas Vincas Paleckis,Lithuania,&#160;,LSDP,PES
Marie Panayotopoulos-Cassiotou,Greece,&#160;,ND,EPP-ED
Vladko Panayotovfrom 6 June 2007,Bulgaria,&#160;,DPS,ALDE
Marco Pannella,Italy,North-East or North-West,Lista Bonino,ALDE
Pier Antonio Panzeri,Italy,North-West,DS,PES
Dimitrios Papadimoulis,Greece,&#160;,SYN,EUL/NGL
Atanas Atanassov Paparizovfrom 1 January 2007,Bulgaria,&#160;,KzB,PES
Georgios Papastamkos,Greece,&#160;,ND,EPP-ED
Neil Parish,United Kingdom,South West England,Con,EPP-ED
Ioan Mircea Paşcufrom 1 January 2007,Romania,&#160;,PSD,PES
Aldo Patriciellofrom 18 May 2006,Italy,&#160;,UDC,EPP-ED
Béatrice Patrie,France,Sud-Ouest,PS,PES
Vincent Peillon,France,Nord-Ouest,PS,PES
Bogdan Pęk,Poland,MP &amp; SW,LPR,UEN
Lojze Peterle,Slovenia,&#160;,NSi,EPP-ED
Maria Petrefrom 1 January 2007,Romania,&#160;,PD,EPP-ED
Tobias Pflüger,Germany,&#160;,PDS,EUL/NGL
Markus Pieper,Germany,North Rhine-Westphalia,CDU,EPP-ED
Sirpa Pietikäinenfrom 4 April 2008,Finland,&#160;,KOK,EPP-ED
Rihards Pīks,Latvia,&#160;,TP,EPP-ED
João de Deus Pinheiro,Portugal,&#160;,PPD-PSD,EPP-ED
Józef Pinior,Poland,DS &amp; OP,SDPL,PES
Mirosław Piotrowski,Poland,LU,LPR,UEN
Umberto Pirilli,Italy,Southern,AN,UEN
Hubert Pirkerfrom 1 February 2006,Austria,&#160;,ÖVP,EPP-ED
Paweł Piskorski,Poland,Warsaw,PO,ALDE
Giovanni Pittella,Italy,Southern,DS,PES
Francisca Pleguezuelos Aguilar,Spain,&#160;,PSOE,PES
Zita Pleštinská,Slovakia,&#160;,SDKU,EPP-ED
Rovana Plumbfrom 2 May 2007,Romania,&#160;,PSD,PES
Guido Podestà,Italy,North-West,FI,EPP-ED
Anni Podimatafrom 1 October 2007,Greece,&#160;,PASOK,PES
Zdzisław Podkański,Poland,LU,"PSL ""Piast""",UEN
Hans-Gert Poettering,Germany,Lower Saxony,CDU,EPP-ED
Samuli Pohjamofrom 23 April 2007,Finland,&#160;,KESK,ALDE
Bernard Poignant,France,Ouest,PS,PES
Lydie Polfer,Luxembourg,&#160;,DP,ALDE
José Javier Pomés Ruiz,Spain,&#160;,PP,EPP-ED
Nicolae Vlad Popafrom 10 December 2007,Romania,&#160;,PLD,ALDE
Miguel Portas,Portugal,&#160;,BE,EUL/NGL
Horst Posdorffrom 24 October 2005,Germany,North Rhine-Westphalia,CDU,EPP-ED
Bernd Posselt,Germany,Bavaria,CSU,EPP-ED
Christa Prets,Austria,&#160;,SPÖ,PES
Pierre Pribetichfrom 4 July 2007,France,Est,PS,PES
Vittorio Prodi,Italy,North-East,Margherita,ALDE
Jacek Protasiewicz,Poland,DS &amp; OP,PO,EPP-ED
John Purvis,United Kingdom,Scotland,Con,EPP-ED
Luis Queiró,Portugal,&#160;,CDS-PP,EPP-ED
Godelieve Quisthoudt-Rowohl,Germany,Lower Saxony,CDU,EPP-ED
Reinhard Rack,Austria,&#160;,ÖVP,EPP-ED
Biliana Ilieva Raevafrom 6 June 2007,Bulgaria,&#160;,NDSV,ALDE
Miloslav Ransdorf,Czech Republic,&#160;,KSCM,EUL/NGL
Bernhard Rapkay,Germany,&#160;,SPD,PES
Poul Nyrup Rasmussen,Denmark,&#160;,SD,PES
Vladimír Remek,Czech Republic,&#160;,KSCM,EUL/NGL
Karin Resetarits,Austria,&#160;,Liberal Forum,ALDE
Herbert Reul,Germany,North Rhine-Westphalia,CDU,EPP-ED
José Ribeiro e Castro,Portugal,&#160;,CDS-PP,EPP-ED
Teresa Riera Madurell,Spain,&#160;,PSOE,PES
Frédérique Ries,Belgium,French Community,MR,ALDE
Karin Riis-Jørgensen,Denmark,&#160;,V,ALDE
Giovanni Rivera  from 24 May 2005,Italy,Southern,Olive Tree,NI
Marco Rizzo,Italy,North-West,PdCI,EUL/NGL
Giovanni Robustifrom 30 May 2008,Italy,North-West,Ind,UEN
Ulrike Rodustfrom 29 August 2008,Germany,&#160;,SPD,PES
Bogusław Rogalski,Poland,PD &amp; WM,LPR,UEN
Zuzana Roithová,Czech Republic,&#160;,KDU-CSL,EPP-ED
Luca Romagnoli,Italy,Southern,FT,NI
Raül Romeva,Spain,&#160;,IC/V,Greens-EFA
Dariusz Rosati,Poland,Warsaw,SDPL,PES
Wojciech Roszkowski,Poland,SL,PiS,UEN
Dagmar Roth-Behrendt,Germany,&#160;,SPD,PES
Mechtild Rothe,Germany,&#160;,SPD,PES
Libor Rouček,Czech Republic,&#160;,CSSD,PES
Martine Roure,France,Sud-Est,PS,PES
Christian Rovsing,Denmark,&#160;,KF,EPP-ED
Paul Rübig,Austria,&#160;,ÖVP,EPP-ED
Heide Rühle,Germany,&#160;,Die Grünen,Greens-EFA
Leopold Rutowicz,Poland,MP &amp; SW,Samoobrona,UEN
Eoin Ryan,Republic of Ireland,Dublin,FF,UEN
Guido Sacconi,Italy,Central,DS,PES
Tokia Saïfi,France,Nord-Ouest,UMP,EPP-ED
Aloyzas Sakalas,Lithuania,&#160;,LSDP,PES
Katrin Saksfrom 9 October 2006,Estonia,&#160;,SDE,PES
José Salafranca Sánchez-Neyra,Spain,&#160;,PP,EPP-ED
Antolín Sánchez Presedo,Spain,&#160;,PSOE,PES
Michele Santoro,Italy,Southern,Olive Tree,PES
Salvador Domingo Sanz Palaciofrom 7 April 2008,Spain,&#160;,PP,EPP-ED
Sebastiano Sanzarellofrom 22 May 2008,Italy,Islands,FI,EPP-ED
Daciana Octavia Sârbufrom 1 January 2007,Romania,&#160;,PSD,PES
Amalia Sartori,Italy,North-East,FI,EPP-ED
Jacek Saryusz-Wolski,Poland,LD,PO,EPP-ED
Gilles Savary,France,Ile-de-France,PS,PES
Toomas Savi,Estonia,&#160;,ER,ALDE
Christel Schaldemosefrom 15 October 2006,Denmark,&#160;,SD,PES
Pierre Schapira,France,Ile-de-France,PS,PES
Lydia Schenardi,France,Sud-Est,FN,NI
Agnes Schierhuber,Austria,&#160;,ÖVP,EPP-ED
Margaritis Schinasfrom 1 October 2007,Greece,&#160;,ND,EPP-ED
Carl Schlyter,Sweden,&#160;,Mp,Greens-EFA
Frithjof Schmidt,Germany,&#160;,Die Grünen,Greens-EFA
Olle Schmidtfrom 19 October 2006,Sweden,&#160;,Fp,ALDE
Ingo Schmitt,Germany,Berlin,CDU,EPP-ED
Pál Schmitt,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Horst Schnellhardt,Germany,Saxony-Anhalt,CDU,EPP-ED
György Schöpflin,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Juergen Schröder,Germany,Saxony,CDU,EPP-ED
Elisabeth Schroedter,Germany,&#160;,Die Grünen,Greens-EFA
Martin Schulz,Germany,&#160;,SPD,PES
Willem Schuth,Germany,&#160;,FDP,ALDE
Andreas Schwab,Germany,Baden-Württemberg,CDU,EPP-ED
Richard Seeber,Austria,&#160;,ÖVP,EPP-ED
Inger Segelström,Sweden,&#160;,S,PES
Esko Seppänen,Finland,&#160;,VAS,EUL/NGL
Adrian Severinfrom 1 January 2007,Romania,&#160;,PSD,PES
Czesław Siekierski,Poland,MP &amp; SW,PSL,EPP-ED
Eva-Riitta Siitonenfrom 1 January 2009,Finland,&#160;,KOK,EPP-ED
José Silva Peneda,Portugal,&#160;,PPD-PSD,EPP-ED
Brian Simpsonfrom 28 August 2006,United Kingdom,North West England,Lab,PES
Kathy Sinnott,Republic of Ireland,South,&#160;,IND/DEM
Marek Siwiec,Poland,WP,SLD/UP,PES
Peter Skinner,United Kingdom,South East England,Lab,PES
Nina Škottová,Czech Republic,&#160;,ODS,EPP-ED
Alyn Smith,United Kingdom,Scotland,SNP,Greens-EFA
Csaba Sógorfrom 10 December 2007,Romania,&#160;,UDMR,EPP-ED
Renate Sommer,Germany,North Rhine-Westphalia,CDU,EPP-ED
Søren Bo Søndergaardfrom 1 January 2007,Denmark,&#160;,Folk B.,EUL/NGL
Bogusław Sonik,Poland,MP &amp; SW,PO,EPP-ED
María Sornosa Martinez,Spain,&#160;,PSOE,PES
Bernard Soulagefrom 1 February 2009,France,Sud-Est,PS,PES
Sérgio Sousa Pinto,Portugal,&#160;,PS,PES
Jean Spautz,Luxembourg,&#160;,CSV,EPP-ED
Francesco Speroni,Italy,North-West,LN,UEN
Bart Staes,Belgium,Flemish Community,Groen!,Greens-EFA
Grażyna Staniszewska,Poland,SL,UW,ALDE
Margarita Starkevičiūtė,Lithuania,&#160;,LCS,ALDE
Peter Šťastný,Slovakia,&#160;,SDKU,EPP-ED
Gabriele Staunerfrom 18 January 2006,Germany,&#160;,CSU,EPP-ED
Petya Stavreva Stavrevafrom 6 June 2007,Bulgaria,&#160;,GERB,EPP-ED
Ursula Stenzel,Austria,&#160;,ÖVP,EPP-ED
Dirk Sterckx,Belgium,Flemish Community,VLD/Vivant,ALDE
Struan Stevenson,United Kingdom,Scotland,Con,EPP-ED
Catherine Stihler,United Kingdom,Scotland,Lab,PES
Theodor Dumitru Stolojanfrom 10 December 2007,Romania,&#160;,PLD,ALDE
Dimitar Stoyanovfrom 1 January 2007,Bulgaria,&#160;,NSA,NI
Ulrich Stockmann,Germany,&#160;,SPD,PES
Ivo Strejček,Czech Republic,&#160;,ODS,EPP-ED
Daniel Stroz,Czech Republic,&#160;,KSCM,EUL/NGL
Robert Sturdy,United Kingdom,East of England,Con,EPP-ED
Margie Sudre,France,outre-mer,UMP,EPP-ED
David Sumberg,United Kingdom,North West England,Con,EPP-ED
László Surján,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Gianluca Sustafrom 18 May 2006,Italy,&#160;,Margherita,ALDE
Eva-Britt Svensson,Sweden,&#160;,V,EUL/NGL
Hannes Swoboda,Austria,&#160;,SPÖ,PES
József Szájer,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Andrzej Szejna,Poland,MP &amp; SW,SLD/UP,PES
István Szent-Iványi,Hungary,&#160;,SzDSz,ALDE
Konrad Szymański,Poland,DS &amp; OP,PiS,UEN
Csaba Sándor Tabajdi,Hungary,&#160;,MSZP,PES
Hannu Takkula,Finland,&#160;,KESK,ALDE
Charles Tannock,United Kingdom,London,Con,EPP-ED
Marc Tarabellafrom 9 August 2004,Belgium,French Community,PS,PES
Andres Tarand,Estonia,&#160;,SDE,PES
Salvatore Tatarella,Italy,Southern,AN,UEN
Michel Teychennéfrom 6 October 2008,France,Sud-Ouest,PS,PES
Britta Thomsen,Denmark,&#160;,SD,PES
Marianne Thyssen,Belgium,Flemish Community,CD&amp;V,EPP-ED
Silvia Adriana Ţicăufrom 1 January 2007,Romania,&#160;,PSD,PES
Jeffrey Titford,United Kingdom,East of England,UKIP,IND/DEM
Gary Titley,United Kingdom,North West England,Lab,PES
Patrizia Toia,Italy,North-West,Margherita,ALDE
László Tőkésfrom 10 December 2007,Romania,&#160;,Ind,NI
Ewa Tomaszewskafrom 30 August 2007,Poland,Warsaw,PiS,UEN
Witold Tomczak,Poland,WP,LPR,IND/DEM
Jacques Toubon,France,Ile-de-France,UMP,EPP-ED
Giorgos Toussas,Greece,&#160;,KKE,EUL/NGL
Antonios Trakatellis,Greece,&#160;,ND,EPP-ED
Catherine Trautmann,France,Est,PS,PES
Kyriacos Triantaphyllides,Cyprus,&#160;,AKEL,EUL/NGL
Helga Trüpel,Germany,&#160;,Die Grünen,Greens-EFA
Claude Turmes,Luxembourg,&#160;,Déi Gréng,Greens-EFA
Evangelia Tzampazi,Greece,&#160;,PASOK,PES
Feleknas Uca,Germany,&#160;,PDS,EUL/NGL
Thomas Ulmer,Germany,Baden-Württemberg,CDU,EPP-ED
Vladimir Urutchevfrom 6 June 2007,Bulgaria,&#160;,GERB,EPP-ED
Inese Vaidere,Latvia,&#160;,TB/LNNK,UEN
Nikos Vakalis,Greece,&#160;,ND,EPP-ED
Adina Ioana Văleanfrom 1 January 2007,Romania,&#160;,PNL,ALDE
Joan Vallvéfrom 8 May 2009,Spain,&#160;,CiU (CDC),ALDE
Paul van Buitenen,Netherlands,&#160;,ET,Greens-EFA
Ieke van den Burg,Netherlands,&#160;,PvdA,PES
Anne Van Lancker,Belgium,Flemish Community,SP.A,PES
Johan Van Hecke,Belgium,Flemish Community,VLD/Vivant,ALDE
Lambert van Nistelrooij,Netherlands,&#160;,CDA,EPP-ED
Geoffrey van Orden,United Kingdom,East of England,Con,EPP-ED
Frans Vanhecke,Belgium,Flemish Community,VlB,NI
Ioannis Varvitsiotis,Greece,&#160;,ND,EPP-ED
Ari Vatanen,France,Sud-Est,UMP,EPP-ED
Yannick Vaugrenard,France,Ouest,PS,PES
Armando Venetofrom 18 May 2006,Italy,&#160;,AP-UDEUR,EPP-ED
Riccardo Ventre,Italy,Southern,FI,EPP-ED
Donato Tommaso Veraldifrom 18 May 2006,Italy,&#160;,Margherita,ALDE
Bernadette Vergnaud,France,Ouest,PS,PES
Marcello Vernola,Italy,Southern,FI,EPP-ED
Alejo Vidal-Quadras Roca,Spain,&#160;,PP,EPP-ED
Kristian Vigeninfrom 1 January 2007,Bulgaria,&#160;,KzB,PES
Kyösti Virrankoski,Finland,&#160;,KESK,ALDE
Cornelis Visserfrom 17 October 2007,Netherlands,&#160;,CDA,EPP-ED
Oldrich Vlasák,Czech Republic,&#160;,ODS,EPP-ED
Dominique Vlasto,France,Sud-Est,UMP,EPP-ED
Johannes Voggenhuber,Austria,&#160;,Grünen,Greens-EFA
Karl von Wogau,Germany,Baden-Württemberg,CDU,EPP-ED
Sahra Wagenknecht,Germany,&#160;,PDS,EUL/NGL
Diana Wallis,United Kingdom,Yorkshire and the Humber,Lib Dem,ALDE
Ralf Walter,Germany,&#160;,SPD,PES
Graham Watson,United Kingdom,South West England,Lib Dem,ALDE
Henri Weber,France,Nord-Ouest,PS,PES
Manfred Weber,Germany,Bavaria,CSU,EPP-ED
Renate Weberfrom 10 December 2007,Romania,&#160;,PNL,ALDE
Barbara Weiler,Germany,&#160;,SPD,PES
Anja Weisgerber,Germany,Bavaria,CSU,EPP-ED
Åsa Westlund,Sweden,&#160;,S,PES
John Whittaker,United Kingdom,North West England,UKIP,IND/DEM
Rainer Wieland,Germany,Baden-Württemberg,CDU,EPP-ED
Andrzej Wielowieyskifrom 26 August 2008,Poland,&#160;,PD,ALDE
Jan Marinus Wiersma,Netherlands,&#160;,PvdA,PES
Anders Wijkman,Sweden,&#160;,KD,EPP-ED
Glenis Willmott,United Kingdom,East Midlands,Labour,PES
Iuliu Winklerfrom 10 December 2007,Romania,&#160;,UDMR,EPP-ED
Tom Wise,United Kingdom,East of England,UKIP,IND/DEM
Lars Wohlin,Sweden,&#160;,Junilistan,IND/DEM
Bernard Piotr Wojciechowskifrom 26 October 2005,Poland,&#160;,LPR,NI
Janusz Wojciechowski,Poland,LD,"PSL ""Piast""",UEN
Corien Wortmann-Kool,Netherlands,&#160;,CDA,EPP-ED
Joachim Wuermeling,Germany,Bavaria,CSU,EPP-ED
Francis Wurtz,France,Ile-de-France,PCF,EUL/NGL
Luis Yañez-Barnuevo García,Spain,&#160;,PSOE,PES
Iliana Malinova Iotovafrom 6 June 2007,Bulgaria,&#160;,PES,PES
Anna Záborská,Slovakia,&#160;,KDH,EPP-ED
Jan Zahradil,Czech Republic,&#160;,ODS,EPP-ED
Zbigniew Zaleski,Poland,LU,PO,EPP-ED
Mauro Zani,Italy,North-East,DS,PES
Iva Zanicchifrom 16 May 2008,Italy,North-West,FI,EPP-ED
Andrzej Tomasz Zapałowskifrom 12 July 2005,Poland,PM,LPR,UEN
Stefano Zappala',Italy,Central,FI,EPP-ED
Tomáš Zatloukal,Czech Republic,&#160;,SNK,EPP-ED
Tatjana Ždanoka,Latvia,&#160;,PCTVL,Greens-EFA
Dushana Panayotova Zdravkovafrom 6 June 2007,Bulgaria,&#160;,GERB,EPP-ED
Vladimir Železný,Czech Republic,&#160;,&#160;,IND/DEM
Rumyana Ruseva Zhelevafrom 6 June 2007,Bulgaria,&#160;,GERB,EPP-ED
Jozef Zieleniec,Czech Republic,&#160;,SNK,EPP-ED
Roberts Zīle,Latvia,&#160;,TB/LNNK,UEN
Gabi Zimmer,Germany,&#160;,PDS,EUL/NGL
Jürgen Zimmerlingfrom 6 July 2005,Germany,North Rhine-Westphalia,CDU,EPP-ED
Jaroslav Zvěřina,Czech Republic,&#160;,ODS,EPP-ED
Tadeusz Zwiefka,Poland,KP,PO,EPP-ED
