name,country,national_party,ep_group,notes
Maria Berger,.mw-parser-output .legend{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .legend-color{display:inline-block;min-width:1.25em;height:1.25em;line-height:1.25;margin:1px 0;text-align:center;border:1px solid black;background-color:transparent;color:black}.mw-parser-output .legend-text{}&#160; Social Democratic Party,&#160; PES,Austria,Austria
Herbert Bösch,&#160; Social Democratic Party,&#160; PES,Austria,Austria
Mercedes Echerer,&#160; The Greens–The Green Alternative,&#160; G–EFA,Austria,Austria
Harald Ettl,&#160; Social Democratic Party,&#160; PES,Austria,Austria
Marialiese Flemming,&#160; People's Party,&#160; EPP–ED,Austria,Austria
Gerhard Hager,&#160; Freedom Party,&#160; NI,Austria,Austria
Wolfgang Ilgenfritz,&#160; Freedom Party,&#160; NI,Austria,Austria
Othmar Karas,&#160; People's Party,&#160; EPP–ED,Austria,Austria
Hans Kronberger,&#160; Freedom Party,&#160; NI,Austria,Austria
Hans-Peter Martin,&#160; Social Democratic Party,&#160; PES,Austria,Austria
Hubert Pirker,&#160; People's Party,&#160; EPP–ED,Austria,Austria
Christa Prets,&#160; Social Democratic Party,&#160; PES,Austria,Austria
Reinhard Rack,&#160; People's Party,&#160; EPP–ED,Austria,Austria
Daniela Raschhofer,&#160; Freedom Party,&#160; NI,Austria,Austria
Paul Rübig,&#160; People's Party,&#160; EPP–ED,Austria,Austria
Karin Scheele,&#160; Social Democratic Party,&#160; PES,Austria,Austria
Agnes Schierhuber,&#160; People's Party,&#160; EPP–ED,Austria,Austria
Peter Sichrovsky,&#160; Freedom Party,&#160; NI,Austria,Austria
Ursula Stenzel,&#160; People's Party,&#160; EPP–ED,Austria,Austria
Hannes Swoboda,&#160; Social Democratic Party,&#160; PES,Austria,Austria
Johannes Voggenhuber,&#160; The Greens–The Green Alternative,&#160; G–EFA,Austria,Austria
Ward Beysen,&#160; VLD,&#160; NI,Belgium,Dutch-speaking
Peter Bossu&#91;1&#93;,&#160; SP,&#160; PES,Belgium,Dutch-speaking
Philippe Busquin&#91;2&#93;,&#160; PS,&#160; PES,Belgium,French-speaking
Willy De Clercq,&#160; VLD,&#160; ELDR,Belgium,Dutch-speaking
Gérard Deprez,&#160; MCC,&#160; EPP–ED,Belgium,French-speaking
Claude Desama&#91;3&#93;,&#160; PS,&#160; PES,Belgium,French-speaking
Karel Dillen&#91;4&#93;,&#160; VB,&#160; NI,Belgium,Dutch-speaking
Daniel Ducarme&#91;5&#93;,&#160; PRL,&#160; ELDR,Belgium,French-speaking
Monica Frassoni,&#160; ECOLO,&#160; G–EFA,Belgium,French-speaking
Mathieu Grosch,&#160; CSP,&#160; EPP–ED,Belgium,German-speaking
Michel Hansenne,&#160; PSC,&#160; EPP–ED,Belgium,French-speaking
Pierre Jonckheer,&#160; ECOLO,&#160; G–EFA,Belgium,French-speaking
Paul Lannoye,&#160; ECOLO,&#160; G–EFA,Belgium,French-speaking
Nelly Maes,&#160; VU / &#160; SPIRIT,&#160; G–EFA,Belgium,Dutch-speaking
Frédérique Ries&#91;6&#93;,&#160; PRL,&#160; ELDR,Belgium,French-speaking
Miet Smet,&#160; CVP,&#160; EPP–ED,Belgium,Dutch-speaking
Bart Staes,&#160; VU,&#160; G–EFA,Belgium,Dutch-speaking
Dirk Sterckx,&#160; VLD,&#160; ELDR,Belgium,Dutch-speaking
Patsy Sörensen,&#160; AGALEV,&#160; G–EFA,Belgium,Dutch-speaking
Freddy Thielemans&#91;7&#93;,&#160; PS,&#160; PES,Belgium,French-speaking
Marianne Thyssen,&#160; CVP,&#160; EPP–ED,Belgium,Dutch-speaking
Johan Van Hecke,&#160; CVP,&#160; EPP–ED,Belgium,Dutch-speaking
Anne Van Lancker,&#160; SP,&#160; PES,Belgium,Dutch-speaking
Luckas Vander Taelen&#91;8&#93;,&#160; AGALEV,&#160; G–EFA,Belgium,Dutch-speaking
Frank Vanhecke&#91;9&#93;,&#160; VB,&#160; NI,Belgium,Dutch-speaking
Ole Andreasen,"&#160; Left, Liberal Party of Denmark",&#160; ELDR,Denmark,Denmark
Freddy Blak,&#160; Social Democrats,&#160; PES,Denmark,Denmark
Jens-Peter Bonde,&#160; June Movement,&#160; EDD,Denmark,Denmark
Niels Busk,"&#160; Left, Liberal Party of Denmark",&#160; ELDR,Denmark,Denmark
Mogens Camre,&#160; People's Party,&#160; UEN,Denmark,Denmark
Lone Dybkjær,&#160; Social Liberal Party,&#160; ELDR,Denmark,Denmark
Pernille Frahm,&#160; Socialist People's Party,&#160; EUL-NGL,Denmark,Denmark
Bertel Haarder&#91;10&#93;,"&#160; Left, Liberal Party of Denmark",&#160; ELDR,Denmark,Denmark
Anne Jensen,"&#160; Left, Liberal Party of Denmark",&#160; ELDR,Denmark,Denmark
Ole Krarup,&#160; People's Movement against the EU,&#160; EUL–NGL,Denmark,Denmark
Torben Lund,&#160; Social Democrats,&#160; PES,Denmark,Denmark
Jens Okking&#91;11&#93;,&#160; June Movement,&#160; EDD,Denmark,Denmark
Karin Riis-Jørgensen,"&#160; Left, Liberal Party of Denmark",&#160; ELDR,Denmark,Denmark
Christian Rovsing,&#160; Conservative People's Party,&#160; EPP–ED,Denmark,Denmark
Ulla Sandbæk,&#160; June Movement,&#160; EDD,Denmark,Denmark
Helle Thorning-Schmidt,&#160; Social Democrats,&#160; PES,Denmark,Denmark
Uma Aaltonen,&#160; Green League,&#160; G–EFA,Finland,Finland
Ulpu Iivari,&#160; Social Democratic Party,&#160; PES,Finland,Finland
Piia-Noora Kauppi,&#160; National Coalition Party,&#160; EPP–ED,Finland,Finland
Eija-Riitta Korhola,&#160; National Coalition Party,&#160; EPP–ED,Finland,Finland
Marjo Matikainen-Kallström,&#160; National Coalition Party,&#160; EPP–ED,Finland,Finland
Riitta Myller,&#160; Social Democratic Party,&#160; PES,Finland,Finland
Reino Paasilinna,&#160; Social Democratic Party,&#160; PES,Finland,Finland
Mikko Pesälä,&#160; Centre Party,&#160; ELDR,Finland,Finland
Samuli Pohjamo,&#160; Centre Party,&#160; ELDR,Finland,Finland
Esko Olavi Seppänen,&#160; Left Alliance,&#160; EUL–NGL,Finland,Finland
Ilkka Suominen,&#160; National Coalition Party,&#160; EPP–ED,Finland,Finland
Astrid Thors,&#160; Swedish People's Party,&#160; ELDR,Finland,Finland
Paavo Väyrynen,&#160; Centre Party,&#160; ELDR,Finland,Finland
Ari Vatanen,&#160; National Coalition Party,&#160; EPP–ED,Finland,Finland
Kyösti Virrankoski,&#160; Centre Party,&#160; ELDR,Finland,Finland
Matti Wuori,&#160; Green League,&#160; G–EFA,Finland,Finland
Alekos Alavanos,&#160; Coalition of the Left and Progress,&#160; EUL–NGL,Greece,Greece
Konstantinos Alyssandrakis,&#160; Communist Party,&#160; EUL–NGL,Greece,Greece
Ioannis Averoff,&#160; New Democracy,&#160; EPP–ED,Greece,Greece
Emmanouil Bakopoulos,&#160; Democratic Social Movement,&#160; EUL–NGL,Greece,Greece
Alexandros Baltas,&#160; Socialist Movement,&#160; PES,Greece,Greece
Giorgos Dimitrakopoulos,&#160; New Democracy,&#160; EPP–ED,Greece,Greece
Petros Efthymiou&#91;12&#93;,&#160; Socialist Movement,&#160; PES,Greece,Greece
Christos Folias,&#160; New Democracy,&#160; EPP–ED,Greece,Greece
Konstantinos Hatzidakis,&#160; New Democracy,&#160; EPP–ED,Greece,Greece
Anna Karamanou,&#160; Socialist Movement,&#160; PES,Greece,Greece
Giorgos Katiforis,&#160; Socialist Movement,&#160; PES,Greece,Greece
Efstratios Korakas,&#160; Communist Party,&#160; EUL–NGL,Greece,Greece
Ioannis Koukiadis,&#160; Socialist Movement,&#160; PES,Greece,Greece
Dimitrios Koulourianos,&#160; Democratic Social Movement,&#160; EUL–NGL,Greece,Greece
Rodi Kratsa-Tsagaropoulou,&#160; New Democracy,&#160; EPP–ED,Greece,Greece
Minerva Melpomeni Malliori,&#160; Socialist Movement,&#160; PES,Greece,Greece
Ioannis Marinos,&#160; New Democracy,&#160; EPP–ED,Greece,Greece
Emmanouil Mastorakis,&#160; Socialist Movement,&#160; PES,Greece,Greece
Mihalis Papagiannakis,&#160; Coalition of the Left and Progress,&#160; EUL–NGL,Greece,Greece
Ioannis Patakis,&#160; Communist Party,&#160; EUL–NGL,Greece,Greece
Ioannis Souladakis,&#160; Socialist Movement,&#160; PES,Greece,Greece
Antonios Trakatellis,&#160; New Democracy,&#160; EPP–ED,Greece,Greece
Dimitris Tsatsos,&#160; Socialist Movement,&#160; PES,Greece,Greece
Stavros Xarchakos,&#160; New Democracy,&#160; EPP–ED,Greece,Greece
Christos Zacharakis,&#160; New Democracy,&#160; EPP–ED,Greece,Greece
Myrsini Zorba,&#160; Socialist Movement,&#160; PES,Greece,Greece
Nuala Ahern,Green Party,&#160; G–EFA,Ireland,Leinster
Niall Andrews,Fianna Fáil,&#160; UEN,Ireland,Dublin
Mary Banotti,Fine Gael,&#160; EPP–ED,Ireland,Dublin
Gerry Collins,Fianna Fáil,&#160; UEN,Ireland,Munster
Pat Cox,Independent,&#160; ELDR,Ireland,Munster
Brian Crowley,Fianna Fáil,&#160; UEN,Ireland,Munster
John Cushnahan,Fine Gael,&#160; EPP–ED,Ireland,Munster
Proinsias De Rossa,Labour Party,&#160; PES,Ireland,Dublin
Avril Doyle,Fine Gael,&#160; EPP–ED,Ireland,Leinster
Jim Fitzsimons,Fianna Fáil,&#160; UEN,Ireland,Leinster
"Pat ""the Cope"" Gallagher",Fianna Fáil,&#160; UEN,Ireland,Connacht–Ulster
Liam Hyland,Fianna Fáil,&#160; UEN,Ireland,Leinster
Joe McCartin,Fine Gael,&#160; EPP–ED,Ireland,Connacht–Ulster
Dana Rosemary Scallon,Independent,&#160; EPP–ED,Ireland,Connacht–Ulster
Colette Flesch,&#160; Democratic Party,&#160; ELDR,Luxembourg,Luxembourg
Robert Goebbels,&#160; Socialist Workers' Party,&#160; PES,Luxembourg,Luxembourg
Astrid Lulling,&#160; Christian Social People's Party,&#160; EPP–ED,Luxembourg,Luxembourg
Jacques Poos,&#160; Socialist Workers' Party,&#160; PES,Luxembourg,Luxembourg
Jacques Santer,&#160; Christian Social People's Party,&#160; EPP–ED,Luxembourg,Luxembourg
Claude Turmes,&#160; The Greens,&#160; G-EFA,Luxembourg,Luxembourg
