wikidata_id,wikipedia_title
Q116719,Diane_Dodds
Q102421,Peter_Simon_(politician)
Q103764,Jutta_Steinruck
Q104492,Norbert_Neuser
Q104870,Knut_Fleckenstein
Q104881,Kerstin_Westphal
Q105021,Michael_Kauch
Q1021708,Ram%C3%B3n_Luis_Valc%C3%A1rcel
Q105564,Hans-Olaf_Henkel
Q105761,Klaus_Buchner
Q108736,Birgit_Sippel
Q1097204,Claude_Turmes
Q1097772,Claudia_Schmidt_(politician)
Q109925,Michael_Theurer
Q110783,Britta_Reimers
Q111435,Jan-Christoph_Oetjen
Q1112658,Maria_Noichl
Q114033,Marlene_Mortler
Q114290,Karin_Kadenbach
Q1120020,"B%C3%A9la_Kov%C3%A1cs_(politician,_1960)"
Q114667,Sarah_Wiener
Q115084,Hella_Ranner
Q1133702,Corneliu_Vadim_Tudor
Q116812,Oriol_Junqueras
Q1148719,Luigi_de_Magistris_(politician)
Q117150,Zigmantas_Bal%C4%8Dytis
Q1157638,Dainius_%C5%BDalimas
Q1158440,Damian_Dr%C4%83ghici
Q1159092,Dan_J%C3%B8rgensen
Q1164184,Dani%C3%ABl_van_der_Stoep
Q1166062,Dariusz_Rosati
Q1055587,Mario_Mantovani
Q1060314,Raffaele_Fitto
Q1077655,Aldo_Patriciello
Q1077663,Gianluca_Susta
Q1081665,Christian_Sagartz
Q1083771,Christine_Schneider
Q164582,Vytautas_Landsbergis
Q1628512,Milan_Zver
Q1640725,Hynek_Bla%C5%A1ko
Q11691062,Marina_Albiol
Q11692492,C%C4%83t%C4%83lin_Ivan
Q11714113,Susy_De_Martini
Q11714338,Ivan_%C5%A0tefanec
Q11714349,Iveta_Grigule-P%C4%93terse
Q11715524,Jacek_Protas
Q11719711,Jana_%C5%BDit%C5%88ansk%C3%A1
Q15817642,Petr_Je%C5%BEek
Q15846338,Andrejs_Mamikins
Q15870693,Dita_Charanzov%C3%A1
Q15870687,Martina_Dlabajov%C3%A1
Q15907132,J%C3%B6rg_Meuthen
Q16268441,Elisabetta_Gualmini
Q16269497,Iskra_Mihaylova
Q16300574,Juan_Carlos_Girauta
Q16328888,Petros_S._Kokkalis
Q16329183,Giorgos_Georgiou_(Cypriot_politician)
Q16329215,Anna-Misel_Asimakopoulou
Q16330441,Neoklis_Sylikiotis
Q101584186,Vlad_Gheorghe
Q102395874,Zsuzsanna_Borvend%C3%A9g
Q104070010,Claudiu_T%C3%A2rziu
Q104126196,Emma_Wiesner
Q104381399,Diana_%C8%98o%C8%99oac%C4%83
Q104598998,Adrian-George_Axinia
Q104686899,Alin_Mitu%C8%9Ba
Q105080282,Friedrich_P%C3%BCrner
Q106519771,Michiel_Hoogeveen
Q106950733,Ana_Miguel_dos_Santos
Q107316188,Aleksandar_Nikolic_(politician)
Q107355967,Michalis_Hatzipantelas
Q108308348,Emma_Rafowicz
Q108731355,Ond%C5%99ej_Dost%C3%A1l
Q108788753,Rudi_Kennes
Q108904462,Karolin_Braunsberger-Reinhold
Q109468729,Lena_Schilling
Q1097007,Claude_Moraes
Q1228102,Dirk_Sterckx
Q1229515,Thijs_Berman
Q1230084,"Martin_Callanan,_Baron_Callanan"
Q10819323,Andrea_%C4%8Ce%C5%A1kov%C3%A1
Q1238159,Dominique_Baudis
Q1238315,Dominique_Riquet
Q10949778,Fernando_Maura_Barandiar%C3%A1n
Q167019,Jean-Marie_Cavada
Q167404,Renato_Soru
Q168205,Grzegorz_Braun
Q1671880,In%C3%AAs_Zuber
Q1671928,Ioannis_Kasoulidis
Q11728715,Jo%C3%A3o_Ferreira_(politician)
Q12271852,Angel_Dzhambazki
Q345794,Marian-Jean_Marinescu
Q347209,Vasile_D%C3%AEncu
Q3385791,Pierre_Larrouturou
Q3417325,Raffaele_Baldassarre_(politician)
Q3424934,Renaud_Muselier
Q3441723,Jozo_Rado%C5%A1
Q3453279,Rupert_Matthews
Q3453988,Ryszard_Legutko
Q15919839,Giannis_Maniatis_(politician)
Q15951419,Marc_Angel
Q15967888,Eugen_Tomac
Q15976266,Dario_Nardella
Q15980671,Carlos_Zorrinho
Q15987050,Petar_Kurumbashev
Q16389751,Caterina_Chinnici
Q16440157,Monica_Semedo
Q16444907,Au%C5%A1ra_Maldeikien%C4%97
Q16459273,Liudas_Ma%C5%BEylis
Q16496250,Alice_Teodorescu_M%C3%A5we
Q114006412,Theresa_Bielowski
Q34674536,Dennis_Radtke
Q16354684,Christine_Revault_d%27Allonnes-Bonnefoy
Q105964502,Joachim_Streit
Q106133800,Sebastiaan_St%C3%B6teler
Q106518433,Thijs_Reuten
Q112130382,Max_Orville
Q112472001,%C4%BDubica_Karva%C5%A1ov%C3%A1
Q112650871,Anne-Sophie_Frigout
Q112652864,Marina_Mesure
Q112654296,%C3%89ric_Minardi
Q113016342,Jana_Nagyov%C3%A1_(politician)
Q113453333,Stephen_Nikola_Bartulica
Q113987984,Jo%C3%A3o_Albuquerque
Q114015374,Eva-Maria_Poptcheva
Q114031217,Beatrice_Timgren
Q114363384,Matthias_Ecke
Q114398640,Sebasti%C3%A3o_Bugalho
Q115055904,Maria_Angela_Danz%C3%AC
Q115055962,Elisabetta_De_Blasis
Q115056338,Matteo_Gazzini
Q115056412,Paola_Ghidoni
Q115056535,Denis_Nesci
Q115139975,Stanislav_Stoyanov_(politician)
Q115408301,Erik_Poulsen_(Danish_politician)
Q117037367,Roberto_Vannacci
Q1032587,Ernest_Maragall
Q1038599,Carl_Haglund
Q1040479,Carl_Schlyter
Q1042010,Carlo_Casini
Q1055262,Salvatore_Tatarella
Q1055321,Lucia_Annunziata
Q1055449,Matteo_Salvini
Q1055562,Antonio_Panzeri
Q10291438,Maria_da_Gra%C3%A7a_Carvalho
Q10303913,Isilda_Gomes
Q10309880,Jos%C3%A9_Manuel_Fernandes
Q10324447,Manuel_Pizarro_(politician)
Q10338219,Nuno_Melo_(politician)
Q10346767,Paulo_Rangel
Q10372930,Sofia_Ribeiro
Q119362,Jean-Paul_Besset
Q119366,Werner_Kuhn_(politician)
Q1168762,Ville_It%C3%A4l%C3%A4
Q120859,Nadja_Hirsch
Q1177587,Mircea_Diaconu
Q1183377,Deirdre_Clune
Q11074254,Biljana_Borzan
Q11142171,Marino_Baldini
Q159472,Zbigniew_Ziobro
Q159490,Jan_Zahradil
Q159648,Gianni_Vattimo
Q159813,Nick_Griffin
Q159889,Petr_Mach
Q162395,Andrew_Brons
Q11213537,K%C4%81rlis_%C5%A0adurskis
Q11289261,Ricardo_Cort%C3%A9s_Lastra
Q1576649,Hannu_Takkula
Q1580480,James_Elles
Q1583347,Hans_van_Baalen
Q11655642,Nikola_Vuljani%C4%87
Q11685756,Andreas_Pitsillides
Q11685764,Andrej_Plenkovi%C4%87
Q11686816,Artur_Zasada
Q11687634,Beata_Gosiewska
Q11688652,Borys_Budka
Q369718,Sonia_Alfano
Q369766,Zita_Gurmai
Q372388,L%C3%ADvia_J%C3%A1r%C3%B3ka
Q16596117,Soraya_Post
Q16596372,Ricardo_Serr%C3%A3o_Santos
Q16623762,Kristina_Winberg
Q16633235,Peter_Lundgren_(politician)
Q16637124,Fran%C3%A7ois_Kalfon
Q16666184,Nathalie_Loiseau
Q17117407,Jakob_von_Weizs%C3%A4cker
Q17117409,Martina_Werner
Q17118365,Gabrielius_Landsbergis
Q17120046,Igor_%C5%A0oltes
Q17121823,Miltos_Kyrkos
Q17123340,Brando_Benifei
Q27182,Rachida_Dati
Q109918947,Nikola_Minchev
Q109968699,Annam%C3%A1ria_Vicsek
Q110213949,Pierre-Romain_Thionnet
Q110513292,Camilla_Laureti
Q110529529,Karsten_Lucke
Q110572786,Malte_Gall%C3%A9e
Q110589780,Catharina_Rinzema
Q110635584,Sofie_Eriksson
Q110794778,Ren%C3%A9_Repasi
Q110970031,Anna_St%C3%BCrgkh
Q111353622,Rosa_Mar%C3%ADa_Serrano_Sierra
Q111796425,Rody_Tolassy
Q122803246,Lydie_Massard
Q122835372,Anna_Bry%C5%82ka
Q122852043,Ewa_Zaj%C4%85czkowska-Hernik
Q123038876,Martine_Kemp
Q123220692,Fidias_Panayiotou
Q123232131,Rima_Hassan
Q123701109,Esther_Sanz_Selva
Q123778841,Fran%C3%A7ois_Thiollet
Q16593781,Gabriela_Firea
Q1676939,Jacek_Protasiewicz
Q1683061,Janusz_Korwin-Mikke
Q1684700,Ram%C3%B3n_J%C3%A1uregui
Q1713891,Philippe_De_Backer
Q12272021,Andrei_Slabakov
Q12281964,Hristo_Petrov
Q12288663,Nikolay_Barekov
Q12290387,Petar_Volgin
Q12301466,Anders_Vistisen
Q12316339,Henrik_Dahl_(politician)
Q12320916,J%C3%B8rn_Dohrmann
Q12327679,Morten_Helveg_Petersen
Q12328993,Nikolaj_Villumsen
Q12331300,Per_Clausen
Q12333503,Rina_Ronja_Kari
Q12379326,Jana_Toom
Q16527490,Antonio_Decaro
Q16529268,Anneliese_Dodds
Q16530497,Axel_Voss
Q16537126,Cl%C3%A1udia_Aguiar
Q16545093,Fernando_Ruas
Q16545829,Francis_Zammit_Dimech
Q16549460,Gilles_Lebreton
Q16563740,Judith_Kirton-Darling
Q16571128,Lefteris_Christoforou
Q16586580,Patrick_O%27Flynn
Q16595498,Arba_Kokalari
Q17093506,Sven_Schulze
Q17116940,Nikos_Androulakis
Q17117404,Maria_Heubuch
Q17117405,Marcus_Pretzell
Q17117406,Ulrike_Trebesius
Q11860,Silvio_Berlusconi
Q15995,Kathleen_Van_Brempt
Q270530,Marianne_Thyssen
Q11769926,Mariya_Gabriel
Q1200008,Derek_Clark
Q1200134,Derek_Vaughan
Q124965,Ulrike_Rodust
Q126452,Emma_McClarkin
Q1260118,Ru%C5%BEa_Toma%C5%A1i%C4%87
Q1598789,Kyriakos_Mavronikolas
Q1603428,Helmut_Brandst%C3%A4tter
Q1614514,Pascal_Arimont
Q1618317,Hildegard_Bentele
Q11749266,Krzysztof_Hetman
Q11767619,Marcin_Kierwi%C5%84ski
Q11767999,Marek_Balt
Q12391819,Lidia_Senra
Q261120,Margrete_Auken
Q263566,Maria_Badia_i_Cutchet
Q264823,Satu_Hassi
Q265479,Achille_Variati
Q266208,Kinga_G%C3%B6ncz
Q269859,%C3%85sa_Westlund
Q270511,Annemie_Neyts-Uyttebroeck
Q270498,Krisztina_Morvai
Q374179,Adrian_Severin
Q3634690,Barbara_Spinelli
Q3659195,Carlo_Ciccioli
Q3659342,Carlo_Fidanza
Q3672035,Jaros%C5%82aw_Kalinowski
Q16684166,Radan_Kanev
Q16727434,Gunnar_Beck
Q16751268,Diane_James
Q16751995,Tim_Aker
Q16769678,Louise_Bours
Q16866329,Grace_O%27Sullivan
Q17124693,Martin_Schirdewan
Q17128240,Ang%C3%A9lique_Delahaye
Q17140213,Marco_Affronte
Q17142887,Rikke_Karlsson
Q17143079,Emil_Radev
Q17143453,Kati_Piri
Q17147314,Giulia_Moi
Q17149323,Notis_Marias
Q17149761,Claudia_%C8%9Aapardel
Q17152415,Nicola_Danti
Q17152490,Matthijs_van_Miltenburg
Q347505,Ovidiu_Ioan_Silaghi
Q125704358,Eszter_Lakos
Q125704422,Gabriella_Gerzsenyi
Q125704483,Kinga_Koll%C3%A1r
Q125711251,Laurent_Castillo
Q125735465,Julie_Rechagneux
Q125759249,Ang%C3%A9line_Furet
Q125759280,Pierre_Pimpie
Q125759309,Val%C3%A9rie_Deloge
Q125789969,Gr%C3%A9gory_Allione
Q125821489,Oihane_Agirregoitia
Q125919027,Liesbet_Sommen
Q125960633,Ansis_P%C5%ABpols
Q125967771,Micha%C5%82_Wawrykiewicz
Q16976820,"Ian_Duncan,_Baron_Duncan_of_Springbank"
Q11917597,Dolors_Montserrat
Q12015628,Claudette_Abela_Baldacchino
Q12016827,Franc_Bogovi%C4%8D
Q12022507,Jan_Farsk%C3%BD
Q12025429,Ji%C5%99%C3%AD_Payne
Q12028942,Kate%C5%99ina_Kone%C4%8Dn%C3%A1
Q12036669,Michaela_%C5%A0ojdrov%C3%A1
Q12055995,Stanislav_Pol%C4%8D%C3%A1k
Q12059351,Tom%C3%A1%C5%A1_Zdechovsk%C3%BD
Q2063954,Paulius_Saudargas
Q2065232,Ra%C3%BCl_Romeva
Q2066270,Philip_Claeys
Q2066569,Alejo_Vidal-Quadras_Roca
Q2066785,Pedro_Silva_Pereira
Q2080450,Petras_Au%C5%A1trevi%C4%8Dius
Q2085597,Phil_Bennion
Q2097451,Sven_Mikser
Q2129398,Ralf_Seekatz
Q348800,Ioan_Mircea_Pa%C8%99cu
Q348993,Cristian_Bu%C8%99oi
Q349024,Eduard_Hellvig
Q3556414,Dimitrios_Papadimoulis
Q3557644,Niki_Tzavela
Q3557870,Ioannis_Tsoukalas
Q3610441,Alessia_Mosca
Q3616115,Andrea_Zanoni
Q3617687,Anna_Cinzia_Bonfrisco
Q3623423,Marusya_Ivanova_Lyubcheva
Q16963365,Jean-Luc_Schaffhauser
Q16974976,Lucy_Anderson_(politician)
Q16975648,Janice_Atkinson
Q16975892,Elly_Schlein
Q16976828,Jill_Seymour
Q16976943,Amjad_Bashir
Q16976852,Julia_Reid
Q16977486,Ignazio_Corrao
Q272240,Siiri_Oviir
Q124024336,Sander_Smit
Q124218598,Yvan_Verougstraete
Q124293065,Alma_Ezcurra
Q124331972,Niels_Geuking
Q124412639,Ilaria_Salis
Q11771008,Mar%C3%ADa_Irigoyen_P%C3%A9rez
Q11778705,Micha%C5%82_Dworczyk
Q11778888,Micha%C5%82_Kobosko
Q11785160,Monika_Smolkov%C3%A1
Q11797891,Olga_Sehnalov%C3%A1
Q11813593,Patryk_Jaki
Q11816030,Petru_Luhan
Q11827078,Preslav_Borissov
Q11834951,Robert_Du%C5%A1ek
Q11857612,Elsi_Katainen
Q11869065,Kaja_Kallas
Q270883,Magdalena_%C3%81lvarez
Q271266,Elena_B%C4%83sescu
Q271646,Rasa_Juknevi%C4%8Dien%C4%97
Q271721,Edit_Bauer
Q271902,Hanna_Gronkiewicz-Waltz
