wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Q459226,Anita Gradin,,,1933-08-12,Q10532612,,politician || journalist,,Swedish Social Democratic Party,Grand Cross of Honor for Services to the Republic of Austria || Honorary doctorate of Umeå University,"member of the Swedish Riksdag (1982-10-04 to 1982-10-08) || member of the Swedish Riksdag (1985-09-30 to 1985-09-30) || Representative of the Parliamentary Assembly of the Council of Europe (1982-04-26 to 1982-11-09) || member of the Swedish Riksdag (1971-01-11 to 1974-01-10) || member of the Swedish Riksdag (1991-10-05 to 1992-10-31) || substitute member of the Parliamentary Assembly of the Council of Europe (1973-05-14 to 1982-04-01) || Minister of Immigration (1982-10-08 to 1986-10-10) || Minister for Gender Equality Affairs (1982-10-08 to 1986-10-10) || member of the Swedish Riksdag (1988-10-03 to 1988-10-03) || Minister of Foreign Trade (1986-10-10 to 1991-10-04) || member of the Swedish Riksdag (1979-10-01 to 1982-10-04) || member of the Second Chamber (1969-01-01 to 1970-01-01) || member of the Swedish Riksdag (1974-01-10 to 1976-10-04) || European Commissioner for Justice, Fundamental Rights and Citizenship (1995-01-01 to 1999-01-01) || ambassador of Sweden to Austria (1992-01-01 to 1994-01-01) || member of the Swedish Riksdag (1976-10-04 to 1979-10-01) || European Commissioner for Home Affairs (1995-01-01 to 1999-01-01)"
Q50002,Emma Bonino,,,1948-03-09,Bra,Bocconi University,politician,,Radical Party,Order of Duke Branimir || North–South Prize || Princess of Asturias Award for International Cooperation || Commander of the Legion of Honour || Knight Grand Cross of the Order of Merit of the Italian Republic || BBC 100 Women || Grand Officer of the National Order of the Lion || honorary doctorate of the Vrije Universiteit Brussel || Grand Cross of the Order of May,Member of the European Parliament (1979-07-17 to 1984-07-23) || member of the Chamber of Deputies of the Italian Republic (1986-12-05 to 1987-07-01) || member of the Senate of the Italian Republic (2008-04-18 to 2013-03-14) || Italian minister for EU Affairs (2006-05-17 to 2008-05-08) || member of the Chamber of Deputies of the Italian Republic (2006-04-21 to 2008-04-28) || member of the Chamber of Deputies of the Italian Republic (1992-04-23 to 1994-04-14) || Italian Minister of Foreign Affairs (2013-04-28 to 2014-02-22) || member of the Chamber of Deputies of the Italian Republic (1979-06-13 to 1983-07-11) || member of the Chamber of Deputies of the Italian Republic (1990-07-10 to 1992-04-22) || member of the Chamber of Deputies of the Italian Republic (1994-04-05 to 1995-01-24) || member of the Chamber of Deputies of the Italian Republic (1976-07-05 to 1978-12-20) || European Commissioner for Health and Consumer Policy (1995-01-23 to 1999-09-12) || Member of the European Parliament (1984-07-24 to 1984-09-11) || Minister of Foreign Trade (2006-05-17 to 2008-05-08) || Member of the European Parliament (1999-07-20 to 2004-07-19) || member of the Senate of the Italian Republic (2018-03-13 to 2022-10-12) || Member of the European Parliament (2004-07-20 to 2006-04-27)
Q194058,Erkki Liikanen,,,1950-09-19,Mikkeli,University of Helsinki,politician || economist || diplomat || banker,,Social Democratic Party of Finland,Commander of the Order of the White Rose of Finland || Grand Cross of the Order of the Lion of Finland || Commander First Class of the Order of the Lion of Finland || Knight First Class of the Order of the Lion of Finland,European Commissioner for Industry and Entrepreneurship (1999-09-17 to 2004-07-11) || ambassador of Finland (1990-01-01 to 1994-01-01) || Governor of the Bank of Finland (2004-01-01 to 2018-01-01) || member of the Parliament of Finland (1972-01-22 to 1990-08-31) || Minister of Finance (1987-04-30 to 1990-02-28) || European Commissioner for Financial Programming and the Budget (1995-01-25 to 1999-09-17)
Q1087152,Christos Papoutsis,,,1953-04-11,Larissa,National and Kapodistrian University of Athens,politician || economist,,Panhellenic Socialist Movement,,Minister for the Protection of the Citizen (2010-09-07 to 2012-03-07) || Member of the European Parliament (1989-07-25 to 1994-07-18) || member of the Hellenic Parliament (2000-01-01 to 2012-01-01) || Member of the European Parliament (1984-07-24 to 1989-07-24) || Minister of Shipping and Island Policy (Greece) (2000-04-13 to 2001-10-24) || European Commissioner for Energy (1995-01-01 to 1999-09-01) || European Commissioner for Energy (1995-01-23 to 1999-09-15) || Member of the European Parliament (1994-07-19 to 1995-01-23)
Q332607,Sir Leon Brittan,,,1939-09-25,North London,Yale University || Trinity College || Haberdashers' Aske's Boys' School,businessperson || politician || barrister || investment banker,,Conservative Party,"Knight Bachelor || Order of the Cross of Terra Mariana, 2nd Class",member of the House of Lords (2000-02-09 to 2015-01-21) || member of the 47th Parliament of the United Kingdom (1974-10-10 to 1979-04-07) || member of the 49th Parliament of the United Kingdom (1983-06-09 to 1987-05-18) || European Commissioner for Competition (1989-01-06 to 1993-01-06) || Secretary of State for Business and Trade (1985-09-02 to 1986-01-24) || member of the 48th Parliament of the United Kingdom (1979-05-03 to 1983-05-13) || King's Counsel (1978-04-04 to 2015-01-21) || Home Secretary (1983-06-11 to 1985-09-02) || European Commissioner for External Relations (1995-01-23 to 1999-09-15) || Member of the Privy Council of the United Kingdom (1981-01-01 to 2015-01-21) || member of the 50th Parliament of the United Kingdom (1987-06-11 to 1988-12-31) || European Commissioner for Trade (1993-01-06 to 1999-09-15) || member of the 46th Parliament of the United Kingdom (1974-02-28 to 1974-09-20) || Chief Secretary to the Treasury (1981-01-05 to 1983-06-11) || Chief Secretary to the Treasury (1981-01-06 to 1983-06-11) || vice-president of the European Commission (1999-03-16 to 1999-09-15)
Q712105,Hans van den Broek,,,1936-12-11,Paris,Utrecht University,lawyer || politician || diplomat,,Christian Democratic Appeal || Catholic People's Party,"Robert Schuman Medal || Order of Freedom of the Republic of Slovenia || Grand Cross of the Order of Isabella the Catholic || Commander with Star of the Order of Merit of the Republic of Poland || Order of the Cross of Terra Mariana, 2nd Class",Secretary of State for Foreign Affairs (1981-09-11 to 1982-11-04) || member of the House of Representatives of the Netherlands (1976-10-12 to 1977-06-07) || member of the House of Representatives of the Netherlands (1989-09-14 to 1989-11-07) || European Commissioner for External Relations (1993-01-06 to 1999-09-15) || member of the House of Representatives of the Netherlands (1977-06-08 to 1981-09-11) || member of the House of Representatives of the Netherlands (1982-09-16 to 1982-11-04) || Minister of Foreign Affairs (1982-11-04 to 1993-01-03) || member of the House of Representatives of the Netherlands (1986-06-03 to 1986-07-14)
Q1968551,Padraig Flynn,,,1939-05-09,Castlebar,"St Patrick's College, Dublin",politician,,Fianna Fáil,,"Minister for Housing, Local Government and Heritage (1987-03-10 to 1991-11-08) || Teachta Dála (1977-07-05 to 1981-05-21) || Minister for Enterprise, Trade and Employment (1982-10-27 to 1982-12-14) || Teachta Dála (1987-03-10 to 1989-05-25) || Minister for Enterprise, Trade and Employment (1992-11-05 to 1993-01-04) || Teachta Dála (1981-06-30 to 1982-01-27) || Teachta Dála (1982-12-14 to 1987-01-20) || Teachta Dála (1982-03-09 to 1982-11-04) || Teachta Dála (1989-06-29 to 1992-11-05) || Minister for Justice, Home Affairs and Migration (1992-02-11 to 1993-01-04) || European Commissioner for Employment, Social Affairs and Inclusion (1993-01-06 to 1999-09-15) || Teachta Dála (1992-12-14 to 1993-01-04)"
Q722282,Marcelino Oreja,,,1935-02-13,Madrid,University of Madrid,lawyer || politician || jurist || diplomat,,People's Party || Union of the Democratic Centre || People's Alliance || National Movement,Grand Cross of the Order of Isabella the Catholic || Grand Cross of the Order of Charles III || Grand Cross of the Civil Order of Alfonso X the Wise || Grand Cross of the Order of the Sun of Peru || honorary doctor of the University of Zaragoza || Grand Cross of the Cross of Military Merit with White Decoration || honorary doctorate of Seville University || honorary doctor of the University of Provence - Aix-Marseille I,"Government representative in the Basque Autonomous Community (1980-10-11 to 1982-07-31) || Member of the Congress of Deputies (1993-06-23 to 1994-04-27) || procurador en Cortes (1971-11-11 to 1977-06-30) || Secretary General of the Council of Europe (1984-10-01 to 1989-06-01) || substitute member of the Parliamentary Assembly of the Council of Europe (1984-05-07 to 1984-05-11) || Member of the European Parliament (1989-07-25 to 1993-06-28) || Representative of the Parliamentary Assembly of the Council of Europe (1983-04-25 to 1984-02-03) || member of the Senate of Spain (1977-06-15 to 1979-01-02) || Member of the Congress of Deputies (1979-03-13 to 1980-11-06) || Foreign Minister (1976-07-05 to 1980-09-09) || Member of the Congress of Deputies (1982-11-10 to 1984-09-05) || European Commissioner for Transport (1994-04-27 to 1995-01-22) || Q135435246 (2010-01-19 to 2014-12-16) || European Commissioner for Energy (1994-04-27 to 1995-01-22) || European Commissioner for Education, Culture, Multilingualism and Youth (1995-01-23 to 1999-09-15) || European Commissioner for Inter-Institutional Relations and Administration (1995-01-23 to 1999-09-15) || Academic of the Royal Academy of Moral and Political Sciences (from 2001-04-25)"
Q230861,Edith Cresson,,,1934-01-27,Boulogne-Billancourt,Haut Enseignement Commercial pour les jeunes filles,politician || economist || diplomat,,Socialist Party,Officer of the Legion of Honour || honorary doctorate || Grand Cross of the National Order of Merit,"Minister of Agriculture of France (1981-05-22 to 1981-06-22) || member of the French National Assembly (1988-06-23 to 1988-06-29) || Minister of Agriculture of France (1981-06-23 to 1983-03-22) || member of the general council || European Commissioner for Research, Innovation and Science (1995-01-23 to 1999-09-12) || Member of the European Parliament (1979-07-17 to 1981-06-16) || Mayor of Châtellerault (1983-03-16 to 1997-03-27) || member of the French National Assembly (1986-04-02 to 1988-05-14) || member of the French National Assembly (1981-07-02 to 1981-07-23) || Prime Minister of France (1991-05-15 to 1992-04-02)"
Q509124,Yves-Thibault de Silguy,,,1948-07-22,Rennes,École nationale d'administration || Sciences Po || University of Rennes,lawyer || businessperson || politician,,,Commandeur des Arts et des Lettres,European Commissioner for Economic Affairs (1995-01-23 to 1999-09-15) || Secretary General of the Interministerial Committee for European Economic Cooperation Questions (1993-01-01 to 1995-01-01)
