Name,Portfolio,Country,National_Party,EP_Group,wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Connie Hedegaard,Climate Action,DNK,Kons,EPP,Q237797,Connie Hedegaard,,,1960-09-15,Copenhagen,University of Copenhagen,politician || journalist,,Conservative People's Party,Publicistprisen || commander of the Order of the Dannebrog,"member of the Folketing || European Commissioner for Climate Action (2010-02-09 to 2014-10-31) || Minister for 2009 United Nations Climate Change Conference (2009-11-24 to 2009-12-20) || Minister for the Environment (2004-08-02 to 2007-11-23) || Minister for Nordic Co-operation (2005-02-18 to 2007-11-23) || European Commissioner (2010-01-01 to 2014-01-01) || Minister of Energy, Utilities, and Climate (2007-11-23 to 2009-11-24)"
Algirdas Šemeta,"Taxation and Customs Union, Audit and Anti-Fraud",LTU,TS-LKD,EPP,Q519077,Algirdas Šemeta,,,1962-04-23,Vilnius,Vilnius University,politician || minister || economist,,Homeland Union – Lithuanian Christian Democrats,Adam Smith Prize,European Commissioner for Economy (2010-02-09 to 2014-11-01) || European Commissioner for Financial Programming and the Budget (2009-07-01 to 2010-02-09) || Minister of Finance (2008-12-09 to 2009-06-30) || Minister of Finance (1997-02-19 to 1999-06-01)
Antonio Tajani,Industry and Entrepreneurship,ITA,FI,EPP,Q440710,Antonio Tajani,,,1953-08-04,Rome,Sapienza University of Rome,politician || jurist || journalist,,The People of Freedom || Forza Italia || Italian Monarchist Union,Hungarian Order of Merit || National Order of Faithful Service || Princess of Asturias Awards || Order of the Rising Sun || Order of Bernardo O'Higgins || Order of Prince Yaroslav the Wise || Order of Civil Merit || Officer of the Legion of Honour || Grand Cross of the Order of the White Rose of Finland || Grand Cross of the Order of Civil Merit,Member of the European Parliament (1999-07-20 to 2004-07-19) || Italian Minister of Foreign Affairs (from 2022-10-22) || Member of the European Parliament (2004-07-20 to 2008-05-08) || Member of the European Parliament (2014-07-01 to 2019-07-01) || Member of the European Parliament (1994-07-19 to 1999-07-19) || secretary (from 2023-07-15) || European Commissioner for Industry and Entrepreneurship (2010-02-14 to 2014-07-01) || chairperson (2019-07-10 to 2022-10-04) || European Commissioner for Transport (2008-02-08 to 2010-02-10) || Member of the European Parliament (2019-07-02 to 2022-10-12) || Vice President of the Council of Ministers of Italy (from 2022-10-22) || President of the European Parliament (2017-01-17 to 2019-07-01) || Vice President of the European Parliament (2014-07-01 to 2017-01-16) || member of the Chamber of Deputies of the Italian Republic (from 2022-10-13)
John Dalli,Health and Consumer Policy,MLT,PN,EPP,Q518375,John Dalli,,,1948-10-05,Valletta,Benjamin N. Cardozo School of Law,politician,,Nationalist Party,,Minister for Foreign Affairs (2004-03-23 to 2004-07-03) || Finance Minister of Malta (1992-02-27 to 1996-10-28) || Finance Minister of Malta (1998-09-08 to 2004-03-23) || European Commissioner for Health and Consumer Policy (2010-01-01 to 2012-01-01) || Member of the House of Representatives of Malta (1987-01-01 to 2010-01-01)
Tonio Borg,Health and Consumer Policy (replaced Dalli),MLT,PN,EPP,Q58176,Tonio Borg,,,1957-05-12,Floriana,University of Malta || St Aloysius' College,politician,,Nationalist Party,,Member of the House of Representatives of Malta || substitute member of the Parliamentary Assembly of the Council of Europe (1992-05-04 to 1994-06-28) || Deputy Prime Minister of Malta (2004-03-23 to 2012-11-28) || Minister for Justice and Governance (2003-04-15 to 2008-03-12) || European Commissioner for Health and Consumer Policy (2013-07-01 to 2014-11-01) || Minister for Home Affairs (1998-09-08 to 2008-03-12) || Representative of the Parliamentary Assembly of the Council of Europe (1994-06-28 to 1995-06-26) || Minister for Home Affairs (1995-04-17 to 1996-10-28) || Minister for Foreign Affairs (2008-03-12 to 2012-11-28) || European Commissioner for Health and Consumer Policy (2012-11-28 to 2013-07-01)
Máire Geoghegan-Quinn,"Research, Innovation and Science",IRL,FF,ALDE,Q176817,Máire Geoghegan-Quinn,,,1950-09-05,Carna,Carysfort College,writer || politician,,Fianna Fáil,,"Teachta Dála (1981-06-30 to 1982-01-27) || Minister for Justice, Home Affairs and Migration (1993-01-04 to 1994-12-15) || Teachta Dála (1975-03-04 to 1977-05-25) || European Commissioner for Research, Innovation and Science (2010-02-09 to 2014-11-01) || Teachta Dála (1977-07-05 to 1981-05-21) || Teachta Dála (1987-03-10 to 1989-05-25) || Teachta Dála (1982-12-14 to 1987-01-20) || Teachta Dála (1989-06-29 to 1992-11-05) || Minister for Equality and Law Reform (1994-11-18 to 1994-12-15) || Minister for Transport (1992-02-11 to 1993-01-12) || Teachta Dála (1982-03-09 to 1982-11-04) || Teachta Dála (1992-12-14 to 1997-05-15)"
László Andor,"Employment, Social Affairs and Inclusion",HUN,MSZP,S&D,Q561392,László Andor,,,1966-06-03,Zalaegerszeg,University of Manchester || Corvinus University of Budapest || Zalaegerszegi Zrínyi Miklós Gimnázium,politician || economist,Corvinus University of Budapest,Hungarian Socialist Party,,"European Commissioner for Employment, Social Affairs and Inclusion (2010-02-09 to 2014-11-01)"
Cecilia Malmström,Home Affairs,SWE,FP,ALDE,Q234872,Cecilia Malmström,,,1968-05-15,Stockholm,University of Gothenburg || University of Paris 1 Pantheon-Sorbonne || Schillerska gymnasiet,politician || diplomat || political scientist || university teacher,University of Gothenburg,Liberals,honorary doctor of the University of Gothenburg,Minister for EU Affairs (2006-10-06 to 2010-01-22) || Member of the European Parliament (2004-07-20 to 2006-10-05) || European Commissioner for Trade (2014-11-01 to 2019-11-30) || European Commissioner for Home Affairs (2010-02-10 to 2014-10-31) || Member of the European Parliament (1999-07-20 to 2004-07-19)
Andris Piebalgs,Development,LVA,JV,EPP,Q318940,Andris Piebalgs,,,1957-09-17,Valmiera,University of Latvia,politician || diplomat,,Communist Party of the Soviet Union || European People's Party || Unity || Latvian Way || Latvia's First Party/Latvian Way || Popular Front of Latvia,Order of the Three Stars,deputy of Saeima || ambassador of Latvia (1995-01-01 to 1997-01-01) || European Commissioner for Preparedness and Crisis Management (2010-02-09 to 2014-11-01) || Minister of Education and Science (1990-05-18 to 1993-08-03) || European Commissioner for Energy (2004-11-22 to 2010-02-09) || Minister of Finance (1994-09-19 to 1995-05-25)
Michel Barnier,Internal Market and Services,FRA,UMP,EPP,Q438465,Michel Barnier,,,1951-01-09,La Tronche,ESCP Business School,politician || diplomat,,Union for a Popular Movement || Rally for the Republic || The Republicans,Knight of the Order of Orange-Nassau || Robert Schuman Medal || Officer of the Legion of Honour || Great Cross with Star and Sash of the Order of Merit of the Federal Republic of Germany || Gold Olympic Order || Commander of the Order of Polonia Restituta || Grand Cross of the Order of Isabella the Catholic || Commander of the Order of Agricultural Merit || Cross pro Merito Melitensi || Grand Cross of the Order of the Star of Romania || Grand Cross of the Order of Prince Henry || Commander of the Order of Maritime Merit || Medal of the Oriental Republic of Uruguay,European Commissioner for Cohesion and Reforms (1999-01-01 to 2004-01-01) || member of the French National Assembly (1981-07-02 to 1986-04-01) || member of the French National Assembly (1988-06-23 to 1993-04-01) || member of the French National Assembly (1978-04-03 to 1981-05-22) || Minister of Foreign Affairs (2004-03-31 to 2005-05-31) || Senator of the French Fifth Republic (1997-09-22 to 1999-09-23) || member of the general council (1973-09-05 to 1999-09-13) || member of the French National Assembly (1986-04-02 to 1988-05-14) || Minister of Agriculture and Fisheries (2007-06-19 to 2010-11-14) || European Commissioner for Internal Market (2010-02-09 to 2014-11-01) || Member of the European Parliament (2009-07-14 to 2010-02-09) || member of the French National Assembly (1993-04-02 to 1993-05-01) || Prime Minister of France (2024-09-05 to 2024-12-13)
Neven Mimica,Consumer Policy,HRV,SDP,S&D,Q3443168,Neven Mimica,,,1953-10-12,Split,"Faculty of Economics and Business, University of Zagreb",politician || minister || diplomat,,Social Democratic Party of Croatia,,Minister of European Integration (2001-09-28 to 2002-07-30) || substitute member of the Parliamentary Assembly of the Council of Europe (2004-03-02 to 2005-04-25) || Minister of European Integration (2002-07-30 to 2003-12-23) || Representative of the Parliamentary Assembly of the Council of Europe (2005-04-25 to 2008-04-14) || European Commissioner for International Partnerships (2014-11-01 to 2019-11-30) || deputy prime minister (2011-12-23 to 2013-06-30) || representative in the Croatian Parliament (2003-12-22 to 2008-01-11) || representative in the Croatian Parliament (2008-01-11 to 2011-12-22) || European Commissioner for Consumer Policy (2013-07-01 to 2014-10-31)
