Commission,Size,Elite_uni_n,Elite_uni_pct,Atlanticist_n,Atlanticist_pct,Prior_MEP_n,Prior_MEP_pct,Prior_minister_n,Prior_minister_pct,PhD_n,PhD_pct,Law_n,Law_pct,Atlanticist_source
Barroso I (2004–09),27,7,25.9,11,40.7,1,3.7,9,33.3,6,22.2,2,7.4,wikipedia
Barroso II (2010–14),28,7,25.0,11,39.3,1,3.6,10,35.7,8,28.6,2,7.1,wikipedia
Juncker (2014–19),28,10,35.7,10,35.7,5,17.9,9,32.1,9,32.1,6,21.4,wikipedia
VdL I (2019–24),30,6,20.0,7,23.3,7,23.3,5,16.7,4,13.3,1,3.3,wikipedia
VdL II (2024–29),27,7,25.9,17,63.0,5,18.5,10,37.0,3,11.1,2,7.4,declarations
