Name,Country,Constituency,National_Party,EP_Group,In_Office_Since,Birth_Date,Notes
Tomáš Kubín,Czech Republic,,ANO,Patriots for Europe,,1 August 2024,
Jana Nagyová,Czech Republic,,ANO,Patriots for Europe,,16 July 2024,
Jaroslava Pokorná Jermanová,Czech Republic,,ANO,Patriots for Europe,,16 July 2024,
Jaroslav Knot,Czech Republic,,IND,Patriots for Europe,,31 July 2025,
Ondřej Kovařík,Czech Republic,,ANO,Patriots for Europe,,2 July 2019,30 July 2025
Alexandr Vondra,Czech Republic,,SPOLU,ECR,,2 July 2019,
Veronika Vrecionová,Czech Republic,,SPOLU,ECR,,2 July 2019,
Ondřej Krutílek,Czech Republic,,SPOLU,ECR,,16 July 2024,
Luděk Niedermayer,Czech Republic,,SPOLU,EPP,,1 July 2014,
Ondřej Kolář,Czech Republic,,SPOLU,EPP,,16 July 2024,
Tomáš Zdechovský,Czech Republic,,SPOLU,EPP,,1 July 2014,
Nikola Bartůšek,Czech Republic,,PaM,Patriots for Europe,,16 July 2024,
Antonín Staněk,Czech Republic,,PaM,Patriots for Europe,,4 October 2025,
Kateřina Konečná,Czech Republic,,Stačilo!(KSČM),Non-Inscrits,,1 July 2014,
Ondřej Dostál,Czech Republic,,Stačilo!(SD-SN),Non-Inscrits,,16 July 2024,
Danuše Nerudová,Czech Republic,,STAN,EPP,,16 July 2024,
Jan Farský,Czech Republic,,STAN,EPP,,16 July 2024,
Markéta Gregorová,Czech Republic,,Piráti,Greens/EFA,,2 July 2019,
Ivan David,Czech Republic,,SPD–T,Europe of Sovereign Nations,,2 July 2019,
Kira Peter-Hansen,Denmark,,F,Greens/EFA,,2 July 2019,
Villy Søvndal,Denmark,,F,Greens/EFA,,16 July 2024,
Rasmus Nordqvist,Denmark,,F,Greens/EFA,,16 July 2024,
Christel Schaldemose,Denmark,,A,S&D,,1 July 2006,
Niels Fuglsang,Denmark,,A,S&D,,2 July 2019,
Marianne Vind,Denmark,,A,S&D,,2 July 2019,
Morten Løkkegaard,Denmark,,V,Renew Europe,,3 March 2016,
Asger Christensen,Denmark,,V,Renew Europe,,2 July 2019,
Niels Flemming Hansen,Denmark,,C,EPP,,16 July 2024,
Kristoffer Hjort Storm,Denmark,,Æ,ECR,,16 July 2024,
Sigrid Friis,Denmark,,B,Renew Europe,,16 July 2024,
Per Clausen,Denmark,,Ø,The Left,,16 July 2024,
Henrik Dahl,Denmark,,I,EPP,,16 July 2024,
Anders Vistisen,Denmark,,O,Patriots for Europe,,22 November 2022,
Stine Bosse,Denmark,,M,Renew Europe,,16 July 2024,
Riho Terras,Estonia,,Isamaa,EPP,,1 February 2020,
Jüri Ratas,Estonia,,Isamaa,EPP,,16 July 2024,
Marina Kaljurand,Estonia,,SDE,S&D,,2 July 2019,
Sven Mikser,Estonia,,SDE,S&D,,2 July 2019,
Urmas Paet,Estonia,,ER,Renew Europe,,3 November 2014,
Jaak Madison,Estonia,,EKRE,ECR,,2 July 2019,
Jana Toom,Estonia,,EK,Renew Europe,,1 July 2014,
Mika Aaltola,Finland,,KOK,EPP,,16 July 2024,
Henna Virkkunen,Finland,,KOK,EPP,,1 July 2014,30 November 2024
Pekka Toveri,Finland,,KOK,EPP,,16 July 2024,
Aura Salla,Finland,,KOK,EPP,,16 July 2024,
Sirpa Pietikäinen,Finland,,KOK,EPP,,1 December 2024[e],
Li Andersson,Finland,,VAS,The Left,,16 July 2024,
Merja Kyllönen,Finland,,VAS,The Left,,16 July 2024[f],
Jussi Saramo,Finland,,VAS,The Left,,16 July 2024,
Eero Heinäluoma,Finland,,SDP,S&D,,2 July 2019,
Maria Guzenina,Finland,,SDP,S&D,,16 July 2024,
Elsi Katainen,Finland,,KESK,Renew Europe,,1 March 2018,
Katri Kulmuni,Finland,,KESK,Renew Europe,,16 July 2024,
Ville Niinistö,Finland,,VIHR,Greens/EFA,,2 July 2019,
Maria Ohisalo,Finland,,VIHR,Greens/EFA,,16 July 2024,
Sebastian Tynkkynen,Finland,,PS,ECR,,16 July 2024,
Anna-Maja Henriksson,Finland,,SFP,Renew Europe,,16 July 2024,
Jordan Bardella,France,,RN,Patriots for Europe,,2 July 2019,
Malika Sorel,France,,RN,Patriots for Europe,,16 July 2024,
Fabrice Leggeri,France,,RN,Patriots for Europe,,16 July 2024,
Mathilde Androuët,France,,RN,Patriots for Europe,,2 July 2019,
Jean-Paul Garraud,France,,RN,Patriots for Europe,,2 July 2019,
Mélanie Disdier,France,,RN,Patriots for Europe,,16 July 2024,
Matthieu Valet,France,,RN,Patriots for Europe,,16 July 2024,
Anne-Sophie Frigout,France,,RN,Patriots for Europe,,16 July 2024,
Thierry Mariani,France,,RN,Patriots for Europe,,2 July 2019,
Pascale Piera,France,,RN,Patriots for Europe,,16 July 2024,
Philippe Olivier,France,,RN,Patriots for Europe,,2 July 2019,
Marie-Luce Brasier-Clain,France,,RN,Patriots for Europe,,16 July 2024,
Alexandre Varaut,France,,RN,Patriots for Europe,,16 July 2024[g],
Catherine Griset,France,,RN,Patriots for Europe,,2 July 2019,
Gilles Pennelle,France,,RN,Patriots for Europe,,16 July 2024,
