Name,Country,Constituency,National_Party,EP_Group,In_Office_Since,Birth_Date,Notes
Elena Donazzan,Italy,North-East Italy,FdI,ECR,,16 July 2024,
Stefano Cavedagna,Italy,North-East Italy,FdI,ECR,,16 July 2024,
Sergio Berlato,Italy,North-East Italy,FdI,ECR,,1 February 2020[n],
Alessandro Ciriani,Italy,North-East Italy,FdI,ECR,,16 July 2024,
Daniele Polato,Italy,North-East Italy,FdI,ECR,,16 July 2024,
Nicola Procaccini,Italy,Central Italy,FdI,ECR,,2 July 2019,
Marco Squarta,Italy,Central Italy,FdI,ECR,,16 July 2024,
Carlo Ciccioli,Italy,Central Italy,FdI,ECR,,16 July 2024,
Antonella Sberna,Italy,Central Italy,FdI,ECR,,16 July 2024,
Francesco Torselli,Italy,Central Italy,FdI,ECR,,16 July 2024,
Alberico Gambino,Italy,Southern Italy,FdI,ECR,,16 July 2024,
Francesco Ventola,Italy,Southern Italy,FdI,ECR,,16 July 2024,
Denis Nesci,Italy,Southern Italy,FdI,ECR,,3 October 2022,
Michele Picaro,Italy,Southern Italy,FdI,ECR,,16 July 2024,
Chiara Maria Gemma,Italy,Southern Italy,FdI,ECR,,2 July 2019,
Giuseppe Milazzo,Italy,Italian Islands,FdI,ECR,,2 July 2019,
Ruggero Razza,Italy,Italian Islands,FdI,ECR,,16 July 2024,
Cecilia Strada,Italy,North-West Italy,PD,S&D,,16 July 2024,
Giorgio Gori,Italy,North-West Italy,PD,S&D,,16 July 2024,
Irene Tinagli,Italy,North-West Italy,PD,S&D,,2 July 2019,
Brando Benifei,Italy,North-West Italy,PD,S&D,,1 July 2014,
Pierfrancesco Maran,Italy,North-West Italy,PD,S&D,,16 July 2024,
Stefano Bonaccini,Italy,North-East Italy,PD,S&D,,16 July 2024,
Alessandro Zan,Italy,North-East Italy,PD,S&D,,16 July 2024,
Alessandra Moretti,Italy,North-East Italy,PD,S&D,,2 July 2019[o],
Elisabetta Gualmini,Italy,North-East Italy,PD,S&D,,2 July 2019,
Annalisa Corrado,Italy,North-East Italy,PD,S&D,,16 July 2024,
Nicola Zingaretti,Italy,Central Italy,PD,S&D,,16 July 2024,
Dario Nardella,Italy,Central Italy,PD,S&D,,16 July 2024,
Matteo Ricci,Italy,Central Italy,PD,S&D,,16 July 2024,
Camilla Laureti,Italy,Central Italy,PD,S&D,,11 January 2022,
Marco Tarquinio,Italy,Central Italy,PD,S&D,,16 July 2024,
Antonio Decaro,Italy,Southern Italy,PD,S&D,,16 July 2024,1 February 2026
Lucia Annunziata,Italy,Southern Italy,PD,S&D,,16 July 2024,
Raffaele Topo,Italy,Southern Italy,PD,S&D,,16 July 2024,
Pina Picierno,Italy,Southern Italy,PD,S&D,,1 July 2014,
Sandro Ruotolo,Italy,Southern Italy,PD,S&D,,16 July 2024,
Georgia Tramacere,Italy,Southern Italy,PD,S&D,,11 February 2026,
Giuseppe Lupo,Italy,Italian Islands,PD,S&D,,16 July 2024,
Gaetano Pedullà,Italy,North-West Italy,M5S,The Left,,16 July 2024,
Carolina Morace,Italy,Central Italy,M5S,The Left,,16 July 2024,
Dario Tamburrano,Italy,Central Italy,M5S,The Left,,16 July 2024[p],
Pasquale Tridico,Italy,Southern Italy,M5S,The Left,,16 July 2024,
Valentina Palmisano,Italy,Southern Italy,M5S,The Left,,16 July 2024,
Mario Furore,Italy,Southern Italy,M5S,The Left,,2 July 2019,
Danilo Della Valle,Italy,Southern Italy,M5S,The Left,,16 July 2024,
Giuseppe Antoci,Italy,Italian Islands,M5S,The Left,,16 July 2024,
Letizia Moratti,Italy,North-West Italy,FI–NM,EPP,,16 July 2024,
Massimiliano Salini,Italy,North-West Italy,FI–NM,EPP,,1 July 2014,
Flavio Tosi,Italy,North-East Italy,FI–NM,EPP,,16 July 2024[33],
Salvatore De Meo,Italy,Central Italy,FI–NM,EPP,,1 February 2020,
Fulvio Martusciello,Italy,Southern Italy,FI–NM,EPP,,1 July 2014,
Giuseppina Princi,Italy,Southern Italy,FI–NM,EPP,,16 July 2024,
Marco Falcone,Italy,Italian Islands,FI–NM,EPP,,16 July 2024,
Caterina Chinnici,Italy,Italian Islands,FI–NM,EPP,,1 July 2014,
Roberto Vannacci,Italy,North-West Italy,Lega,Patriots for Europe,,16 July 2024,
Silvia Sardone,Italy,North-West Italy,Lega,Patriots for Europe,,2 July 2019,
Isabella Tovaglieri,Italy,North-West Italy,Lega,Patriots for Europe,,2 July 2019,
Anna Maria Cisint,Italy,North-East Italy,Lega,Patriots for Europe,,16 July 2024,
Paolo Borchia,Italy,North-East Italy,Lega,Patriots for Europe,,2 July 2019,
Susanna Ceccardi,Italy,Central Italy,Lega,Patriots for Europe,,2 July 2019,
Aldo Patriciello,Italy,Southern Italy,Lega,Patriots for Europe,,8 May 2006,
Raffaele Stancanelli,Italy,Italian Islands,Lega,Patriots for Europe,,2 July 2019,
Ilaria Salis,Italy,North-West Italy,AVS,The Left,,16 July 2024,
Benedetta Scuderi,Italy,North-West Italy,AVS,Greens/EFA,,16 July 2024,
Cristina Guarda,Italy,North-East Italy,AVS,Greens/EFA,,16 July 2024,
Ignazio Marino,Italy,Central Italy,AVS,Greens/EFA,,16 July 2024,
Mimmo Lucano,Italy,Southern Italy,AVS,The Left,,16 July 2024,
Leoluca Orlando,Italy,Italian Islands,AVS,Greens/EFA,,16 July 2024[q],
Herbert Dorfmann,Italy,North-East Italy,SVP,EPP,,14 July 2009,
Sandra Kalniete,Latvia,,JV,EPP,,14 July 2009,
Inese Vaidere,Latvia,,JV,EPP,,1 November 2014[s],
Roberts Zīle,Latvia,,NA,ECR,,20 July 2004,
Rihards Kols,Latvia,,NA,ECR,,16 July 2024,
Ivars Ijabs,Latvia,,LA,Renew Europe,,2 July 2019,
Reinis Pozņaks,Latvia,,AS,ECR,,16 July 2024,
Mārtiņš Staķis,Latvia,,PRO,Greens/EFA,,16 July 2024,
Nils Ušakovs,Latvia,,Saskaņa,S&D,,2 July 2019,
Vilis Krištopans,Latvia,,LPV,Patriots for Europe,,16 July 2024,
Andrius Kubilius,Lithuania,,TS–LKD,EPP,,2 July 2019,30 November 2024
Rasa Juknevičienė,Lithuania,,TS–LKD,EPP,,2 July 2019,
Liudas Mažylis,Lithuania,,TS–LKD,EPP,,5 December 2024[t],
Paulius Saudargas,Lithuania,,TS–LKD,EPP,,16 July 2024,
Vilija Blinkevičiūtė,Lithuania,,LSDP,S&D,,14 July 2009,
Vytenis Andriukaitis,Lithuania,,LSDP,S&D,,16 July 2024,
Aurelijus Veryga,Lithuania,,LVŽS,ECR,,16 July 2024,
Dainius Žalimas,Lithuania,,LP,Renew Europe,,16 July 2024,
Virginijus Sinkevičius,Lithuania,,DSVL,Greens/EFA,,16 July 2024,
Waldemar Tomaszewski,Lithuania,,LLRA–KŠS,ECR,,14 July 2009,
Petras Gražulis,Lithuania,,TTS,Europe of Sovereign Nations,,16 July 2024,
Petras Auštrevičius,Lithuania,,LS,Renew Europe,,1 July 2014,
Christophe Hansen,Luxembourg,,CSV,EPP,,16 July 2024[u],30 November 2024
Martine Kemp,Luxembourg,,CSV,EPP,,3 December 2024[w],
Isabel Wiseler-Santos Lima,Luxembourg,,CSV,EPP,,2 July 2019,
Marc Angel,Luxembourg,,LSAP,S&D,,10 December 2019,
Charles Goerens,Luxembourg,,DP,Renew Europe,,14 July 2009,
Tilly Metz,Luxembourg,,Gréng,Greens/EFA,,19 June 2018,
Fernand Kartheiser,Luxembourg,,ADR,ECR,,16 July 2024,
Alex Agius Saliba,Malta,,PL,S&D,,2 July 2019,
Daniel Attard,Malta,,PL,S&D,,16 July 2024,
Thomas Bajada,Malta,,PL,S&D,,16 July 2024,
Roberta Metsola,Malta,,PN,EPP,,24 April 2013,
Peter Agius,Malta,,PN,EPP,,16 July 2024,
David Casa,Malta,,PN,EPP,,20 July 2004,
Bas Eickhout,Netherlands,,GL/PvdA,Greens/EFA,,14 July 2009,
Marit Maij,Netherlands,,GL/PvdA,S&D,,16 July 2024,
Kim van Sparrentak,Netherlands,,GL/PvdA,Greens/EFA,,2 July 2019,
Mohammed Chahim,Netherlands,,GL/PvdA,S&D,,2 July 2019,
Tineke Strik,Netherlands,,GL/PvdA,Greens/EFA,,2 July 2019,
Lara Wolters,Netherlands,,GL/PvdA,S&D,,4 July 2019,
Catarina Cordeiro Vieira,Netherlands,,GL/PvdA,Greens/EFA,,16 July 2024,
Thijs Reuten,Netherlands,,GL/PvdA,S&D,,15 April 2021,
Sebastiaan Stöteler,Netherlands,,PVV,Patriots for Europe,,16 July 2024,11 November 2025
Marieke Ehlers,Netherlands,,PVV,Patriots for Europe,,16 July 2024,
Auke Zijlstra,Netherlands,,PVV,Patriots for Europe,,16 July 2024[x],
Sebastian Kruis,Netherlands,,PVV,Patriots for Europe,,16 July 2024,
Rachel Blom,Netherlands,,PVV,Patriots for Europe,,16 July 2024,
Ton Diepeveen,Netherlands,,PVV,Patriots for Europe,,16 July 2024,
Mieke Andriese,Netherlands,,PVV,Patriots for Europe,,20 November 2025,
Malik Azmani,Netherlands,,VVD,Renew Europe,,2 July 2019,
Bart Groothuis,Netherlands,,VVD,Renew Europe,,1 February 2020,
Jeannette Baljeu,Netherlands,,VVD,Renew Europe,,16 July 2024,
Anouk van Brug,Netherlands,,VVD,Renew Europe,,16 July 2024,
Tom Berendsen,Netherlands,,CDA,EPP,,2 July 2019,22 February 2026
Willemien Koning,Netherlands,,CDA,EPP,,3 March 2026,
Ingeborg ter Laak,Netherlands,,CDA,EPP,,16 July 2024,
Jeroen Lenaers,Netherlands,,CDA,EPP,,1 July 2014,
Gerben-Jan Gerbrandy,Netherlands,,D66,Renew Europe,,16 July 2024[y],
Raquel García Hermida,Netherlands,,D66,Renew Europe,,16 July 2024,
Brigitte van den Berg,Netherlands,,D66,Renew Europe,,16 July 2024,
Sander Smit,Netherlands,,BBB,EPP,,16 July 2024,
Jessika van Leeuwen,Netherlands,,BBB,EPP,,16 July 2024,
Reinier van Lanschot,Netherlands,,Volt,Greens/EFA,,16 July 2024,
Anna Strolenberg,Netherlands,,Volt,Greens/EFA,,16 July 2024,
Anja Hazekamp,Netherlands,,PvdD,The Left,,1 July 2014,
Dirk Gotink,Netherlands,,NSC,EPP,,16 July 2024,
Bert-Jan Ruissen,Netherlands,,SGP,ECR,,2 July 2019,
Magdalena Adamowicz,Poland,Pomeranian,KO,EPP,,2 July 2019,
Janusz Lewandowski,Poland,Pomeranian,KO,EPP,,1 July 2014,
Krzysztof Brejza,Poland,Kuyavian–Pomeranian,KO,EPP,,3 January 2024,
Jacek Protas,Poland,Podlaskie & Warmian-Masurian,KO,EPP,,16 July 2024,
Kamila Gasiuk-Pihowicz,Poland,Warsaw,KO,EPP,,16 July 2024,
Michał Szczerba,Poland,Warsaw,KO,EPP,,16 July 2024,
Hanna Gronkiewicz-Waltz,Poland,Warsaw,KO,EPP,,10 October 2024,
Andrzej Halicki,Poland,Masovian,KO,EPP,,2 July 2019,
Dariusz Joński,Poland,Łódź,KO,EPP,,16 July 2024,
Ewa Kopacz,Poland,Greater Poland,KO,EPP,,2 July 2019,
Michał Wawrykiewicz,Poland,Greater Poland,KO,EPP,,16 July 2024,
Marta Wcisło,Poland,Lublin,KO,EPP,,16 July 2024,
Elżbieta Łukacijewska,Poland,Subcarpathian,KO,EPP,,14 July 2009,
Bartłomiej Sienkiewicz,Poland,Lesser Poland & Świętokrzyskie,KO,EPP,,16 July 2024,
Jagna Marczułajtis,Poland,Lesser Poland & Świętokrzyskie,KO,EPP,,16 July 2024,
Borys Budka,Poland,Silesian,KO,EPP,,16 July 2024,
Łukasz Kohut,Poland,Silesian,KO,EPP,,2 July 2019,
Mirosława Nykiel,Poland,Silesian,KO,EPP,,16 July 2024,
Bogdan Zdrojewski,Poland,Lower Silesian and Opole,KO,EPP,,16 July 2024[z],
Andrzej Buła,Poland,Lower Silesian and Opole,KO,EPP,,16 July 2024,
Bartosz Arłukowicz,Poland,Lubusz and West Pomeranian,KO,EPP,,16 July 2024[aa],
Piotr Müller,Poland,Pomeranian,PiS,ECR,,16 July 2024,
Kosma Złotowski,Poland,Kuyavian–Pomeranian,PiS,ECR,,1 July 2014,
Maciej Wąsik,Poland,Podlaskie & Warmian-Masurian,PiS,ECR,,16 July 2024,
Małgorzata Gosiewska,Poland,Warsaw,PiS,ECR,,16 July 2024,
Tobiasz Bocheński,Poland,Warsaw,PiS,ECR,,16 July 2024,
Adam Bielan,Poland,Masovian,PiS,ECR,,2 July 2019[ab],
Jacek Ozdoba,Poland,Masovian,PiS,ECR,,16 July 2024,
Waldemar Buda,Poland,Łódź,PiS,ECR,,16 July 2024,
Marlena Maląg,Poland,Greater Poland,PiS,ECR,,16 July 2024,
Mariusz Kamiński,Poland,Lublin,PiS,ECR,,16 July 2024,
Daniel Obajtek,Poland,Subcarpathian,PiS,ECR,,16 July 2024,
Bogdan Rzońca,Poland,Subcarpathian,PiS,ECR,,2 July 2019,
Beata Szydło,Poland,Lesser Poland & Świętokrzyskie,PiS,ECR,,2 July 2019,
Dominik Tarczyński,Poland,Lesser Poland & Świętokrzyskie,PiS,ECR,,1 February 2020,
Arkadiusz Mularczyk,Poland,Lesser Poland & Świętokrzyskie,PiS,ECR,,16 July 2024,
Patryk Jaki,Poland,Silesian,PiS,ECR,,2 July 2019,
Jadwiga Wiśniewska,Poland,Silesian,PiS,ECR,,1 July 2014,
Michał Dworczyk,Poland,Lower Silesian and Opole,PiS,ECR,,16 July 2024,
Anna Zalewska,Poland,Lower Silesian and Opole,PiS,ECR,,2 July 2019,
Joachim Brudziński,Poland,Lubusz and West Pomeranian,PiS,ECR,,2 July 2019,
Ewa Zajączkowska-Hernik,Poland,Warsaw,KWiN,Europe of Sovereign Nations,,16 July 2024,
Anna Bryłka,Poland,Greater Poland,KWiN,Non-Inscrits,,16 July 2024,
Tomasz Buczek,Poland,Subcarpathian,KWiN,Non-Inscrits,,16 July 2024,
Grzegorz Braun,Poland,Lesser Poland & Świętokrzyskie,KWiN,Non-Inscrits,,16 July 2024,
Marcin Sypniewski,Poland,Silesian,KWiN,Europe of Sovereign Nations,,16 July 2024,
Stanisław Tyszka,Poland,Lower Silesian and Opole,KWiN,Europe of Sovereign Nations,,16 July 2024,
Michał Kobosko,Poland,Warsaw,TD,Renew Europe,,16 July 2024,
Krzysztof Hetman,Poland,Greater Poland,TD,EPP,,16 July 2024[ac],
Adam Jarubas,Poland,Lesser Poland & Świętokrzyskie,TD,EPP,,2 July 2019,
Robert Biedroń,Poland,Warsaw,Lewica,S&D,,2 July 2019,
Joanna Scheuring-Wielgus,Poland,Greater Poland,Lewica,S&D,,16 July 2024,
Krzysztof Śmiszek,Poland,Lower Silesian and Opole,Lewica,S&D,,16 July 2024,
Marta Temido,Portugal,,PS,S&D,,16 July 2024,
Francisco Assis,Portugal,,PS,S&D,,16 July 2024[ad],
Ana Catarina Mendes,Portugal,,PS,S&D,,16 July 2024,
Bruno Gonçalves,Portugal,,PS,S&D,,16 July 2024,
André Rodrigues,Portugal,,PS,S&D,,16 July 2024,
Carla Tavares,Portugal,,PS,S&D,,16 July 2024,
Isilda Gomes,Portugal,,PS,S&D,,16 July 2024,
Sérgio Gonçalves,Portugal,,PS,S&D,,16 July 2024,
Sebastião Bugalho,Portugal,,AD,EPP,,16 July 2024,
Paulo Cunha,Portugal,,AD,EPP,,16 July 2024,
Ana Miguel Pedro,Portugal,,AD,EPP,,16 July 2024,
Hélder Sousa Silva,Portugal,,AD,EPP,,16 July 2024,
Lídia Pereira,Portugal,,AD,EPP,,2 July 2019,
Sérgio Humberto,Portugal,,AD,EPP,,16 July 2024,
Paulo do Nascimento Cabral,Portugal,,AD,EPP,,16 July 2024,
António Tânger Corrêa,Portugal,,CH,Patriots for Europe,,16 July 2024,
Tiago Moreira de Sá,Portugal,,CH,Patriots for Europe,,16 July 2024,
João Cotrim de Figueiredo,Portugal,,IL,Renew Europe,,16 July 2024,
Ana Vasconcelos Martins,Portugal,,IL,Renew Europe,,16 July 2024,
Catarina Martins,Portugal,,BE,The Left,,16 July 2024,
João Oliveira,Portugal,,CDU,The Left,,16 July 2024,
Mihai Tudose,Romania,,PSD–PNL,S&D,,2 July 2019,
Rareș Bogdan,Romania,,PSD–PNL,EPP,,2 July 2019,
Gabriela Firea,Romania,,PSD–PNL,S&D,,16 July 2024,
Dan Motreanu,Romania,,PSD–PNL,EPP,,2 July 2019,
Claudiu Manda,Romania,,PSD–PNL,S&D,,2 July 2019,
Adina-Ioana Vălean,Romania,,PSD–PNL,EPP,,16 July 2024[ae],
Victor Negrescu,Romania,,PSD–PNL,S&D,,1 February 2020,
Vasile Dîncu,Romania,,PSD–PNL,S&D,,16 July 2024[af],
Daniel Buda,Romania,,PSD–PNL,EPP,,1 July 2014,
Maria Grapini,Romania,,PSD–PNL,S&D,,1 July 2014,
Gheorghe Cârciu,Romania,,PSD–PNL,S&D,,16 July 2024,
Siegfried Mureșan,Romania,,PSD–PNL,EPP,,1 July 2014,
Dragoș Benea,Romania,,PSD–PNL,S&D,,2 July 2019,
Mircea Hava,Romania,,PSD–PNL,EPP,,1 July 2014,
Dan Nica,Romania,,PSD–PNL,S&D,,1 July 2014,
Gheorghe Falcă,Romania,,PSD–PNL,EPP,,2 July 2019,
Ștefan Mușoiu,Romania,,PSD–PNL,S&D,,16 July 2024,
Roxana Mînzatu,Romania,,PSD–PNL,S&D,,16 July 2024,30 November 2024
Andi Cristea,Romania,,PSD–PNL,S&D,,2 December 2024[ag],
Virgil-Daniel Popescu,Romania,,PSD–PNL,EPP,,16 July 2024,
Cristian Terheș,Romania,,AUR+,ECR,,2 July 2019,
Claudiu Târziu,Romania,,AUR+,ECR,,16 July 2024,
Gheorghe Piperea,Romania,,AUR+,ECR,,16 July 2024,
Georgiana Teodorescu,Romania,,AUR+,ECR,,16 July 2024,
Adrian-George Axinia,Romania,,AUR+,ECR,,16 July 2024,
Șerban-Dimitrie Sturdza,Romania,,AUR+,ECR,,16 July 2024,
Dan Barna,Romania,,ADU,Renew Europe,,16 July 2024,
Vlad Voiculescu,Romania,,ADU,Renew Europe,,16 July 2024,
Eugen Tomac,Romania,,ADU,Renew Europe,,2 July 2019,
Iuliu Winkler,Romania,,UDMR,EPP,,10 December 2007,
Lóránt Vincze,Romania,,UDMR,EPP,,2 July 2019,
Diana Șoșoacă,Romania,,SOS RO,Non-Inscrits,,16 July 2024,
Luis Lazarus,Romania,,SOS RO,Non-Inscrits,,16 July 2024,
Nicolae Ștefănuță,Romania,,IND,Greens/EFA,,2 July 2019,
Ľudovít Ódor,Slovakia,,PS,Renew Europe,,16 July 2024,
Ľubica Karvašová,Slovakia,,PS,Renew Europe,,16 July 2024,
Martin Hojsík,Slovakia,,PS,Renew Europe,,2 July 2019,
Veronika Cifrová Ostrihoňová,Slovakia,,PS,Renew Europe,,16 July 2024,
Michal Wiezik,Slovakia,,PS,Renew Europe,,2 July 2019,
Lucia Yar,Slovakia,,PS,Renew Europe,,16 July 2024,
Monika Beňová,Slovakia,,Smer,Non-Inscrits,,20 July 2004,
Ľuboš Blaha,Slovakia,,Smer,Non-Inscrits,,16 July 2024,
Erik Kaliňák,Slovakia,,Smer,Non-Inscrits,,16 July 2024,
Judita Laššáková,Slovakia,,Smer,Non-Inscrits,,16 July 2024,
Katarína Roth Neveďalová,Slovakia,,Smer,Non-Inscrits,,30 December 2022,
Milan Uhrík,Slovakia,,REP,Europe of Sovereign Nations,,2 July 2019,
Milan Mazurek,Slovakia,,REP,Non-Inscrits,,16 July 2024,
Branislav Ondruš,Slovakia,,Hlas,Non-Inscrits,,16 July 2024,
Miriam Lexmann,Slovakia,,KDH,EPP,,1 February 2020,
Romana Tomc,Slovenia,,SDS,EPP,,1 July 2014,
Zala Tomašič,Slovenia,,SDS,EPP,,16 July 2024,
Milan Zver,Slovenia,,SDS,EPP,,14 July 2009,
Branko Grims,Slovenia,,SDS,EPP,,16 July 2024,
Irena Joveva,Slovenia,,GS,Renew Europe,,2 July 2019,
Marjan Šarec,Slovenia,,GS,Renew Europe,,16 July 2024,
Vladimir Prebilič,Slovenia,,Vesna,Greens/EFA,,16 July 2024,
Matjaž Nemec,Slovenia,,SD,S&D,,18 May 2022,
Matej Tonin,Slovenia,,NSi,EPP,,16 July 2024,
Dolors Montserrat,Spain,,PP,EPP,,2 July 2019,
Carmen Crespo,Spain,,PP,EPP,,16 July 2024,
Alma Ezcurra,Spain,,PP,EPP,,16 July 2024,
Esteban González Pons,Spain,,PP,EPP,,16 July 2024[ah],
Fernando Navarrete,Spain,,PP,EPP,,16 July 2024,
Javier Zarzalejos,Spain,,PP,EPP,,2 July 2019,
Rosa Estaràs,Spain,,PP,EPP,,14 July 2009,
Francisco Millán Mon,Spain,,PP,EPP,,20 July 2004,
Pilar del Castillo,Spain,,PP,EPP,,20 July 2004,
Adrián Vázquez Lázara,Spain,,PP,EPP,,1 February 2020,
Gabriel Mato,Spain,,PP,EPP,,14 July 2009,
Raúl de la Hoz Quintano,Spain,,PP,EPP,,16 July 2024,
Esther Herranz García,Spain,,PP,EPP,,16 July 2024[ai],
Juan Ignacio Zoido,Spain,,PP,EPP,,2 July 2019,
Susana Solís Pérez,Spain,,PP,EPP,,2 July 2019,
Pablo Arias Echeverría,Spain,,PP,EPP,,2 July 2019[aj],
Antonio López-Istúriz,Spain,,PP,EPP,,20 July 2004,
Isabel Benjumea,Spain,,PP,EPP,,2 July 2019,
Borja Giménez Larraz,Spain,,PP,EPP,,16 July 2024,
Elena Nevado,Spain,,PP,EPP,,16 July 2024,
Nicolás Pascual de la Parte,Spain,,PP,EPP,,16 July 2024,
Maravillas Abadía Jover,Spain,,PP,EPP,,16 July 2024,
Iratxe García,Spain,,PSOE,S&D,,20 July 2004,
Javi López Fernández,Spain,,PSOE,S&D,,1 July 2014,
Hana Jalloul,Spain,,PSOE,S&D,,16 July 2024,
Javier Moreno,Spain,,PSOE,S&D,,2 July 2019,
Lina Gálvez,Spain,,PSOE,S&D,,2 July 2019,
Jonás Fernández,Spain,,PSOE,S&D,,1 July 2014,
Leire Pajín,Spain,,PSOE,S&D,,16 July 2024,
César Luena,Spain,,PSOE,S&D,,2 July 2019,
Idoia Mendia,Spain,,PSOE,S&D,,16 July 2024,
Nicolás González Casares,Spain,,PSOE,S&D,,2 July 2019,
Cristina Maestre,Spain,,PSOE,S&D,,2 July 2019,
Juan Fernando López,Spain,,PSOE,S&D,,14 July 2009,
Sandra Gómez,Spain,,PSOE,S&D,,16 July 2024,
Nacho Sánchez Amor,Spain,,PSOE,S&D,,2 July 2019,
Laura Ballarin,Spain,,PSOE,S&D,,6 September 2023,
Marcos Ros,Spain,,PSOE,S&D,,2 July 2019,
Rosa María Serrano Sierra,Spain,,PSOE,S&D,,16 July 2024,
Elena Sancho,Spain,,PSOE,S&D,,16 July 2024,
José Cepeda,Spain,,PSOE,S&D,,16 July 2024,
Alicia Homs Ginel,Spain,,PSOE,S&D,,2 July 2019,
Jorge Buxadé,Spain,,Vox,Patriots for Europe,,2 July 2019,
Hermann Tertsch,Spain,,Vox,Patriots for Europe,,2 July 2019,
Juan Carlos Girauta,Spain,,Vox,Patriots for Europe,,16 July 2024[ak],
Mireia Borrás,Spain,,Vox,Patriots for Europe,,16 July 2024,
Margarita de la Pisa Carrión,Spain,,Vox,Patriots for Europe,,1 February 2020,
Jorge Martín Frías,Spain,,Vox,Patriots for Europe,,16 July 2024,
Diana Riba,Spain,,AR,Greens/EFA,,2 July 2019,
Pernando Barrena,Spain,,AR,The Left,,16 July 2024[al],
Ana Miranda Paz,Spain,,AR,Greens/EFA,,5 September 2022[am],
Estrella Galán,Spain,,Sumar,The Left,,16 July 2024,
Jaume Asens,Spain,,Sumar,Greens/EFA,,16 July 2024,
Vicent Marzà,Spain,,Sumar,Greens/EFA,,16 July 2024,
Alvise Pérez,Spain,,SALF,Non-Inscrits,,16 July 2024,
Diego Solier,Spain,,SALF,Non-Inscrits,,16 July 2024,
Nora Junco,Spain,,SALF,Non-Inscrits,,16 July 2024,
Irene Montero,Spain,,Podemos,The Left,,16 July 2024,
Isabel Serra,Spain,,Podemos,The Left,,16 July 2024,
Toni Comín,Spain,,Junts+,Non-Inscrits,,2 July 2019,
Oihane Agirregoitia,Spain,,CEUS,Renew Europe,,16 July 2024,
Heléne Fritzon,Sweden,,SAP,S&D,,2 July 2019,
Johan Danielsson,Sweden,,SAP,S&D,,16 July 2024[an],
Evin Incir,Sweden,,SAP,S&D,,2 July 2019,
Adnan Dibrani,Sweden,,SAP,S&D,,16 July 2024,
Sofie Eriksson,Sweden,,SAP,S&D,,16 July 2024,
Tomas Tobé,Sweden,,M,EPP,,2 July 2019,
Jessica Polfjärd,Sweden,,M,EPP,,2 July 2019,
Jörgen Warborn,Sweden,,M,EPP,,2 July 2019,
Arba Kokalari,Sweden,,M,EPP,,2 July 2019,
Alice Bah Kuhnke,Sweden,,MP,Greens/EFA,,2 July 2019,
Pär Holmgren,Sweden,,MP,Greens/EFA,,2 July 2019,
Isabella Lövin,Sweden,,MP,Greens/EFA,,16 July 2024[ao],
Charlie Weimers,Sweden,,SD,ECR,,2 July 2019,
Beatrice Timgren,Sweden,,SD,ECR,,16 July 2024,
Dick Erixon,Sweden,,SD,ECR,,16 July 2024,
Jonas Sjöstedt,Sweden,,V,The Left,,16 July 2024[ap],
Hanna Gedin,Sweden,,V,The Left,,16 July 2024,
Emma Wiesner,Sweden,,C,Renew Europe,,4 February 2021,
Abir Al-Sahlani,Sweden,,C,Renew Europe,,2 July 2019,
Alice Teodorescu Måwe,Sweden,,KD,EPP,,16 July 2024,
Karin Karlsbro,Sweden,,L,Renew Europe,,2 July 2019,
