Name,Country,Role,Court,wikidata_id,name,birth_date,birth_place,nationality,education,occupations,employers,party_history,positions_held,page_memberships
Lars Bay Larsen,Denmark,Judge,CJ,Q48093389,Lars Bay Larsen,1953-06-08,Gladsaxe,Kingdom of Denmark,University of Copenhagen,judge || jurist || political scientist || university teacher,University of Copenhagen || European Court of Justice,,vice president || Judge of the European Court of Justice,
Marko Ilešič,Slovenia,Judge,CJ,Q26924362,Marko Ilešič,1947-11-29,Ljubljana,Slovenia,University of Ljubljana,judge || lawyer || university teacher || sports executive,,,Judge of the European Court of Justice,
Jiří Passer,Czechia,Judge,CJ,Q105570433,Jiří Passer,1922-01-07,,,,,,,,
Lyudmila Grigorova,Bulgaria,Judge,CJ,,,,,,,,,,,
Siniša Rodin,Croatia,Judge,CJ,Q85848376,Siniša Rodin,1963-01-01,,,,jurist || university teacher,,,Judge of the European Court of Justice,
Ingunn Ikdahl,Norway/EEA,Judge,CJ,Q46026461,Ingunn Ikdahl,1976-10-07,,Norway,University of Oslo,law professor,University of Oslo Faculty of Law,,,
Eugene Regan,Ireland,Judge,CJ,Q5407677,Eugene Regan,1955-06-12,Dalkey,Ireland,University College Dublin,judge || politician || barrister,,Fine Gael,senator of Ireland || Judge of the European Court of Justice,"Bencher of the Honorable Society of King’s Inns, Dublin (Ireland) | Director of the Irish Centre for European Law, Dublin (Ireland) | Nuno José Cardoso da Silva Piçarra | Biography and career | Born in 1957 in Sintra (Portugal), Mr&#xa0;Nuno Piçarra studied law at the Universidade de Lisboa (University of Lisbon, Portugal) from which he graduated in 1980 and where he obtained Master of Laws in 1986. He later wrote a thesis at the Faculty of Law at the Universidade Nova de Lisboa (New University of Lisbon, Portugal) where he obtained, in 2003, a doctorate in law. | In the course of his academic career, he was firstly a lecturer in law at the Faculty of Law at the Universidade de Lisboa between 1981 and 1986, and then a visiting professor at the Institute of European Studies of the Universität des Saarlandes (Saarland University, Germany) from 1987 to 1996. At the Universidade Nova de Lisboa, he was an assistant professor of law from 2003 to 2008 and an associate professor of law from 2008 to 2018. He also taught as a visiting professor at the Universidad Pontificia Comillas (Comillas Pontifical University, Spain) from 2014 to 2018. His commitment to scientific research is reflected by his numerous publications in the fields of constitutional law and EU law, particularly on the area of freedom, security and justice; on the free movement of persons; and on institutional law. | Mr&#xa0;Piçarra joined the Court of Justice for the first time in 1986. He worked as a lawyer-linguist until 1987 and then as a lawyer-reviser from 1987 to 1990. He became a legal secretary in 1990 when he joined the Court of First Instance in the cabinet of President José Luís da Cruz Vilaça, with whom he worked until 1995, before joining the cabinet of Judge Rui Manuel Gens de Moura Ramos until 1996. | From 1996 to 1999, the government of his home country entrusted him"
Andreas Kumin,Austria,Judge,CJ,Q59140719,Andreas Kumin,1965-07-13,Graz,Austria,University of Graz,judge || legal scholar,University of Graz,,Judge of the European Court of Justice,"Regular participation, at the invitation of the Austrian Ministry of Foreign Affairs, in the sessions of the ‘Beirat für Europarecht’ (informal advisory committee on European law) | Honorary Professor of European law of Karl-Franzens-Universität Graz (2020) | Biography and career | Born in 1958 in Mikkeli (Finland), Mr&#xa0;Niilo Jääskinen obtained a law degree in 1980 and then, in 1982, a postgraduate law degree from the Helsingin yliopisto (University of Helsinki, Finland). In 2008, he was awarded his doctoral thesis in law at the same university. His interest in teaching became apparent very early; he became a lecturer in law at the Helsingin yliopisto in 1980, a position which he held until 1986. | In 1983, he served as a legal secretary and acting judge at the Rovaniemen kihlakunnanoikeus (District Court, Rovaniemi, Finland) for one year. He was a legal adviser at the Finnish Ministry of Justice from 1987 to 1989 where he subsequently became head of the European Law Section from 1990 to 1995. At the same time, he was a legal adviser at the Finnish Ministry of Foreign Affairs between 1989 and 1990. As the person responsible for legal and institutional questions, he took part in the negotiations for the accession of the Republic of Finland to the European Union. From 1995 to 2000, he held the positions of an advisor and a clerk for European affairs of the Grand Committee of the Finnish Parliament. | Having been called to the service of the Finnish judiciary, Mr&#xa0;Jääskinen performed the duties of an acting judge at the Korkein hallinto-oikeus (Supreme Administrative Court, Finland) from 2000 to 2002 where he was a judge from 2003 to 2009. | He joined the Court of Justice as Advocate General on 7&#xa0;October 2009, a position which he held until 7&#xa0;October 2015. Upon return to his home"
Piotr Polak,Poland,Judge,CJ,Q11817962,Piotr Polak,1961-01-20,"Grabinka, Gmina Zadzim",Poland,University of Life Sciences in Poznań,politician || farmer,,Law and Justice,member of the Sejm,
Lela Meano,Greece,Judge,CJ,,,,,,,,,,,
