Name,Country,Constituency,National_Party,EP_Group,wikidata_id,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Catherine Griset,France,,RN,Patriots for Europe,Q64031647,2024-07-16,1972-08-20,Boulogne-sur-Mer,,lawyer || politician,,National Rally,,
Gilles Pennelle,France,,RN,Patriots for Europe,Q46489779,2024-07-16,1962-07-20,Dieppe,University of Rouen-Normandy,politician || permanent politician || cadres de la fonction publique,Gilles Lebreton,National Rally || National Republican Movement || Party of New Forces || Land and People || Front national,,director general (2023-01-01 to 2024-01-01) || Regional council member of Brittany (from 2015-12-13) || Q66501334 (2017-01-01 to 2020-01-01) || Q65485164 (2014-01-01 to 2020-01-01)
Virginie Joron,France,,RN,Patriots for Europe,Q60604481,2024-07-16,1973-12-11,Troyes,University of Nice Sophia Antipolis,lawyer || politician || jurist || cadre || ingénieurs et cadres techniques d'entreprise || anciens cadres,,National Rally,,regional councillor of Grand Est (2016-01-01 to 2021-01-01)
Julien Sanchez,France,,RN,Patriots for Europe,Q28598564,2024-07-16,1983-10-19,Argenteuil,University of Montpellier,politician || permanent politician || miscellaneous persons without work under 60 excluding retirees,,National Rally,,councillor of Nîmes (from 2026-01-01) || Q66499779 (from 2014-03-30) || Q65474421 (2014-03-30 to 2020-05-17) || Regional councillor of Occitanie (from 2016-01-01) || Q65474421 (from 2020-05-18) || Mayor of Beaucaire (2014-04-05 to 2020-05-25) || Mayor of Beaucaire (2020-05-26 to 2024-07-29)
Julie Rechagneux,France,,RN,Patriots for Europe,Q125735465,2024-07-16,1996-01-24,Clermont-Ferrand,,politician || Q97767922 || corporate administrative and commercial executive,,,,Q65495242 (from 2020-01-01)
Aleksandar Nikolic,France,,RN,Patriots for Europe,Q107316188,2024-07-16,1986-10-04,La Garenne-Colombes,,politician || Q97767950,,National Rally,,
Valérie Deloge,France,,RN,Patriots for Europe,Q125759309,2024-07-16,1966-05-09,Fontenay-aux-Roses,,politician || Q97768140,,,,
Rody Tolassy,France,,RN,Patriots for Europe,Q111796425,2024-07-16,1987-09-21,Pointe-à-Pitre,,politician || professions libérales et assimilés,,National Rally,,
Marie Dauchy,France,,RN,Patriots for Europe,Q62887824,2024-07-16,1987-02-05,Calais,,politician || employee || Q97767950 || Q97768317,,National Rally,,Q65519844 (from 2020-06-01) || Q66499883 (from 2020-01-01) || regional councillor of Auvergne-Rhône-Alpes (2021-06-01 to 2022-01-01) || regional councillor of Auvergne-Rhône-Alpes (2016-01-01 to 2021-06-01)
Pierre-Romain Thionnet,France,,RN,Patriots for Europe,Q110213949,2024-07-16,1994-01-19,Pontarlier,,politician || intermediate administrative professions of the public service,,National Rally,,legislative assistant (2019-01-01 to 2022-01-01) || director (from 2022-11-01) || member of the regional council of Île-de-France || general secretary (2010-01-01 to 2022-01-01)
Pierre Pimpie,France,,RN,Patriots for Europe,Q125759280,2024-07-16,1971-09-10,Hyères,,politician,,,,
Sylvie Josserand,France,,RN,Patriots for Europe,Q61861497,2024-07-16,1968-08-23,Mâcon,,politician || professions libérales et assimilés,University of Nîmes,,,councillor of Nîmes (from 2026-01-01) || member of the French National Assembly (from 2024-07-08)
Julien Leonardelli,France,,RN,Patriots for Europe,Q63411713,2024-07-16,1987-07-14,Lavelanet,,politician || employé de commerce || cadres de la fonction publique,,,,Regional councillor of Occitanie (from 2016-01-01)
Angéline Furet,France,,RN,Patriots for Europe,Q125759249,2024-07-16,1981-07-24,Le Mans,,politician || professions libérales et assimilés,,,,
Gaëtan Dussausaye,France,,RN,Patriots for Europe,Q30729075,2024-07-16,1994-04-05,Brétigny-sur-Orge,University of Paris 1 Pantheon-Sorbonne,politician || commerçants et assimilés || employé de commerce,,National Rally,,director (2014-10-08 to 2018-03-12) || member of the French National Assembly (from 2024-07-08)
France Jamet,France,,RN,Patriots for Europe,Q5478286,2024-07-16,1961-02-05,Paris,,politician || permanent politician || Q97768463,,National Rally || Front national,,legislative assistant (2014-01-01 to 2017-01-01) || Regional councillor of Occitanie (from 2016-01-01)
André Rougé,France,,RN,Patriots for Europe,Q47485256,2024-07-16,1961-12-23,Paris,,politician || anciens cadres,,National Rally,,
Christophe Bay,France,,RN,Patriots for Europe,Q47485286,2024-09-27,1962-09-06,Vincennes,École nationale d'administration || Sciences Po,politician || official || cadres de la fonction publique,,National Rally,Knight of the Legion of Honour || Knight of the National Order of Merit,General secretary of prefecture of Indre (1993-01-01 to 1994-01-01) || General secretary of prefecture of Vosges (1998-01-01 to 2000-01-01) || Prefect of Dordogne (2014-01-01 to 2016-01-01) || General secretary of prefecture of Rhône (2004-01-01 to 2008-01-01) || Prefect of Aube (2011-03-31 to 2014-11-12)
Séverine Werbrouck,France,,RN,Patriots for Europe,Q63348949,2024-09-27,1970-10-31,Pau,,politician || commerçants et assimilés,,,,regional councilor of Nouvelle-Aquitaine (from 2016-01-01)
Valérie Hayer,France,,BdE,Renew Europe,Q63764512,2024-07-16,1986-04-06,Mayenne,,politician,,Union of Democrats and Independents || Renaissance,,Q65518849 (2008-03-01 to 2019-07-01) || president of Renew Europe (2024-01-25 to 2024-07-15) || member of the departmental council of Mayenne (from 2015-04-02)
Bernard Guetta,France,,BdE,Renew Europe,Q2898005,2024-07-16,1951-01-28,Boulogne-Billancourt,Centre de formation des journalistes,writer || politician || journalist,Le Monde || France Inter || L'Express || Le Nouvel Obs,Revolutionary Communist League,Albert Londres Prize,
Marie-Pierre Vedrenne,France,,BdE,Renew Europe,Q63965965,2024-07-16,1982-12-13,Limoges,University of Rennes 1 || University of Limoges,politician || jurist,,Renaissance,,
Pascal Canfin,France,,BdE,Renew Europe,Q929393,2024-07-16,1974-08-22,Arras,Newcastle University || Institut d'études politiques de Bordeaux,politician || university teacher || journalist,University of Paris 1 Pantheon-Sorbonne,The Ecologists – Europe Écologie Les Verts || The Greens || Renaissance,Knight of the National Order of Merit,professeur des universités
Nathalie Loiseau,France,,BdE,Renew Europe,Q16666184,2024-07-16,1964-06-01,Neuilly-sur-Seine,Sciences Po || Institut national des langues et civilisations orientales || Lycée Carnot,politician || diplomat,European Council on Foreign Relations,Renaissance,Knight of the Legion of Honour || Officer of the National Order of Merit || commander of the Order of the Dannebrog,Minister of European Affairs of France (2017-06-21 to 2019-03-27) || director (2012-10-03 to 2017-06-21)
Sandro Gozi,France,,BdE,Renew Europe,Q3948237,2024-07-16,1968-03-25,Sogliano al Rubicone,University of Bologna || Université libre de Bruxelles || Sciences Po || Free University of Brussels,politician,,Democratic Party,Legion of Honour,member of the Chamber of Deputies of the Italian Republic (2013-03-05 to 2018-03-22) || member of the Chamber of Deputies of the Italian Republic (2006-04-28 to 2008-04-28) || Representative of the Parliamentary Assembly of the Council of Europe (2013-06-28 to 2015-09-27) || member of the Chamber of Deputies of the Italian Republic (2008-04-22 to 2013-03-14)
Fabienne Keller,France,,BdE,Renew Europe,Q440151,2024-07-16,1959-10-20,Sélestat,"University of California, Berkeley || École polytechnique || Lycée Kléber || French National School of Forestry",politician || banker,,Union for a Popular Movement || Union for French Democracy,,conseiller général du Bas-Rhin (1992-01-01 to 2001-01-01) || community councillor of Eurométropole de Strasbourg (from 2014-03-30) || municipal councillor of Strasbourg || Mayor of Strasbourg (2001-03-19 to 2008-03-16) || Senator of the French Fifth Republic (2005-01-01 to 2019-01-01)
Grégory Allione,France,,BdE,Renew Europe,Q125789969,2024-07-16,1971-07-25,Toulon,,politician || firefighter,,,,president || president
Laurence Farreng,France,,BdE,Renew Europe,Q64038074,2024-07-16,1966-09-06,Nîmes,,politician,,Democratic Movement,,
Gilles Boyer,France,,BdE,Renew Europe,Q21634444,2024-07-16,1971-07-04,Paris,Paris Nanterre University,writer || politician,,The Republicans,,
Valérie Devaux,France,,BdE,Renew Europe,Q126485346,2024-07-16,1964-06-19,Amiens,,politician,,,,
Christophe Grudler,France,,BdE,Renew Europe,Q21156576,2024-07-16,1965-04-09,Belfort,University of Strasbourg,politician || journalist,,Democratic Movement || Rally for the Republic,,member of the departmental council of Territoire de Belfort (from 2015-04-02) || member of the general council (1998-01-01 to 2015-01-01)
Stéphanie Yon-Courtin,France,,BdE,Renew Europe,Q63766124,2024-07-16,1974-03-28,Coutances,University of Bristol,lawyer || politician || legal counselor,,The Republicans,,Mayor of Saint-Contest (2014-04-04 to 2019-06-28) || Q65518764 (2014-03-30 to 2020-05-17) || member of the departmental council of Calvados (from 2015-04-02)
Jérémy Decerle,France,,BdE,Renew Europe,Q63975557,2025-10-12,1984-07-01,Saint-Rémy,,politician || husbandry worker || trade unionist,,,,president (2016-06-02 to 2019-03-26)
Raphaël Glucksmann,France,,PS–PP,S&D,Q556149,2024-07-16,1979-10-15,Boulogne-Billancourt,Sciences Po || Lycée Henri-IV || Lycée Lamartine,politician || documentalist || political scientist || journalist || non-fiction writer,,Place publique,Presidential Order of Excellence || Chevalier des Arts et des Lettres,adviser (from 2005-01-01)
Nora Mebarek,France,,PS–PP,S&D,Q64035116,2024-07-16,1972-07-22,Port-Saint-Louis-du-Rhône,,politician,,Socialist Party,,
Pierre Jouvet,France,,PS–PP,S&D,Q63766630,2024-07-16,1986-10-06,Valence,Lumière University Lyon 2,politician || cadres de la fonction publique || miscellaneous persons without work under 60 excluding retirees,,Socialist Party,,Q65522232 (2014-03-23 to 2020-05-17) || Q66501176 (from 2014-03-23) || member of the departmental council of Drôme (from 2015-04-02) || Mayor of Saint-Vallier (2020-05-23 to 2024-06-14) || Q65522232 (from 2020-05-18)
Aurore Lalucq,France,,PS–PP,S&D,Q56320702,2024-07-16,1979-04-17,Longjumeau,University of Paris 1 Pantheon-Sorbonne || Paris Dauphine University,politician || economist,Charles Léopold Mayer Foundation for the Progress of Humankind,Génération.s || Place publique,,director (2010-01-01 to 2019-01-01)
Christophe Clergeau,France,,PS–PP,S&D,Q63455931,2024-07-16,1968-09-01,Nantes,Nantes University || Sciences Po || University of Paris 1 Pantheon-Sorbonne || Lycée Gabriel Guist'hau,politician || university teacher || business executive,Nantes University,Socialist Party,,Regional councillor of Pays de la Loire (from 2015-12-13) || Regional councillor of Pays de la Loire (from 2004-01-01)
Murielle Laurent,France,,PS–PP,S&D,Q65587999,2024-07-16,1977-09-21,Joigny,,politician || employee || corporate administrative and commercial executive,,,,Q65484627 (2014-03-23 to 2020-05-17) || Metropolitan councillor of Lyon (from 2014-03-23) || Q65484627 (from 2020-05-18) || Mayor of Feyzin (2017-07-08 to 2020-05-17) || Mayor of Feyzin (2020-05-18 to 2024-06-30)
Jean-Marc Germain,France,,PS–PP,S&D,Q3167390,2024-07-16,1966-06-12,Lyon,École polytechnique,politician || official,,Socialist Party,,member of the French National Assembly (2012-06-20 to 2017-06-20) || member of the regional council of Île-de-France (from 2021-07-02)
Emma Rafowicz,France,,PS–PP,S&D,Q108308348,2024-07-16,1995-06-24,Paris,Paris-Sorbonne University - Paris IV || CELSA Paris || lycée Galilée,politician || communications manager || activist,,Socialist Party,,municipal arrondissement councillor (from 2020-01-01) || mayor's adjunct (from 2020-01-01)
Thomas Pellerin-Carlin,France,,PS–PP,S&D,Q126373085,2024-07-16,1989-11-05,Caen,College of Europe || Coëtquidan || Q3151958 || École supérieure des officiers de réserve spécialistes d'état-major,politician,Sciences Po || College of Europe || Jacques Delors Institute || I4CE – Institute for Climate Economics,Place publique,,
Chloé Ridel,France,,PS–PP,S&D,,,,,,,,,,
Éric Sargiacomo,France,,PS–PP,S&D,Q126472964,2024-07-16,1969-10-31,Q460787,University of Bordeaux 1 || University of Pau and Pays de l'Adour || Q125840844,politician || jurist,,Socialist Party,,regional councilor of Nouvelle-Aquitaine (from 2021-06-27) || lecturer (1994-01-01 to 1996-01-01)
Claire Fita,France,,PS–PP,S&D,Q63411774,2024-07-16,1976-12-31,Toulouse,,politician || Q63755358,,,,Regional councillor of Occitanie (from 2016-01-01)
François Kalfon,France,,PS–PP,S&D,Q16637124,2024-07-16,1968-06-11,Sarcelles,,politician || top official,,Socialist Party,,Q66501392 (from 2014-03-30) || Q65498850 || member of the regional council of Île-de-France (from 2015-12-13)
Manon Aubry,France,,LFI,The Left,Q59601214,2024-07-16,1989-12-22,Fréjus,Columbia University || University of Sydney || Sciences Po,politician || social activist || swimmer || humanitarian,,La France insoumise,,president (from 2019-07-18)
Younous Omarjee,France,,LFI,The Left,Q2542770,2024-07-16,1969-09-30,Saint-Denis,public international law,politician,,Reunionese Communist Party || La France insoumise,,Q65548686 (from 2019-01-01)
Marina Mesure,France,,LFI,The Left,Q112652864,2024-07-16,1989-07-12,Marseille,,politician || cadres de la fonction publique,,,,
Anthony Smith,France,,LFI,The Left,Q126477204,2024-07-16,1975-04-03,Soissons,,politician || cadres de la fonction publique,,,,
Leïla Chaibi,France,,LFI,The Left,Q28549362,2024-07-16,1982-10-05,Dijon,Institut d'études politiques de Toulouse,politician,,Parti de gauche || New Anti-Capitalist Party || La France insoumise,,
Arash Saeidi,France,,LFI,The Left,Q126372940,2024-07-16,1975-05-25,Tehran,,politician || business executive || Q97767869,,,,
Rima Hassan,France,,LFI,The Left,Q123232131,2024-07-16,1992-04-28,Al-Nayrab Camp,University of Montpellier || University of Paris 1 Pantheon-Sorbonne || University of Évry Val d'Essonne || Q125841538,politician || jurist || human rights defender || political activist,National court for asylum right || OFPRA,La France insoumise,,president (from 2019-01-01) || founder (from 2019-01-01)
Damien Carême,France,,LFI,The Left,Q37793165,2024-07-16,1960-11-16,Jœuf,,politician,,Socialist Party || The Ecologists – Europe Écologie Les Verts,,Q66501312 (from 2014-03-23) || Q65488374 (2014-03-23 to 2020-05-17) || Mayor of Grande-Synthe (2014-03-23 to 2019-07-03)
Emma Fourreau,France,,LFI,The Left,Q126372922,2024-07-16,1999-10-01,Pontault-Combault,,politician || cadres de la fonction publique || student,,La France insoumise,,
François-Xavier Bellamy,France,,LR,EPP,Q15724624,2024-07-16,1985-10-11,Paris,École Normale Supérieure || Paris-Sorbonne University - Paris IV || Lycée Henri-IV,politician || essayist,Lycée privé Notre-Dame-du-Grandchamp || Lycée privé Sainte-Geneviève || lycée Auguste-Renoir || Lycée Blomet,The Republicans,Henry Malherbe Prize,mayor's adjunct (from 2008-01-01) || Q66499704 (from 2016-01-01) || municipal councillor of Versailles
Céline Imart,France,,LR,EPP,Q124620577,2024-07-16,1982-08-24,Toulouse,ESSEC Business School || Sciences Po,politician || financier || farm operator,,The Republicans,,"member of the French Economic, Social and Environmental Council (2010-01-01 to 2015-01-01) || spokesperson"
Christophe Gomart,France,,LR,EPP,Q33275664,2024-07-16,1960-06-20,Saumur,École Spéciale Militaire de Saint-Cyr || Institut national des hautes études de sécurité (France),politician || military officer,Unibail Rodamco Westfield,,NATO Medal || United Nations Medal || Bronze Star Medal || Cross for Military Valour || Overseas Medal || Combatant's Cross || French commemorative medal || National Defence Medal || Médaille de reconnaissance de la Nation || Commander of the National Order of Mali || Commander of the Legion of Honour || Commander of the National Order of Merit || Legionnaire of Legion of Merit || Honourary Cross of the Bundeswehr in Silver || NATO medal for the former Yugoslavia,Special Operations Commander (2011-08-01 to 2013-06-20) || Q81289568 (2003-01-01 to 2005-01-01) || director of military Intelligence (2013-06-21 to 2017-07-06)
Isabelle Le Callennec,France,,LR,EPP,Q3154961,2024-07-16,1966-10-14,Nantes,École supérieure de commerce d'Amiens,politician || top official || corporate administrative and commercial executive,,Union for a Popular Movement,,member of the French National Assembly (2012-06-20 to 2017-06-20) || Q65533980 (from 2020-05-18) || member of the departmental council of Ille-et-Vilaine (from 2015-04-02) || Mayor of Vitré (2020-05-25 to 2024-07-04) || chairperson (2020-07-16 to 2024-07-05)
Laurent Castillo,France,,LR,EPP,Q125711251,2024-07-16,1962-03-12,Casablanca,,"politician || hospitalist physician || professeur des universités || professors, scientific professions",,,,
Nadine Morano,France,,LR,EPP,Q3334944,2024-07-16,1963-11-06,Nancy,University of Lorraine,politician,,Union for a Popular Movement || Rally for the Republic || The Republicans,,member of the French National Assembly || regional council member || member of the French National Assembly (2002-01-01 to 2008-01-01)
Marie Toussaint,France,,LÉ,Greens/EFA,Q63347906,2024-07-16,1987-05-27,Lille,Sciences Po,politician || jurist || environmentalist,,The Ecologists – Europe Écologie Les Verts || The Greens,,
David Cormand,France,,LÉ,Greens/EFA,Q23058507,2024-07-16,1974-11-30,Mont-Saint-Aignan,University of Rouen-Normandy,politician,,The Ecologists – Europe Écologie Les Verts || The Greens,,municipal councillor of Canteleu || Q66501399 (from 2014-03-23)
Mélissa Camara,France,,LÉ,Greens/EFA,Q126373079,2024-07-16,1991-11-27,Mont-Saint-Aignan,,politician,,The Ecologists – Europe Écologie Les Verts,,
Mounir Satouri,France,,LÉ,Greens/EFA,Q63537174,2024-07-16,1975-05-25,Casablanca,,politician || top official,,Socialist Party || The Ecologists – Europe Écologie Les Verts || The Greens,,member of the regional council of Île-de-France (2015-12-13 to 2021-06-07) || Q65494332 || member of the regional council of Île-de-France (2010-03-26 to 2015-12-01)
Majdouline Sbaï,France,,LÉ,Greens/EFA,Q126373071,2024-07-16,1977-09-10,Roubaix,University Lille-II,politician || sociologist,,,,
Marion Maréchal,France,,REC,ECR,Q292458,2024-07-16,1989-12-10,Saint-Germain-en-Laye,Panthéon-Assas University Paris || Emlyon Business School || Institution Saint-Pie-X,politician || jurist,,National Rally || Front national || Reconquête || Identity–Freedoms,,director (from 2018-05-01) || conseiller régional de Provence-Alpes-Côte d'Azur (2015-12-13 to 2017-06-30) || member of the French National Assembly (2012-06-20 to 2017-06-20)
Guillaume Peltier,France,,REC,ECR,Q3120121,2024-07-16,1976-08-27,Paris,Paris-Sorbonne University - Paris IV || University of Paris 1 Pantheon-Sorbonne || Lycée Lakanal,politician || cadre || miscellaneous persons without work under 60 excluding retirees,,Rassemblement national de la jeunesse || Union for a Popular Movement || Movement for France || National Republican Movement || The Strong Right || The Republicans || Reconquête || Identity–Freedoms,,general secretary (2003-01-01 to 2008-01-01) || Mayor of Neung-sur-Beuvron (2014-03-30 to 2017-07-01) || Q62537707 (2015-12-13 to 2021-07-02) || member of the French National Assembly (2017-06-21 to 2022-06-21)
Sarah Knafo,France,,REC,Europe of Sovereign Nations,Q82637284,2024-07-16,1993-04-24,Les Pavillons-sous-Bois,École nationale d'administration || Sciences Po,politician || official || political adviser,,Reconquête,Honour medal for courage and devotion,auditeur à la Cour des comptes (from 2020-01-01)
Nicolas Bay,France,,REC,ECR,Q3340073,2024-07-16,1977-12-21,Saint-Germain-en-Laye,Paris Nanterre University,politician,,National Rally || National Republican Movement || Front national || Reconquête || Identity–Freedoms,,Q62286129 (2016-01-01 to 2025-03-01) || general secretary (from 2014-11-30)
Laurence Trochu,France,,MC,ECR,Q63764029,2024-07-16,1973-07-04,Nantes,Paris-Sorbonne University - Paris IV,politician || school teacher || miscellaneous persons without work under 60 excluding retirees,,The Republicans || Reconquête || Identity–Freedoms,,president (2018-01-01 to 2024-10-01) || municipal councillor of Guyancourt (from 2014-01-01) || member of the departmental council of Yvelines (from 2015-04-02)
Hildegard Bentele,Germany,,CDU/CSU,EPP,Q1618317,2024-07-16,1976-05-22,Ludwigsburg,Freie Universität Berlin,politician,,Christian Democratic Union,,member of the Abgeordnetenhaus of Berlin
Stefan Berger,Germany,,CDU/CSU,EPP,Q2336010,2024-07-16,1969-09-15,Mönchengladbach,Johannes Gutenberg University Mainz,politician,,Christian Democratic Union,,member of the Landtag of North Rhine-Westphalia
Daniel Caspary,Germany,,CDU/CSU,EPP,Q77761,2024-07-16,1976-04-04,Karlsruhe,Karlsruhe Institute of Technology,politician,,Christian Democratic Union,,
Lena Düpont,Germany,,CDU/CSU,EPP,Q64068338,2024-07-16,1986-04-30,Dortmund,,politician,,Christian Democratic Union,,
Christian Ehler,Germany,,CDU/CSU,EPP,Q74162,2024-07-16,1963-08-17,Munich,Humboldt-Universität zu Berlin,politician,,Christian Democratic Union,,member of the Landtag of Brandenburg (2009-10-21 to 2009-10-31) || member of the Landtag of Brandenburg (1999-09-29 to 2004-10-13)
Michael Gahler,Germany,,CDU/CSU,EPP,Q85537,2024-07-16,1960-04-22,Frankfurt,"Friedrich-Dessauer-Gymnasium, Frankfurt",lawyer || politician,,Christian Democratic Union,,
Jens Gieseke,Germany,,CDU/CSU,EPP,Q17310794,2024-07-16,1971-05-18,Lingen,,politician || jurist,,Christian Democratic Union,,
Niclas Herbst,Germany,,CDU/CSU,EPP,Q1985836,2024-07-16,1973-02-28,Ratzeburg,Kiel University,politician,,Christian Democratic Union,,member of the Landtag of Schleswig-Holstein
Peter Liese,Germany,,CDU/CSU,EPP,,,,,,,,,,
Norbert Lins,Germany,,CDU/CSU,EPP,Q16999649,2024-07-16,1977-12-22,Ravensburg,,politician,,Christian Democratic Union,,
David McAllister,Germany,,CDU/CSU,EPP,Q62093,2024-07-16,1971-01-12,Berlin,Leibniz University Hannover,lawyer || politician,,Christian Democratic Union,,member of the Landtag of Lower Saxony || Minister-President of Lower Saxony (2010-07-01 to 2013-02-19) || member of the Landtag of Lower Saxony || member of the Landtag of Lower Saxony || mayor of a place in Germany || member of the Landtag of Lower Saxony
Alexandra Mehnert,Germany,,CDU/CSU,EPP,Q119397784,2024-07-16,1974-08-06,Magdeburg,University of Magdeburg,politician,Konrad Adenauer Foundation,Christian Democratic Union,,
Verena Mertens,Germany,,CDU/CSU,EPP,Q126489048,2024-07-16,1981-11-20,Salzkotten,University of Münster,politician || jurist,,Christian Democratic Union,,
Dennis Radtke,Germany,,CDU/CSU,EPP,Q34674536,2024-07-16,1979-04-29,Bochum,,politician || trade unionist,,Christian Democratic Union,,
Oliver Schenk,Germany,,CDU/CSU,EPP,Q46717062,2024-07-16,1968-08-14,Dachau,,politician || speechwriter || political economist || political appointee,,Christian Democratic Union,,minister || Member of the Bundesrat of Germany (from 2018-01-09)
Christine Schneider,Germany,,CDU/CSU,EPP,Q1083771,2024-07-16,1972-06-05,Landau in der Pfalz,DHBW Mosbach,politician,,Christian Democratic Union,,member of Landtag of Rhineland-Palatinate (1996-01-01 to 2019-01-01)
Andreas Schwab,Germany,,CDU/CSU,EPP,Q78194,2024-07-16,1973-04-09,Rottweil,,lawyer || politician,,Christian Democratic Union,Cross of the Order of Merit of the Federal Republic of Germany,
Ralf Seekatz,Germany,,CDU/CSU,EPP,Q2129398,2024-07-16,1972-11-10,Dernbach,,politician,,Christian Democratic Union,,member of Landtag of Rhineland-Palatinate || mayor
Sven Simon,Germany,,CDU/CSU,EPP,Q43475331,2024-07-16,1978-10-09,Wetzlar,University of Giessen,lawyer || politician || university teacher,University of Wisconsin Law School || University of Marburg,Christian Democratic Union,,
Sabine Verheyen,Germany,,CDU/CSU,EPP,Q91697,2024-07-16,1964-10-24,Aachen,FH Aachen || St. Ursula Gymnasium,politician,,Christian Democratic Union,,mayor
Axel Voss,Germany,,CDU/CSU,EPP,Q16530497,2024-07-16,1963-04-07,Hamelin,Trier University,lawyer || politician,,Christian Democratic Union,,
Marion Walsmann,Germany,,CDU/CSU,EPP,Q97573,2024-07-16,1963-03-17,Erfurt,Leipzig University,politician || jurist,,Christian Democratic Union,,member of the Volkskammer || member of the Landtag of Thuringia || member of the Landtag of Thuringia (2004-07-08 to 2009-09-29) || member of the Landtag of Thuringia (2009-09-29 to 2014-10-14)
Andrea Wechsler,Germany,,CDU/CSU,EPP,Q120015161,2024-07-16,1977-06-19,Ulm,,politician || university teacher,Pforzheim Academy,Christian Democratic Union,,
Christian Doleschal,Germany,,CDU/CSU,EPP,Q64069403,2024-07-16,1988-04-27,Kemnath,,politician || jurist,,Christian Social Union of Bavaria,,
Markus Ferber,Germany,,CDU/CSU,EPP,Q85676,2024-07-16,1965-01-15,Augsburg,Technical University of Munich,engineer || politician,,Christian Social Union of Bavaria,Bavarian Order of Merit || Cross of the Order of Merit of the Federal Republic of Germany,
Monika Hohlmeier,Germany,,CDU/CSU,EPP,Q78415,2024-07-16,1962-07-02,Munich,FernUniversität in Hagen || Dante-Gymnasium Munich,politician,,Christian Social Union of Bavaria,Bavarian Order of Merit || Cross of the Order of Merit of the Federal Republic of Germany,member of the Landtag of Bavaria
Stefan Köhler,Germany,,CDU/CSU,EPP,Q126489095,2024-07-16,1967-09-24,Aschaffenburg,,politician,,Christian Social Union of Bavaria,,
Angelika Niebler,Germany,,CDU/CSU,EPP,Q74215,2024-07-16,1963-02-18,Munich,Ludwig-Maximilians-Universität München || University of Geneva || Thomas-Mann-Gymnasium,lawyer || politician,,Christian Social Union of Bavaria,Bavarian Order of Merit || Cross of the Order of Merit of the Federal Republic of Germany || Bayerische Verfassungsmedaille in silver,
Manfred Weber,Germany,,CDU/CSU,EPP,Q88866,2024-07-16,1972-07-14,Q28047903,Munich University of Applied Sciences,politician,European Parliament || European People's Party || European People's Party Group,Christian Social Union of Bavaria,Cross of the Order of Merit of the Federal Republic of Germany,chairperson (from 2022-05-31) || member of the Landtag of Bavaria (2002-01-01 to 2004-01-01)
Christine Anderson,Germany,,AfD,Europe of Sovereign Nations,Q64073047,2024-07-16,1968-07-29,Eschwege,,politician,,Alternative for Germany,,
Anja Arndt,Germany,,AfD,Europe of Sovereign Nations,Q126716046,2024-07-16,1966-01-10,Tettens,,politician || business consultant,,Alternative for Germany,,
René Aust,Germany,,AfD,Europe of Sovereign Nations,Q73624220,2024-07-16,1987-04-24,Lüdinghausen,University of Giessen,politician,,Social Democratic Party of Germany || Alternative for Germany,,member of the Landtag of Thuringia (2019-01-01 to 2024-01-01) || deputy chairperson (2017-01-01 to 2019-01-01)
Arno Bausemer,Germany,,AfD,Europe of Sovereign Nations,Q126680565,2024-07-16,1982-12-02,Havelberg,Leipzig University,politician || impostor,,Alternative for Germany,,
Irmhild Boßdorf,Germany,,AfD,Europe of Sovereign Nations,Q126504934,2024-07-16,1967-01-14,Mechelen,Friedrich-Alexander-Universität Erlangen-Nürnberg,politician,,Alternative for Germany,,
Markus Buchheit,Germany,,AfD,Europe of Sovereign Nations,Q64174236,2024-07-16,1983-08-11,Zweibrücken,,politician || jurist,,Alternative for Germany,,
Petr Bystron,Germany,,AfD,Europe of Sovereign Nations,Q24260075,2024-07-16,1972-11-30,Olomouc,Ludwig-Maximilians-Universität München || Hochschule für Politik München,politician,,Free Democratic Party || Alternative for Germany,,member of the German Bundestag (2017-10-24 to 2021-10-26) || member of the German Bundestag (2021-10-26 to 2024-07-15)
Siegbert Droese,Germany,,AfD,Europe of Sovereign Nations,Q40428300,2024-07-16,1969-06-07,Leipzig,,politician,,Alternative for Germany,,member of the German Bundestag (2017-10-24 to 2021-10-26)
Tomasz Froelich,Germany,,AfD,Europe of Sovereign Nations,Q121055145,2024-07-16,1988-10-15,Hamburg,University of Vienna || Vienna University of Economics and Business,politician || association football player,,Alternative for Germany,,
Marc Jongen,Germany,,AfD,Europe of Sovereign Nations,Q1774046,2024-07-16,1968-05-23,Merano,University of Vienna || Vienna University of Economics and Business,politician || university teacher || journalist || philosopher,Neue Südtiroler Tageszeitung || Karlsruhe University of Arts and Design,Alternative for Germany,,member of the German Bundestag (2021-10-26 to 2024-07-15) || member of the German Bundestag (2017-10-24 to 2021-10-26)
Alexander Jungbluth,Germany,,AfD,Europe of Sovereign Nations,Q126541329,2024-07-16,1987-02-07,Würselen,University of Bonn,politician,parliamentary group || Sebastian Münzenmaier || Bernd Schattner,Alternative for Germany || Europe of Sovereign Nations,,deputy chairperson (from 2024-08-01) || chairperson (http://www to http://www)
Mary Khan-Hohloch,Germany,,AfD,Europe of Sovereign Nations,Q72697424,2024-07-16,1994-06-25,Frankfurt,http://www.wikidata.org/.well-known/genid/503d341fa8de06353a8338e195db73e4,politician || impostor || critic,,Alternative for Germany,,
