 | Commissioner | Portrait | Portfolio | State | Party | Notes
 | PotočnikJanez Potočnik |  | Environment | Slovenia | ALDENational:LDS | 
 | PiebalgsAndris Piebalgs |  | Development | Latvia | EPP | Acting Financial Programming and the Budget Commissioner from 19 April 2014 – 25 May 2014 and 1 July 2014 – 16 July 2014.
 | BarnierMichel Barnier |  | Vice PresidentInternal Market and Services | France | EPPNational:UMP | Acting Industry and Entrepreneurship Commissioner from 19 April 2014 – 25 May 2014 and 1 July 2014 – 16 July 2014. Was made Vice President from 1 July 2014.
 | VassiliouAndroulla Vassiliou |  | Education, Culture, Multilingualism and Youth | Cyprus | ALDENational:EDI | 
 | SemetaAlgirdas Šemeta |  | Taxation and Customs Union, Audit and Anti-Fraud | Lithuania | EPP | 
 | GuchtKarel De Gucht |  | Trade | Belgium | ALDENational:Open VLD | 
 | DalliJohn Dalli |  | Health and Consumer Policy | Malta | EPPNational:PN | Resigned on 16 October 2012.[76]
 | DalliTonio Borg |  | Health | Malta | EPPNational:PN | Appointed on 28 November 2012. Prior to 1 July 2013, portfolio included Consumer Policy.
 | Geoghegan-QuinnMáire Geoghegan-Quinn |  | Research, Innovation and Science | Ireland | ALDENational:FF | 
 | LewandowskiJanusz Lewandowski |  | Financial Programming and the Budget | Poland | EPPNational:PO | Resigned 1 July 2014; on campaign leave from 19 April 2014 – 25 May 2014. Portfolio deputised toAndris Piebalgsboth times.
 | DominikJacek Dominik |  | Financial Programming and the Budget | Poland | EPPNational:PO | Appointed 16 July 2014.
 | DamanakiMaria Damanaki |  | Maritime Affairs and Fisheries | Greece | PESNational:PASOK | 
 | GeorgievaKristalina Georgieva |  | International Cooperation, Humanitarian Aid and Crisis Response | Bulgaria | EPPNational: proposed byGERB | 
 | OettingerGünther Oettinger |  | Vice PresidentEnergy | Germany | EPPNational:CDU | Was made Vice President from 1 July 2014.
 | HahnJohannes Hahn |  | Regional Policy | Austria | EPPNational:ÖVP | Acting Justice, Fundamental Rights and Citizenship Commissioner from 19 April 2014 – 25 May 2014 and 1 July 2014 – 16 July 2014.
 | HedegaardConnie Hedegaard |  | Climate Action | Denmark | EPPNational:KF | 
 | FüleŠtefan Füle |  | Enlargement and European Neighbourhood Policy | Czech Republic | PESNational:ČSSD | 
 | AndorLászló Andor |  | Employment, Social Affairs and Inclusion | Hungary | PESNational:MSZP | Acting Consumer Protection Commissioner from 19 April 2014 – 25 May 2014.
 | MalmströmCecilia Malmström |  | Home Affairs | Sweden | ALDENational:FP | 
 | CioloşDacian Cioloş |  | Agriculture and Rural Development | Romania | EPP[77]National: independent, proposed byPD-L | 
 | MimicaNeven Mimica |  | Consumer Protection | Croatia | PESNational:SDP | Served from 1 July 2013. Prior to 2013, this portfolio was part of Health and Consumer Policy. On campaign leave from 19 April 2014 – 25 May 2014; portfolio deputised toLászló Andor.
